日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2015-01-01,忠明,18.8,27.61,46.33,21.33,69.17,41.04,3.45
2015-01-08,忠明,6.56,23.91,30.42,24.06,59.34,30.22,3.34
2015-01-15,忠明,3.77,19.59,23.35,28.54,65.35,36.05,3.13
2015-01-22,忠明,10.1,28.23,38.32,26.42,70.02,42.22,3.41
2015-01-29,忠明,4.0,17.0,21.0,21.54,33.85,17.45,2.16
2015-02-05,忠明,6.96,19.69,26.65,26.72,55.83,32.58,3.17
2015-02-12,忠明,12.92,30.22,43.15,29.75,88.0,51.46,3.5
2015-02-19,忠明,4.62,21.18,25.73,21.24,53.93,33.65,2.54
2015-02-26,忠明,4.55,19.34,23.9,22.53,49.03,28.37,2.38
2015-03-05,忠明,4.88,20.96,25.86,19.24,41.56,23.69,2.76
2015-03-12,忠明,6.57,22.77,29.33,24.68,64.73,37.1,3.64
2015-03-19,忠明,3.98,18.46,22.39,27.03,51.91,32.64,2.59
2015-03-26,忠明,5.53,21.68,27.23,26.49,49.59,29.39,3.55
2015-04-02,忠明,2.52,11.82,14.36,24.76,37.17,19.35,3.16
2015-04-09,忠明,2.9,19.26,22.14,35.72,38.2,20.14,3.0
2015-04-16,忠明,2.8,16.29,19.07,26.18,47.09,24.37,2.96
2015-04-23,忠明,2.29,15.81,18.09,36.53,50.28,26.85,3.23
2015-04-30,忠明,3.59,17.97,21.58,24.34,49.52,28.7,3.34
2015-05-07,忠明,2.53,16.46,18.99,30.01,55.11,29.44,3.05
2015-05-14,忠明,2.76,11.96,14.73,20.03,26.78,13.47,2.51
2015-05-21,忠明,5.12,18.97,24.11,18.05,17.92,11.1,2.09
2015-05-28,忠明,3.29,11.78,15.04,18.5,22.02,8.58,1.86
2015-06-04,忠明,3.14,11.83,14.93,19.01,19.29,10.93,2.39
2015-06-11,忠明,2.6,10.01,12.64,18.18,21.15,10.44,2.51
2015-06-18,忠明,2.81,13.38,16.21,22.71,25.9,16.07,2.64
2015-06-25,忠明,2.33,9.86,12.2,20.79,31.61,15.84,2.32
2015-07-02,忠明,1.72,11.39,13.14,30.7,30.1,17.72,2.11
2015-07-09,忠明,2.09,10.18,12.29,30.2,29.26,19.83,2.74
2015-07-16,忠明,2.31,11.56,13.86,28.0,29.42,21.83,2.86
2015-07-23,忠明,2.68,10.35,13.09,21.88,19.65,10.8,2.11
2015-07-30,忠明,3.48,12.66,16.07,23.58,24.41,17.15,4.22
2015-08-06,忠明,2.59,9.79,12.34,20.99,23.28,13.25,2.06
2015-08-13,忠明,4.29,13.1,17.38,16.59,17.34,9.7,2.11
2015-08-20,忠明,1.8,14.39,16.16,40.25,44.84,28.24,3.3
2015-08-27,忠明,6.74,16.35,23.05,14.03,13.02,7.89,2.01
2015-09-03,忠明,5.26,15.54,20.75,23.4,26.21,15.21,2.96
2015-09-10,忠明,1.99,19.3,21.24,40.21,48.8,29.53,3.22
2015-09-17,忠明,1.82,19.84,21.66,43.31,54.55,36.88,3.69
2015-09-24,忠明,3.04,17.48,20.55,35.21,33.11,18.2,2.03
2015-10-01,忠明,2.49,19.05,21.53,36.3,60.39,33.7,3.93
2015-10-08,忠明,2.19,17.58,19.82,36.9,41.13,23.59,2.42
2015-10-15,忠明,3.8,22.96,26.77,30.83,54.37,29.09,2.76
2015-10-22,忠明,3.69,21.03,24.71,29.19,56.82,34.42,3.38
2015-10-29,忠明,3.87,19.93,23.77,27.94,48.69,27.63,2.71
2015-11-05,忠明,3.62,21.86,25.48,26.75,71.33,42.18,3.51
2015-11-12,忠明,6.97,27.32,34.24,20.13,64.02,37.27,3.75
2015-11-19,忠明,4.54,20.38,24.92,20.93,43.6,21.55,2.49
2015-11-26,忠明,8.46,23.2,31.6,27.96,53.51,29.16,2.75
2015-12-03,忠明,5.96,20.27,26.19,20.05,38.46,17.63,2.94
2015-12-10,忠明,5.18,19.0,24.17,22.46,45.48,24.97,3.02
2015-12-17,忠明,10.39,24.5,34.89,16.63,61.19,29.78,3.37
2015-12-24,忠明,5.64,19.95,25.59,19.06,43.48,23.22,2.8
