日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2015-01-01,菜寮,23.82,24.12,47.95,22.48,53.58,27.91,3.37
2015-01-08,菜寮,2.27,15.76,18.0,31.32,44.45,20.85,2.84
2015-01-15,菜寮,3.59,18.52,22.2,28.43,59.75,29.97,2.5
2015-01-22,菜寮,12.81,28.83,41.59,21.5,58.93,35.8,3.5
2015-01-29,菜寮,3.51,16.89,20.42,21.32,21.68,11.57,2.16
2015-02-05,菜寮,6.47,23.29,29.76,22.83,44.6,24.78,3.21
2015-02-12,菜寮,4.59,24.76,29.34,30.7,76.81,37.59,3.95
2015-02-19,菜寮,5.58,20.75,26.3,21.99,53.6,31.0,3.43
2015-02-26,菜寮,10.37,18.48,28.83,22.49,39.95,24.24,2.74
2015-03-05,菜寮,3.13,18.12,21.25,23.92,27.74,14.19,2.57
2015-03-12,菜寮,10.41,29.84,40.21,17.71,59.13,34.48,4.31
2015-03-19,菜寮,2.88,18.38,21.22,32.73,50.73,23.06,3.57
2015-03-26,菜寮,12.09,29.45,41.6,20.12,38.88,24.52,3.43
2015-04-02,菜寮,4.54,16.98,21.46,25.11,36.67,22.3,2.86
2015-04-09,菜寮,4.74,25.91,30.59,29.08,36.88,15.04,2.45
2015-04-16,菜寮,7.01,23.61,30.61,24.78,49.78,22.87,2.79
2015-04-23,菜寮,2.91,17.87,20.76,30.05,42.51,17.4,3.94
2015-04-30,菜寮,4.82,26.28,31.11,28.19,45.58,24.89,5.13
2015-05-07,菜寮,9.43,26.14,35.57,21.45,45.24,20.15,4.91
2015-05-14,菜寮,5.31,21.61,26.8,14.25,41.4,15.84,2.93
2015-05-21,菜寮,8.35,22.57,30.9,17.31,25.16,6.21,2.78
2015-05-28,菜寮,5.18,18.16,23.38,18.03,33.0,7.09,3.48
2015-06-04,菜寮,3.59,20.06,23.57,19.51,31.85,8.49,3.65
2015-06-11,菜寮,3.68,19.61,23.25,20.05,33.47,8.81,3.92
2015-06-18,菜寮,3.7,18.62,22.27,21.1,32.38,7.94,3.42
2015-06-25,菜寮,3.71,15.74,19.43,18.31,41.54,8.76,3.17
2015-07-02,菜寮,3.03,12.66,15.63,19.13,27.01,5.26,2.74
2015-07-09,菜寮,2.8,13.54,16.3,21.87,31.02,10.31,2.81
2015-07-16,菜寮,3.36,16.63,20.03,27.48,34.11,13.52,4.45
2015-07-23,菜寮,6.55,19.83,26.33,20.13,32.1,9.7,3.16
2015-07-30,菜寮,6.14,20.48,26.37,17.05,32.53,12.18,3.68
2015-08-06,菜寮,5.36,14.94,20.15,15.98,32.24,8.7,2.23
2015-08-13,菜寮,6.45,18.08,24.52,13.23,20.58,4.76,2.3
2015-08-20,菜寮,3.88,12.32,16.22,17.66,20.75,5.31,2.26
2015-08-27,菜寮,10.28,25.48,35.71,11.07,20.16,5.33,2.59
2015-09-03,菜寮,6.47,18.56,25.03,22.4,33.61,8.86,2.94
2015-09-10,菜寮,3.05,15.15,18.12,31.21,32.14,6.13,1.98
2015-09-17,菜寮,3.2,19.12,22.28,33.03,40.42,15.53,3.47
2015-09-24,菜寮,5.23,18.34,23.53,22.27,33.08,12.24,2.77
2015-10-01,菜寮,4.52,14.86,19.28,17.58,33.08,12.65,3.31
2015-10-08,菜寮,2.82,18.38,21.22,34.63,39.58,14.77,3.07
2015-10-15,菜寮,2.81,13.48,16.22,29.46,34.23,10.71,2.77
2015-10-22,菜寮,3.91,18.05,22.0,24.45,40.7,18.64,2.74
2015-10-29,菜寮,3.41,16.94,20.27,23.86,39.25,15.91,2.06
2015-11-05,菜寮,5.18,20.27,25.4,24.21,44.01,20.08,4.16
2015-11-12,菜寮,7.12,22.42,29.5,22.39,43.41,16.57,4.33
2015-11-19,菜寮,2.63,14.07,16.71,24.41,29.58,3.8,3.19
2015-11-26,菜寮,4.52,16.09,20.62,23.38,29.4,7.76,2.64
2015-12-03,菜寮,3.63,15.44,18.89,23.31,35.61,7.15,2.52
2015-12-10,菜寮,4.27,17.96,22.16,21.51,40.53,19.38,3.34
2015-12-17,菜寮,6.83,21.15,27.94,17.28,39.55,14.52,4.76
2015-12-24,菜寮,4.18,19.47,23.66,23.1,40.69,17.51,2.8
