日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2015-01-01,苗栗,7.3,20.64,27.92,22.9,60.98,31.34,4.32
2015-01-08,苗栗,4.26,18.2,22.42,24.47,45.11,22.7,3.24
2015-01-15,苗栗,4.8,16.96,21.77,28.79,64.91,36.13,4.3
2015-01-22,苗栗,4.79,23.2,27.96,26.23,62.07,40.26,4.94
2015-01-29,苗栗,3.87,14.89,18.77,23.18,33.21,19.07,3.36
2015-02-05,苗栗,5.16,16.18,21.37,28.14,50.17,30.25,3.46
2015-02-12,苗栗,7.3,24.96,32.3,27.46,78.67,40.69,4.27
2015-02-19,苗栗,3.24,17.76,21.03,20.97,59.81,30.48,2.54
2015-02-26,苗栗,4.03,16.7,20.74,24.93,46.72,23.99,2.55
2015-03-05,苗栗,2.74,18.09,20.86,25.25,35.33,17.05,2.54
2015-03-12,苗栗,4.53,19.89,24.39,24.03,63.05,37.39,3.87
2015-03-19,苗栗,2.03,15.83,17.83,32.28,46.57,31.53,2.67
2015-03-26,苗栗,4.52,19.82,24.29,23.29,64.97,26.34,3.52
2015-04-02,苗栗,2.2,12.15,14.33,23.9,62.39,24.33,3.0
2015-04-09,苗栗,1.91,18.08,19.98,37.37,66.23,22.99,3.13
2015-04-16,苗栗,1.54,12.75,14.25,30.92,69.64,21.86,2.88
2015-04-23,苗栗,2.37,14.3,16.68,35.83,75.1,24.97,4.01
2015-04-30,苗栗,2.68,16.51,19.2,23.7,72.01,30.07,3.43
2015-05-07,苗栗,2.73,16.07,18.74,28.01,76.64,27.37,3.65
2015-05-14,苗栗,2.3,10.05,12.38,21.12,51.22,12.34,2.65
2015-05-21,苗栗,3.02,14.12,17.15,23.75,,12.08,2.95
2015-05-28,苗栗,1.63,7.56,9.18,22.6,29.75,11.31,2.33
2015-06-04,苗栗,2.06,9.01,11.08,21.3,31.78,10.51,2.88
2015-06-11,苗栗,2.09,8.99,11.08,17.28,28.32,8.41,2.74
2015-06-18,苗栗,2.25,9.97,12.18,23.31,31.39,12.49,2.84
2015-06-25,苗栗,1.05,7.0,8.05,22.89,38.52,13.76,2.5
2015-07-02,苗栗,1.52,9.63,11.16,29.04,44.85,14.58,2.59
2015-07-09,苗栗,1.99,8.79,10.79,27.16,42.91,18.19,2.94
2015-07-16,苗栗,1.22,8.0,9.22,29.58,37.58,17.58,2.55
2015-07-23,苗栗,1.18,6.72,7.86,24.06,30.34,11.32,2.42
2015-07-30,苗栗,2.2,8.83,11.04,21.82,30.79,12.84,2.37
2015-08-06,苗栗,2.81,9.04,11.85,18.69,29.83,,2.21
2015-08-13,苗栗,1.57,7.84,9.4,24.54,25.35,13.48,1.87
2015-08-20,苗栗,2.05,11.91,13.96,35.83,49.49,23.41,2.85
2015-08-27,苗栗,3.8,11.56,15.36,17.0,25.65,7.9,1.79
2015-09-03,苗栗,2.68,11.13,13.83,26.25,36.98,16.9,2.8
2015-09-10,苗栗,3.11,14.87,18.0,32.8,48.57,21.31,3.58
2015-09-17,苗栗,1.63,14.91,16.55,46.61,61.69,33.76,3.63
2015-09-24,苗栗,2.72,12.81,15.56,33.95,48.86,18.42,3.04
2015-10-01,苗栗,3.12,15.32,18.44,27.52,57.39,29.26,3.38
2015-10-08,苗栗,1.78,13.5,15.31,42.92,53.14,24.89,3.44
2015-10-15,苗栗,2.7,12.65,15.41,32.8,42.27,17.99,2.86
2015-10-22,苗栗,2.73,15.08,17.83,31.71,55.42,29.13,3.78
2015-10-29,苗栗,2.78,14.79,17.59,33.53,40.63,20.46,3.13
2015-11-05,苗栗,2.51,16.53,19.05,32.76,62.63,39.19,3.42
2015-11-12,苗栗,4.78,20.2,25.03,23.91,54.73,30.7,4.3
2015-11-19,苗栗,4.21,17.21,21.29,23.08,44.6,20.37,3.98
2015-11-26,苗栗,5.09,17.46,22.52,26.47,47.15,21.54,4.05
2015-12-03,苗栗,3.59,14.75,18.33,24.4,43.72,17.19,3.43
2015-12-10,苗栗,4.22,16.71,20.92,24.27,55.82,27.68,4.65
2015-12-17,苗栗,7.01,18.48,25.39,18.71,54.96,25.31,3.82
2015-12-24,苗栗,3.81,16.91,20.69,26.91,52.26,25.58,3.39
