日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2015-01-01,馬祖,1.91,11.27,13.19,35.43,70.25,34.99,4.2
2015-01-08,馬祖,1.36,8.6,9.97,45.88,69.35,38.69,5.3
2015-01-15,馬祖,1.47,7.83,9.31,46.63,82.27,43.74,3.94
2015-01-22,馬祖,1.57,11.64,13.16,44.94,89.44,53.93,3.89
2015-01-29,馬祖,1.72,9.04,10.7,27.02,44.47,26.6,2.57
2015-02-05,馬祖,1.06,7.67,8.72,47.85,66.07,38.6,3.63
2015-02-12,馬祖,1.42,7.67,8.93,52.92,98.04,52.54,3.38
2015-02-19,馬祖,1.26,6.06,7.27,37.87,42.96,21.35,2.31
2015-02-26,馬祖,1.32,4.91,6.24,40.73,39.59,22.22,1.81
2015-03-05,馬祖,1.47,5.69,7.17,40.15,35.23,19.35,2.05
2015-03-12,馬祖,1.15,6.98,8.07,44.05,37.23,21.26,2.5
2015-03-19,馬祖,1.34,6.55,7.86,53.82,58.54,29.18,2.97
2015-03-26,馬祖,1.49,6.85,8.33,44.0,35.43,18.61,2.84
2015-04-02,馬祖,1.67,5.26,6.92,32.95,36.75,17.66,2.03
2015-04-09,馬祖,1.12,7.11,8.21,59.48,52.92,27.08,3.13
2015-04-16,馬祖,1.5,6.85,8.24,49.74,59.49,30.36,2.69
2015-04-23,馬祖,1.37,8.43,9.79,57.89,51.5,29.34,3.5
2015-04-30,馬祖,1.52,7.95,9.46,61.35,68.7,39.88,2.8
2015-05-07,馬祖,1.92,7.77,9.68,57.03,51.08,26.98,2.86
2015-05-14,馬祖,1.11,5.8,6.85,40.05,41.73,18.49,2.77
2015-05-21,馬祖,1.58,4.47,6.03,49.93,32.96,16.23,2.19
2015-05-28,馬祖,1.8,5.4,7.19,30.16,35.32,15.27,2.81
2015-06-04,馬祖,1.36,5.47,6.75,41.43,37.03,18.5,2.3
2015-06-11,馬祖,1.66,5.77,7.44,25.67,32.13,12.13,2.88
2015-06-18,馬祖,1.63,4.12,5.74,39.66,27.92,12.96,2.34
2015-06-25,馬祖,1.83,4.1,5.86,28.98,41.96,15.7,3.29
2015-07-02,馬祖,1.67,3.64,5.27,47.38,23.72,4.87,2.07
2015-07-09,馬祖,1.58,4.23,5.68,43.24,47.27,24.81,2.94
2015-07-16,馬祖,1.14,3.62,4.73,29.41,29.39,13.6,2.62
2015-07-23,馬祖,1.82,4.27,6.02,27.35,37.45,18.21,2.85
2015-07-30,馬祖,1.84,5.47,7.24,25.46,32.24,19.58,2.75
2015-08-06,馬祖,1.05,3.35,4.38,26.48,39.1,11.84,2.23
2015-08-13,馬祖,1.53,4.32,5.81,35.87,33.42,18.56,2.51
2015-08-20,馬祖,1.4,3.26,4.43,33.4,24.81,12.7,2.39
2015-08-27,馬祖,1.71,4.02,5.73,50.43,25.52,19.64,2.23
2015-09-03,馬祖,2.31,4.58,6.86,48.22,32.83,22.03,2.8
2015-09-10,馬祖,1.2,3.45,4.58,60.03,27.91,19.34,2.47
2015-09-17,馬祖,1.22,4.21,5.39,58.94,29.86,22.7,2.31
2015-09-24,馬祖,1.33,4.12,5.42,50.54,35.44,,2.41
2015-10-01,馬祖,1.65,3.19,4.78,46.95,35.31,,2.2
2015-10-08,馬祖,1.24,4.9,6.08,71.3,55.7,30.63,3.79
2015-10-15,馬祖,1.35,3.28,4.58,60.57,41.48,20.17,2.44
2015-10-22,馬祖,1.73,4.11,5.81,52.54,61.93,32.76,2.82
2015-10-29,馬祖,1.31,5.25,6.55,43.27,46.89,26.82,2.95
2015-11-05,馬祖,2.06,8.18,10.13,31.55,30.52,16.53,2.19
2015-11-12,馬祖,1.26,6.04,7.23,41.5,38.86,22.89,2.68
2015-11-19,馬祖,1.26,4.84,6.02,42.15,35.8,19.98,2.39
2015-11-26,馬祖,1.55,5.15,6.67,36.63,30.21,20.6,2.74
2015-12-03,馬祖,1.21,5.11,6.28,37.5,36.55,19.62,2.62
2015-12-10,馬祖,1.65,7.4,8.96,35.59,51.26,36.72,3.37
2015-12-17,馬祖,1.76,8.26,9.94,28.73,,,2.93
2015-12-24,馬祖,1.65,6.73,8.38,40.45,45.86,32.14,2.98
