日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2017-01-01,冬山,4.64,10.81,15.41,21.44,35.78,12.59,3.48
2017-01-08,冬山,2.97,10.18,13.15,30.36,44.23,17.48,1.44
2017-01-15,冬山,4.16,9.24,13.38,30.3,33.02,8.55,1.68
2017-01-22,冬山,2.08,7.1,9.17,35.01,33.39,10.48,1.26
2017-01-29,冬山,2.09,5.24,7.33,30.36,24.57,7.75,1.5
2017-02-05,冬山,2.8,8.52,11.32,34.06,51.29,20.56,1.96
2017-02-12,冬山,2.92,8.76,11.67,32.62,40.37,13.29,1.84
2017-02-19,冬山,3.2,10.32,13.5,30.26,29.69,11.13,1.65
2017-02-26,冬山,2.3,9.45,11.77,39.28,44.68,16.31,1.57
2017-03-05,冬山,3.38,11.4,14.76,40.0,31.66,14.33,1.65
2017-03-12,冬山,3.62,10.25,13.88,33.15,29.06,9.88,2.14
2017-03-19,冬山,2.75,10.22,12.99,37.9,28.21,10.74,1.75
2017-03-26,冬山,3.32,11.75,15.05,40.83,54.38,21.31,1.32
2017-04-02,冬山,2.84,12.46,15.29,37.86,48.29,20.34,1.97
2017-04-09,冬山,3.29,12.23,15.53,34.14,39.7,16.13,2.16
2017-04-16,冬山,3.58,9.69,13.22,28.51,40.45,18.18,2.24
2017-04-23,冬山,2.42,9.68,12.07,44.54,36.77,11.23,1.75
2017-04-30,冬山,3.13,8.7,11.82,29.97,33.75,12.94,2.03
2017-05-07,冬山,2.92,8.72,11.63,27.9,37.87,10.22,1.97
2017-05-14,冬山,2.2,8.64,10.84,37.07,28.98,8.39,1.76
2017-05-21,冬山,2.96,7.57,10.53,29.42,25.46,6.69,1.53
2017-05-28,冬山,2.98,10.8,13.81,27.76,23.61,7.97,2.41
2017-06-04,冬山,4.16,9.28,13.42,22.59,32.52,10.29,3.17
2017-06-11,冬山,3.55,7.95,11.5,25.17,24.01,5.2,1.93
2017-06-18,冬山,4.93,9.98,14.9,20.58,34.52,9.6,2.24
2017-06-25,冬山,3.81,7.48,11.3,18.25,34.42,12.42,2.29
2017-07-02,冬山,6.54,8.2,14.74,12.12,28.02,9.22,2.21
2017-07-09,冬山,4.41,7.95,12.37,15.64,29.26,11.17,2.75
2017-07-16,冬山,4.82,7.21,12.02,13.82,29.5,10.57,2.74
2017-07-23,冬山,3.8,7.27,11.08,18.64,27.77,10.6,2.46
2017-07-30,冬山,3.57,9.42,13.02,26.17,47.59,19.08,2.85
2017-08-06,冬山,3.09,9.74,12.82,31.89,45.74,20.86,2.46
2017-08-13,冬山,4.17,8.83,13.05,22.91,35.45,17.87,2.15
2017-08-20,冬山,4.1,7.27,11.36,20.51,27.91,11.67,2.17
2017-08-27,冬山,5.21,7.76,12.92,18.02,25.73,9.84,1.21
2017-09-03,冬山,5.0,9.02,14.09,19.09,35.95,13.3,2.29
2017-09-10,冬山,4.83,8.36,13.16,24.61,35.84,13.38,2.18
2017-09-17,冬山,3.78,7.85,11.6,31.03,39.71,17.93,2.41
2017-09-24,冬山,4.87,10.17,15.02,25.95,30.87,16.8,2.05
2017-10-01,冬山,3.65,7.25,10.93,31.35,37.27,16.64,1.88
2017-10-08,冬山,5.92,7.39,13.29,18.7,27.34,11.5,2.08
2017-10-15,冬山,4.8,7.94,12.71,27.97,24.62,10.67,1.28
2017-10-22,冬山,3.61,10.31,13.87,46.92,51.7,17.03,1.14
2017-10-29,冬山,4.62,10.02,14.6,35.5,37.93,10.53,
2017-11-05,冬山,4.06,10.46,14.41,26.26,21.25,7.8,1.97
2017-11-12,冬山,3.73,8.56,12.3,26.05,20.04,6.72,2.35
2017-11-19,冬山,3.47,7.95,11.42,28.63,19.24,5.03,1.13
2017-11-26,冬山,3.22,8.6,11.77,26.7,18.55,5.11,1.7
2017-12-03,冬山,2.36,7.73,10.05,34.37,30.64,9.74,1.22
2017-12-10,冬山,3.35,8.8,12.13,28.91,25.94,7.37,1.7
2017-12-17,冬山,3.06,7.21,10.27,33.06,32.4,8.81,1.15
2017-12-24,冬山,2.2,8.23,10.41,33.94,46.13,16.27,1.61
