日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2017-01-01,潮州,1.83,14.71,16.5,36.0,86.09,43.38,3.44
2017-01-08,潮州,2.5,16.79,19.26,36.38,93.3,46.98,3.6
2017-01-15,潮州,2.34,18.02,20.4,35.26,91.62,42.35,3.15
2017-01-22,潮州,1.84,17.28,19.1,40.72,105.73,44.97,3.83
2017-01-29,潮州,1.5,16.51,18.01,36.6,98.85,41.71,4.08
2017-02-05,潮州,1.98,17.56,19.48,32.94,107.75,50.89,3.41
2017-02-12,潮州,1.23,13.93,15.15,45.82,69.44,36.03,3.08
2017-02-19,潮州,1.98,16.54,18.48,33.42,84.0,36.74,3.18
2017-02-26,潮州,1.65,15.92,17.56,46.55,96.41,44.11,3.66
2017-03-05,潮州,3.19,14.28,17.44,33.02,86.79,40.85,2.9
2017-03-12,潮州,4.24,11.62,15.87,40.24,84.34,32.34,3.62
2017-03-19,潮州,2.88,9.69,12.57,43.95,74.3,27.69,2.74
2017-03-26,潮州,1.15,12.04,13.22,43.2,70.93,29.26,2.64
2017-04-02,潮州,0.77,10.29,11.07,47.98,66.47,27.46,2.28
2017-04-09,潮州,2.15,10.63,12.73,26.37,52.76,22.36,2.58
2017-04-16,潮州,2.07,8.82,10.87,23.78,48.61,16.77,2.84
2017-04-23,潮州,1.25,10.71,11.99,45.58,64.98,29.34,3.28
2017-04-30,潮州,1.2,7.82,8.99,39.56,58.84,24.29,2.71
2017-05-07,潮州,1.62,7.41,9.03,32.0,53.35,19.84,2.71
2017-05-14,潮州,1.61,8.37,9.97,36.47,49.67,19.68,2.54
2017-05-21,潮州,1.02,7.45,8.46,35.78,43.74,18.04,2.44
2017-05-28,潮州,1.47,6.56,8.03,29.92,48.19,18.71,2.74
2017-06-04,潮州,1.36,4.63,5.99,17.62,30.92,10.31,1.55
2017-06-11,潮州,1.29,3.63,4.91,16.29,26.6,8.26,1.49
2017-06-18,潮州,1.46,5.42,6.87,15.51,28.56,9.47,2.42
2017-06-25,潮州,1.94,6.95,8.86,21.66,31.54,12.99,2.22
2017-07-02,潮州,2.38,4.71,7.08,17.62,26.83,9.03,1.76
2017-07-09,潮州,1.76,5.63,7.39,22.64,29.34,10.37,2.02
2017-07-16,潮州,1.35,7.91,9.26,36.78,45.05,22.87,3.22
2017-07-23,潮州,2.02,5.89,7.88,24.3,38.83,16.52,1.84
2017-07-30,潮州,1.0,4.09,5.01,23.96,33.92,10.47,1.72
2017-08-06,潮州,1.46,5.77,7.22,16.67,38.77,11.58,2.33
2017-08-13,潮州,1.58,6.57,8.13,23.5,39.67,17.35,3.0
2017-08-20,潮州,1.25,5.05,6.26,26.84,41.61,18.06,2.34
2017-08-27,潮州,0.81,5.26,6.04,25.48,39.82,15.48,2.23
2017-09-03,潮州,1.16,3.78,4.95,21.97,34.41,11.84,1.72
2017-09-10,潮州,1.19,7.24,8.25,35.34,49.43,19.25,2.7
2017-09-17,潮州,1.13,6.33,7.42,44.43,61.92,33.61,2.84
2017-09-24,潮州,1.14,6.52,7.56,31.1,49.93,23.96,3.08
2017-10-01,潮州,1.06,6.82,7.88,39.94,56.74,28.08,3.35
2017-10-08,潮州,,,,28.98,50.87,20.56,3.07
2017-10-15,潮州,1.26,8.2,9.42,37.21,58.8,23.42,2.72
2017-10-22,潮州,0.91,10.05,10.93,49.57,77.65,27.44,2.95
2017-10-29,潮州,1.1,12.35,13.43,42.08,79.01,27.03,3.08
2017-11-05,潮州,1.44,11.76,13.22,35.41,88.15,42.73,2.76
2017-11-12,潮州,2.12,11.38,13.48,32.77,87.26,41.79,2.58
2017-11-19,潮州,2.18,15.91,18.08,34.74,103.54,40.21,3.05
2017-11-26,潮州,1.81,14.65,16.45,38.11,97.53,40.82,2.96
2017-12-03,潮州,1.84,16.82,18.63,28.19,93.98,37.57,2.43
2017-12-10,潮州,2.04,15.72,17.81,27.63,84.35,32.52,2.4
2017-12-17,潮州,1.82,16.36,18.19,30.0,77.24,32.24,2.74
2017-12-24,潮州,1.33,13.36,14.66,36.24,93.63,51.58,2.95
