日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2018-01-01,林口,2.55,10.22,12.76,35.33,31.83,10.45,1.51
2018-01-08,林口,4.83,14.26,19.09,32.53,31.96,10.64,2.2
2018-01-15,林口,5.83,17.46,23.29,32.48,39.77,17.04,2.98
2018-01-22,林口,2.41,10.96,13.36,36.22,31.43,10.31,2.24
2018-01-29,林口,2.49,10.32,12.8,36.04,30.89,14.6,1.59
2018-02-05,林口,3.5,13.68,17.16,36.97,39.51,14.86,2.31
2018-02-12,林口,2.94,15.98,18.92,38.44,66.29,21.43,2.39
2018-02-19,林口,2.67,11.84,14.52,37.93,36.61,16.11,2.27
2018-02-26,林口,5.0,19.92,24.93,30.88,60.17,25.44,3.48
2018-03-05,林口,2.57,10.01,12.57,39.37,37.46,16.23,1.43
2018-03-12,林口,6.04,20.06,26.11,34.72,51.05,22.97,3.78
2018-03-19,林口,2.35,12.35,14.69,45.77,48.47,18.42,1.98
2018-03-26,林口,2.95,11.58,14.54,42.99,49.98,18.54,2.05
2018-04-02,林口,2.26,13.53,15.79,42.39,76.27,27.04,2.86
2018-04-09,林口,5.7,19.01,24.7,33.76,60.11,25.4,4.05
2018-04-16,林口,3.27,16.34,19.61,48.95,61.93,24.13,3.34
2018-04-23,林口,3.12,16.22,19.33,48.76,49.32,26.95,3.08
2018-04-30,林口,3.51,16.02,19.53,39.14,51.05,26.18,3.63
2018-05-07,林口,2.8,14.61,17.41,44.16,48.99,20.72,3.21
2018-05-14,林口,4.01,15.21,19.21,23.47,44.29,20.88,4.66
2018-05-21,林口,2.4,14.17,16.56,35.24,44.81,18.16,3.93
2018-05-28,林口,2.11,11.83,13.94,41.27,35.53,16.16,2.92
2018-06-04,林口,3.48,12.29,15.77,24.9,26.19,11.43,2.97
2018-06-11,林口,2.13,10.46,12.59,50.86,31.05,13.0,2.1
2018-06-18,林口,3.83,13.55,17.37,19.69,19.98,9.28,2.92
2018-06-25,林口,3.28,13.56,16.84,26.13,26.91,14.48,3.8
2018-07-02,林口,2.9,11.33,14.22,24.21,24.78,9.2,2.77
2018-07-09,林口,3.39,6.87,10.26,15.97,21.02,9.02,1.66
2018-07-16,林口,3.63,5.33,8.95,13.13,8.85,,1.87
2018-07-23,林口,3.21,12.79,16.0,25.76,37.69,,3.81
2018-07-30,林口,2.73,12.51,15.24,32.17,42.56,,3.76
2018-08-06,林口,2.7,11.37,14.07,28.56,35.38,,3.39
2018-08-13,林口,2.36,13.3,15.66,29.29,30.09,,3.5
2018-08-20,林口,2.66,13.58,16.24,28.95,20.82,,3.16
2018-08-27,林口,6.41,18.57,24.98,24.01,27.43,,3.51
2018-09-03,林口,2.46,13.26,15.73,33.26,33.9,11.31,2.99
2018-09-10,林口,3.91,9.38,13.29,20.58,22.32,4.31,2.07
2018-09-17,林口,3.42,13.31,16.71,27.15,36.81,13.56,3.58
2018-09-24,林口,1.63,6.79,8.43,48.32,38.0,6.69,1.71
2018-10-01,林口,2.32,11.42,13.74,55.94,43.39,11.12,2.24
2018-10-08,林口,2.69,11.52,14.21,39.89,30.53,8.05,1.8
2018-10-15,林口,2.42,11.53,13.95,45.39,32.38,8.01,1.99
2018-10-22,林口,2.69,12.21,14.9,43.76,50.42,13.97,2.74
2018-10-29,林口,2.03,10.01,12.03,48.33,33.59,6.65,1.92
2018-11-05,林口,3.38,12.46,15.84,31.97,40.5,14.52,2.73
2018-11-12,林口,2.47,10.27,12.75,36.7,31.81,8.51,2.09
2018-11-19,林口,2.75,11.16,13.91,35.8,29.51,8.5,1.96
2018-11-26,林口,3.35,15.26,18.61,38.1,44.7,14.99,2.52
2018-12-03,林口,6.2,14.29,20.48,29.71,31.81,10.94,2.42
2018-12-10,林口,3.25,10.56,13.81,29.29,21.06,6.43,1.46
2018-12-17,林口,3.78,16.55,20.33,40.69,46.2,17.9,2.85
2018-12-24,林口,2.35,7.81,10.16,34.69,15.1,4.19,1.41
