日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2018-01-01,永和,9.16,15.76,24.91,28.45,25.08,11.81,2.02
2018-01-08,永和,13.79,18.93,32.72,24.16,24.56,12.91,1.84
2018-01-15,永和,13.36,21.15,34.51,27.97,27.74,16.53,2.79
2018-01-22,永和,7.24,14.05,21.29,32.04,23.45,11.55,2.06
2018-01-29,永和,8.6,19.53,28.13,26.79,21.18,14.5,1.53
2018-02-05,永和,22.63,23.44,46.06,25.08,34.97,20.19,2.07
2018-02-12,永和,10.86,23.14,34.0,30.26,57.36,26.08,2.4
2018-02-19,永和,14.38,23.96,38.34,24.95,40.82,23.98,2.67
2018-02-26,永和,29.27,32.92,62.18,18.86,58.36,32.76,3.11
2018-03-05,永和,9.43,17.09,26.52,30.92,27.02,14.17,1.82
2018-03-12,永和,18.43,30.27,48.69,24.54,39.48,20.81,2.88
2018-03-19,永和,9.54,21.08,30.63,35.45,39.11,17.85,1.97
2018-03-26,永和,7.26,16.69,23.93,34.6,37.6,15.46,2.0
2018-04-02,永和,6.73,19.29,26.02,34.99,60.18,22.87,2.27
2018-04-09,永和,13.83,26.17,39.99,27.32,43.17,20.94,3.38
2018-04-16,永和,5.03,18.6,23.61,41.91,45.61,17.58,2.04
2018-04-23,永和,6.69,19.94,26.63,41.99,35.47,19.98,2.16
2018-04-30,永和,7.8,23.23,31.03,34.27,40.22,22.07,2.73
2018-05-07,永和,7.1,20.14,27.23,34.98,33.96,15.03,2.76
2018-05-14,永和,10.35,25.37,35.72,25.38,41.81,23.76,4.06
2018-05-21,永和,9.5,23.27,32.76,30.3,39.36,19.1,3.66
2018-05-28,永和,6.59,18.41,24.99,36.38,29.56,15.32,2.62
2018-06-04,永和,6.56,14.7,21.26,21.19,18.5,9.88,3.19
2018-06-11,永和,6.19,15.71,21.89,39.91,22.71,12.99,1.86
2018-06-18,永和,11.55,16.33,27.88,15.59,20.76,9.02,2.43
2018-06-25,永和,9.65,19.72,29.36,25.22,29.52,16.63,2.85
2018-07-02,永和,10.26,14.61,24.87,17.11,22.97,9.65,2.18
2018-07-09,永和,6.64,7.19,13.83,13.18,13.95,6.75,1.48
2018-07-16,永和,7.44,7.98,15.41,11.28,12.91,7.22,1.66
2018-07-23,永和,11.71,20.17,31.88,22.73,32.04,19.44,2.6
2018-07-30,永和,9.03,20.6,29.63,26.58,31.67,18.92,3.02
2018-08-06,永和,7.8,15.86,23.66,23.05,27.23,18.65,3.03
2018-08-13,永和,10.26,20.25,30.5,19.93,25.12,12.48,2.41
2018-08-20,永和,7.65,16.53,24.18,23.84,19.95,10.11,2.24
2018-08-27,永和,12.02,19.32,31.34,17.74,20.14,9.95,2.21
2018-09-03,永和,10.69,20.65,31.33,22.73,23.82,14.84,2.4
2018-09-10,永和,6.87,10.3,17.16,18.27,13.05,7.48,1.56
2018-09-17,永和,8.51,14.77,23.28,20.95,22.04,17.39,2.27
2018-09-24,永和,11.28,20.17,31.44,29.18,29.12,14.35,1.63
2018-10-01,永和,5.41,16.39,21.78,47.18,34.32,15.13,2.11
2018-10-08,永和,4.14,14.55,18.68,34.68,16.16,9.95,2.08
2018-10-15,永和,5.26,14.99,20.24,39.1,21.31,10.42,1.67
2018-10-22,永和,8.31,18.5,26.8,34.12,37.95,15.78,2.32
2018-10-29,永和,5.78,14.81,20.58,41.51,21.46,9.47,1.97
2018-11-05,永和,8.04,20.2,28.23,24.21,29.02,16.62,2.56
2018-11-12,永和,6.96,17.46,24.42,29.21,23.85,11.38,1.82
2018-11-19,永和,5.75,15.1,20.85,31.03,18.64,9.62,2.11
2018-11-26,永和,6.24,17.33,23.57,31.49,28.12,14.14,1.82
2018-12-03,永和,9.07,19.0,28.06,25.83,19.19,10.21,2.28
2018-12-10,永和,8.65,15.61,24.26,23.46,17.08,8.63,1.59
2018-12-17,永和,11.03,23.28,34.3,27.87,33.33,17.74,2.4
2018-12-24,永和,7.33,14.95,22.27,27.72,13.06,6.37,1.61
