日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2018-01-01,頭份,3.75,17.31,21.06,24.7,42.61,19.77,2.51
2018-01-08,頭份,2.57,13.61,16.18,31.2,29.23,11.7,1.92
2018-01-15,頭份,3.57,17.36,20.92,27.09,46.62,21.63,2.97
2018-01-22,頭份,1.79,12.65,14.43,33.48,33.53,10.94,2.24
2018-01-29,頭份,1.68,11.8,13.48,33.0,30.85,16.09,2.14
2018-02-05,頭份,2.65,14.13,16.78,31.71,40.88,19.13,1.7
2018-02-12,頭份,2.41,15.53,17.94,36.26,78.81,34.76,2.29
2018-02-19,頭份,2.26,14.89,17.15,29.7,52.8,26.53,2.17
2018-02-26,頭份,3.7,15.83,19.53,27.72,68.28,32.06,2.53
2018-03-05,頭份,1.81,12.36,14.18,34.28,40.14,17.53,2.21
2018-03-12,頭份,2.44,15.79,18.24,30.76,50.78,23.81,2.24
2018-03-19,頭份,2.12,13.89,16.02,39.72,48.19,19.43,2.15
2018-03-26,頭份,1.49,12.12,13.62,35.25,55.55,25.13,1.75
2018-04-02,頭份,1.19,9.79,10.98,36.8,65.65,26.36,1.82
2018-04-09,頭份,2.17,11.57,13.74,31.34,45.7,17.7,2.34
2018-04-16,頭份,1.45,15.34,16.8,43.81,61.02,27.0,2.8
2018-04-23,頭份,1.78,16.63,18.41,28.21,49.61,24.07,1.69
2018-04-30,頭份,1.35,12.43,13.78,31.04,44.27,19.0,2.79
2018-05-07,頭份,1.4,11.93,13.33,35.69,41.72,15.43,2.4
2018-05-14,頭份,3.1,10.71,13.81,16.39,30.48,11.7,3.41
2018-05-21,頭份,1.98,11.36,13.34,29.61,38.16,16.54,3.12
2018-05-28,頭份,1.38,10.5,11.88,36.64,33.95,14.97,3.06
2018-06-04,頭份,1.79,10.73,12.52,27.73,34.6,10.07,2.6
2018-06-11,頭份,1.24,12.79,14.03,42.37,36.76,13.04,1.95
2018-06-18,頭份,2.51,8.81,11.31,18.61,26.78,7.35,2.22
2018-06-25,頭份,1.94,9.08,11.02,20.57,27.06,7.88,3.12
2018-07-02,頭份,2.05,7.92,9.97,21.73,24.2,5.18,2.52
2018-07-09,頭份,1.91,8.66,10.58,23.9,35.53,9.6,2.92
2018-07-16,頭份,1.83,10.77,12.6,27.14,37.16,14.12,3.0
2018-07-23,頭份,1.83,8.96,10.79,23.14,33.19,10.66,2.87
2018-07-30,頭份,1.74,8.85,10.58,26.03,28.8,9.52,3.01
2018-08-06,頭份,1.18,10.7,11.88,29.29,36.43,19.68,3.19
2018-08-13,頭份,1.31,10.6,11.89,27.53,25.54,9.4,2.45
2018-08-20,頭份,1.53,10.57,12.09,29.68,25.31,8.17,2.92
2018-08-27,頭份,2.52,9.72,12.25,20.85,25.54,11.44,2.56
2018-09-03,頭份,1.36,9.93,11.28,30.0,32.06,17.47,2.69
2018-09-10,頭份,2.12,9.95,12.07,28.15,32.54,13.03,2.39
2018-09-17,頭份,1.78,10.91,12.69,29.67,43.69,25.31,3.2
2018-09-24,頭份,0.99,9.34,10.33,44.95,36.7,16.41,1.78
2018-10-01,頭份,0.97,11.51,12.48,53.13,41.23,20.31,2.02
2018-10-08,頭份,1.14,11.34,12.47,37.78,29.45,16.5,2.12
2018-10-15,頭份,1.15,11.5,12.65,42.21,32.07,13.9,2.09
2018-10-22,頭份,1.42,12.02,13.45,41.19,48.43,19.69,2.65
2018-10-29,頭份,2.4,10.25,12.65,43.27,30.76,12.12,1.45
2018-11-05,頭份,2.74,15.59,18.34,27.35,49.91,29.32,3.21
2018-11-12,頭份,2.23,13.34,15.58,28.48,33.64,18.4,2.67
2018-11-19,頭份,2.85,14.16,17.0,27.25,29.4,16.42,2.43
2018-11-26,頭份,2.28,15.04,17.31,33.05,44.32,25.18,2.72
2018-12-03,頭份,3.05,11.74,14.79,25.87,27.87,14.72,2.4
2018-12-10,頭份,1.97,11.58,13.56,25.62,23.29,10.43,1.16
2018-12-17,頭份,2.0,16.14,18.14,32.11,54.55,25.53,1.56
2018-12-24,頭份,1.74,7.93,9.66,29.79,16.16,6.8,0.66
