日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2018-01-01,仁武,7.22,22.22,29.44,24.6,82.5,37.49,3.77
2018-01-08,仁武,6.06,22.81,28.86,24.02,57.43,22.33,3.15
2018-01-15,仁武,6.25,24.36,30.6,26.35,102.37,56.06,3.36
2018-01-22,仁武,4.08,21.06,25.13,27.35,85.24,33.54,2.89
2018-01-29,仁武,5.4,20.94,26.35,21.78,56.63,36.05,2.67
2018-02-05,仁武,7.14,23.25,30.38,19.69,67.33,42.74,2.67
2018-02-12,仁武,2.97,18.56,21.53,32.44,82.36,34.88,2.99
2018-02-19,仁武,3.8,18.89,22.69,29.73,79.25,45.87,3.05
2018-02-26,仁武,3.4,18.11,21.51,31.38,78.56,41.22,3.55
2018-03-05,仁武,3.25,18.11,21.37,31.89,69.85,32.42,3.21
2018-03-12,仁武,3.97,21.53,25.5,42.09,78.5,39.17,4.33
2018-03-19,仁武,1.97,16.5,18.45,45.23,68.2,27.31,3.9
2018-03-26,仁武,1.47,15.66,17.13,46.47,73.49,37.84,3.34
2018-04-02,仁武,1.43,12.82,14.25,39.79,72.57,26.22,3.45
2018-04-09,仁武,2.69,14.89,17.58,28.64,47.98,16.18,4.06
2018-04-16,仁武,2.04,16.06,18.1,46.28,72.86,35.15,4.31
2018-04-23,仁武,1.53,10.9,12.43,44.84,52.52,23.65,3.6
2018-04-30,仁武,2.05,11.75,13.8,34.55,52.73,22.06,4.05
2018-05-07,仁武,1.69,11.12,11.88,35.9,42.24,13.86,3.49
2018-05-14,仁武,3.11,9.44,12.55,18.37,32.64,10.6,4.06
2018-05-21,仁武,1.76,9.5,11.25,26.67,37.78,15.66,3.61
2018-05-28,仁武,1.9,10.26,12.16,32.78,40.15,17.31,4.29
2018-06-04,仁武,1.42,9.77,11.19,33.07,45.06,15.37,4.22
2018-06-11,仁武,1.2,10.9,12.09,41.25,39.56,12.91,3.11
2018-06-18,仁武,3.47,10.4,13.88,17.21,30.62,7.7,2.92
2018-06-25,仁武,2.49,9.04,11.54,20.14,32.52,9.96,3.36
2018-07-02,仁武,3.03,10.78,13.81,18.46,26.81,6.8,2.93
2018-07-09,仁武,1.71,10.96,12.66,27.43,40.87,14.06,3.72
2018-07-16,仁武,1.67,8.6,10.29,31.13,37.5,12.61,3.13
2018-07-23,仁武,2.02,10.47,12.5,24.56,35.74,11.4,3.35
2018-07-30,仁武,2.36,8.6,10.96,22.02,30.29,8.66,2.95
2018-08-06,仁武,2.05,9.88,11.93,30.21,31.34,11.5,3.13
2018-08-13,仁武,2.07,11.79,13.86,24.05,23.66,6.12,2.79
2018-08-20,仁武,1.69,10.1,11.8,31.31,24.53,8.37,3.11
2018-08-27,仁武,3.86,10.11,13.97,18.52,23.2,6.98,2.82
2018-09-03,仁武,2.06,9.58,11.64,27.52,32.46,12.07,2.93
2018-09-10,仁武,2.51,13.2,15.69,30.06,47.23,17.13,3.38
2018-09-17,仁武,2.15,11.59,13.74,32.29,48.71,18.09,3.29
2018-09-24,仁武,1.81,14.31,16.12,43.16,62.09,17.8,4.18
2018-10-01,仁武,1.27,15.5,16.78,59.31,70.69,24.17,4.33
2018-10-08,仁武,1.98,17.36,19.33,43.52,61.63,26.65,4.35
2018-10-15,仁武,1.78,19.05,20.83,43.09,67.12,26.68,4.34
2018-10-22,仁武,1.3,17.7,18.97,44.07,77.7,31.74,4.69
2018-10-29,仁武,4.01,25.43,29.43,31.33,83.8,29.79,4.28
2018-11-05,仁武,2.88,18.39,21.26,35.28,82.71,36.2,4.47
2018-11-12,仁武,2.54,19.68,22.22,39.9,79.94,39.59,5.2
2018-11-19,仁武,2.63,21.47,24.07,33.28,62.5,23.64,4.26
2018-11-26,仁武,4.02,21.83,25.84,28.53,61.15,27.51,4.53
2018-12-03,仁武,4.54,21.77,26.32,29.05,71.88,30.15,4.23
2018-12-10,仁武,5.02,20.77,25.77,24.86,63.89,32.29,3.68
2018-12-17,仁武,4.41,23.65,28.06,32.54,78.94,42.58,3.77
2018-12-24,仁武,2.81,17.17,19.97,25.3,57.8,25.61,3.2
