日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2018-01-01,前金,4.37,19.96,24.33,27.28,76.61,44.38,2.51
2018-01-08,前金,3.39,19.71,23.09,26.92,55.24,25.05,2.79
2018-01-15,前金,3.6,21.19,24.79,28.89,97.77,61.59,2.59
2018-01-22,前金,3.11,20.95,24.06,27.47,83.38,38.61,2.85
2018-01-29,前金,3.75,20.0,23.76,22.44,55.37,33.25,2.11
2018-02-05,前金,4.79,22.58,27.38,20.55,68.96,41.1,2.07
2018-02-12,前金,2.73,17.53,20.26,33.27,81.38,34.71,2.55
2018-02-19,前金,3.59,19.11,22.7,29.95,80.2,44.39,2.46
2018-02-26,前金,4.71,18.36,23.07,28.8,70.21,37.57,3.71
2018-03-05,前金,2.76,16.07,18.82,32.6,69.13,31.23,2.9
2018-03-12,前金,2.33,15.87,18.2,46.76,70.51,35.48,2.64
2018-03-19,前金,2.22,14.7,16.92,46.16,62.91,26.26,2.95
2018-03-26,前金,1.3,12.26,13.54,50.5,75.0,37.31,2.8
2018-04-02,前金,1.54,10.43,11.97,41.34,76.12,28.34,2.58
2018-04-09,前金,3.24,12.44,15.68,30.75,44.01,14.62,4.2
2018-04-16,前金,1.97,13.33,15.28,50.07,65.61,29.07,3.17
2018-04-23,前金,1.6,8.89,10.47,49.43,50.81,20.83,3.04
2018-04-30,前金,2.03,9.98,12.01,34.38,58.87,19.45,3.61
2018-05-07,前金,1.7,8.95,10.65,38.7,46.3,14.09,3.15
2018-05-14,前金,2.38,8.26,10.63,17.8,31.92,9.39,4.08
2018-05-21,前金,1.46,6.24,7.68,27.55,38.13,12.83,2.61
2018-05-28,前金,2.11,7.94,10.05,32.06,44.56,15.57,3.83
2018-06-04,前金,1.78,8.11,9.88,31.21,36.71,12.68,3.04
2018-06-11,前金,2.09,10.82,12.91,41.66,45.07,12.62,3.63
2018-06-18,前金,5.51,13.94,19.46,14.58,34.27,7.77,4.18
2018-06-25,前金,2.29,8.09,10.37,20.07,30.23,8.93,3.0
2018-07-02,前金,8.98,16.04,25.01,12.76,32.19,8.45,3.22
2018-07-09,前金,2.31,9.67,11.96,25.5,36.56,11.78,3.85
2018-07-16,前金,1.55,8.0,9.56,30.0,33.33,13.03,2.18
2018-07-23,前金,2.34,12.02,14.35,21.6,32.5,11.39,2.66
2018-07-30,前金,3.03,8.66,11.69,19.28,27.08,7.59,2.11
2018-08-06,前金,1.98,8.89,10.88,29.9,30.61,11.65,2.54
2018-08-13,前金,3.91,14.98,18.88,22.0,23.91,7.74,3.51
2018-08-20,前金,2.91,14.34,17.24,26.05,23.56,7.92,3.82
2018-08-27,前金,7.87,12.94,20.8,14.02,26.42,8.19,3.94
2018-09-03,前金,2.18,10.77,12.94,25.36,30.92,14.1,2.73
2018-09-10,前金,2.56,10.18,12.75,31.53,43.17,18.7,3.01
2018-09-17,前金,1.95,9.08,11.02,34.28,42.73,20.69,2.96
2018-09-24,前金,1.73,11.79,13.51,43.98,67.06,23.72,3.17
2018-10-01,前金,1.32,12.85,14.13,59.38,71.24,28.76,3.52
2018-10-08,前金,2.47,13.7,16.16,45.46,58.52,31.16,3.4
2018-10-15,前金,1.7,12.71,14.4,48.69,63.92,31.44,2.98
2018-10-22,前金,1.73,13.17,14.87,48.47,87.7,35.57,3.55
2018-10-29,前金,3.24,18.67,21.9,32.87,94.07,34.38,3.4
2018-11-05,前金,2.52,15.08,17.52,39.39,83.11,39.58,3.41
2018-11-12,前金,2.82,16.68,19.49,41.98,78.22,42.58,4.52
2018-11-19,前金,3.12,17.91,21.02,36.29,60.31,28.04,3.53
2018-11-26,前金,4.21,19.75,23.95,31.83,62.41,33.33,4.09
2018-12-03,前金,3.78,17.92,21.69,31.97,71.46,30.62,3.47
2018-12-10,前金,4.8,20.58,25.37,25.77,62.12,30.99,3.19
2018-12-17,前金,3.37,18.83,22.2,38.43,78.51,39.85,3.38
2018-12-24,前金,3.49,17.33,20.83,26.89,62.41,24.37,3.2
