日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2018-01-01,左營,3.85,21.39,25.24,26.58,84.25,38.56,2.73
2018-01-08,左營,3.03,20.51,23.52,27.48,56.28,26.28,2.98
2018-01-15,左營,2.84,23.76,26.58,27.54,103.6,57.2,3.15
2018-01-22,左營,2.68,21.74,24.41,27.82,87.65,37.7,3.23
2018-01-29,左營,3.06,20.5,23.56,21.28,58.86,32.79,2.33
2018-02-05,左營,3.72,22.43,26.14,20.42,71.27,42.19,2.49
2018-02-12,左營,2.28,17.52,19.78,34.26,87.73,34.06,2.92
2018-02-19,左營,2.78,19.61,22.37,30.72,86.2,40.07,3.2
2018-02-26,左營,3.83,20.45,24.27,31.7,83.76,36.89,3.59
2018-03-05,左營,1.85,17.69,19.54,33.24,75.2,30.24,3.29
2018-03-12,左營,2.15,18.19,20.33,46.04,77.59,35.03,3.21
2018-03-19,左營,1.56,15.94,17.48,46.8,66.32,24.71,3.36
2018-03-26,左營,1.08,13.71,14.8,49.6,80.32,34.1,2.96
2018-04-02,左營,0.93,10.85,11.76,42.06,83.39,25.49,2.96
2018-04-09,左營,1.71,13.71,15.41,31.51,51.7,13.44,3.84
2018-04-16,左營,1.17,14.24,15.41,49.26,75.66,29.72,3.82
2018-04-23,左營,1.33,9.19,10.53,46.05,56.2,20.96,3.33
2018-04-30,左營,1.3,9.53,10.83,35.22,56.11,17.8,3.74
2018-05-07,左營,1.3,9.43,10.71,36.66,46.1,13.87,3.35
2018-05-14,左營,2.26,8.39,10.64,16.73,34.04,9.83,3.56
2018-05-21,左營,1.0,7.25,8.25,27.21,38.59,14.55,1.92
2018-05-28,左營,1.37,8.6,9.97,31.9,41.77,15.43,2.58
2018-06-04,左營,1.09,9.57,10.66,31.96,40.47,15.3,2.16
2018-06-11,左營,1.21,11.72,12.92,39.72,38.4,12.25,2.16
2018-06-18,左營,5.0,13.13,18.12,13.56,30.48,8.02,2.18
2018-06-25,左營,1.9,8.85,10.74,17.61,30.95,8.85,1.74
2018-07-02,左營,7.32,15.68,22.99,12.46,28.72,7.14,1.52
2018-07-09,左營,1.63,10.78,12.41,24.98,37.55,12.0,2.39
2018-07-16,左營,0.79,8.28,9.05,27.89,36.59,12.26,1.88
2018-07-23,左營,1.85,11.4,13.25,19.89,37.32,12.25,2.44
2018-07-30,左營,2.32,9.86,12.19,18.3,31.85,9.98,2.51
2018-08-06,左營,1.36,10.41,11.78,27.27,34.68,12.71,2.92
2018-08-13,左營,3.02,14.17,17.18,20.62,26.89,6.9,2.84
2018-08-20,左營,2.52,13.35,15.85,25.44,26.77,7.66,2.95
2018-08-27,左營,6.52,12.92,19.45,13.84,28.11,7.07,2.91
2018-09-03,左營,1.74,11.14,12.88,23.77,35.64,11.77,2.51
2018-09-10,左營,1.89,11.68,13.56,29.58,46.89,17.02,2.9
2018-09-17,左營,1.56,9.78,11.34,32.88,45.22,17.28,2.97
2018-09-24,左營,1.35,11.82,13.17,41.71,64.98,20.9,3.19
2018-10-01,左營,1.22,12.44,13.67,59.73,72.28,27.0,3.83
2018-10-08,左營,1.83,15.29,17.11,44.6,67.51,28.26,3.74
2018-10-15,左營,1.7,14.94,16.63,45.33,71.99,28.19,3.09
2018-10-22,左營,1.43,14.58,16.0,46.98,89.86,32.84,3.78
2018-10-29,左營,2.31,21.98,24.28,33.75,90.29,29.89,3.51
2018-11-05,左營,2.08,16.85,18.93,39.0,85.55,35.8,3.72
2018-11-12,左營,1.77,18.05,19.81,42.93,80.56,36.47,4.25
2018-11-19,左營,1.94,18.51,20.44,36.48,62.24,22.98,3.89
2018-11-26,左營,2.68,20.45,23.12,31.89,60.68,27.85,3.59
2018-12-03,左營,2.46,20.18,22.63,30.88,70.65,27.29,3.59
2018-12-10,左營,2.9,21.63,24.53,26.62,60.84,26.67,3.17
2018-12-17,左營,1.95,21.38,23.33,37.8,78.14,36.58,3.46
2018-12-24,左營,2.3,17.82,20.12,26.64,57.35,20.31,2.99
