日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2019-01-01,南投,6.02,20.92,26.94,13.8,44.03,21.72,2.07
2019-01-08,南投,5.89,21.4,27.28,15.65,49.19,23.0,2.24
2019-01-15,南投,2.81,18.58,21.4,18.64,48.15,25.19,1.84
2019-01-22,南投,4.42,19.82,24.24,21.35,57.18,27.61,2.0
2019-01-29,南投,3.36,20.32,23.68,20.95,59.66,29.32,1.95
2019-02-05,南投,2.16,14.2,16.36,20.24,52.6,26.23,1.74
2019-02-12,南投,4.1,17.87,21.97,18.84,45.61,22.66,1.85
2019-02-19,南投,3.58,19.08,22.66,19.04,56.09,28.84,2.37
2019-02-26,南投,2.51,17.54,20.05,23.92,64.53,33.82,2.27
2019-03-05,南投,4.04,21.16,25.21,17.88,34.59,18.52,2.13
2019-03-12,南投,3.48,19.06,22.54,25.67,59.11,33.67,2.29
2019-03-19,南投,5.36,16.76,22.11,18.65,49.06,26.34,2.15
2019-03-26,南投,2.88,15.26,18.14,24.68,47.83,25.96,2.11
2019-04-02,南投,2.98,14.08,17.06,25.07,58.98,36.06,1.91
2019-04-09,南投,2.34,14.68,17.03,21.63,43.64,25.73,1.9
2019-04-16,南投,2.61,13.62,16.22,20.05,38.63,20.08,1.57
2019-04-23,南投,1.9,9.85,11.75,23.1,39.56,21.38,2.2
2019-04-30,南投,3.39,15.08,18.45,19.47,33.11,14.29,1.94
2019-05-07,南投,2.47,16.17,18.64,21.22,44.0,21.23,2.25
2019-05-14,南投,2.39,8.56,10.95,12.42,25.6,10.22,1.55
2019-05-21,南投,2.57,14.83,17.4,22.55,45.82,22.45,2.17
2019-05-28,南投,2.36,10.71,13.03,16.92,25.48,9.16,2.07
2019-06-04,南投,3.02,6.95,9.97,12.88,18.76,5.6,1.54
2019-06-11,南投,3.0,10.5,13.5,22.19,16.28,8.31,1.54
2019-06-18,南投,2.51,6.44,8.94,14.59,18.92,6.14,1.61
2019-06-25,南投,1.86,7.12,8.94,17.64,19.28,6.01,1.63
2019-07-02,南投,1.97,6.72,8.66,12.53,21.19,3.75,1.64
2019-07-09,南投,2.25,5.17,7.4,,,,
2019-07-16,南投,2.15,7.66,9.8,18.9,22.61,15.31,1.93
2019-07-23,南投,2.0,6.8,8.79,18.39,21.27,7.76,1.98
2019-07-30,南投,2.16,7.78,9.94,25.4,29.25,13.91,2.3
2019-08-06,南投,2.51,7.28,9.78,25.27,30.93,14.68,2.14
2019-08-13,南投,1.61,7.69,9.29,25.52,14.17,6.69,1.7
2019-08-20,南投,1.71,8.31,10.02,24.52,27.16,14.84,2.34
2019-08-27,南投,1.94,9.23,11.17,27.51,31.27,19.28,2.23
2019-09-03,南投,1.89,9.46,11.35,25.77,25.84,14.8,1.9
2019-09-10,南投,1.99,10.6,12.59,34.46,39.21,25.66,2.22
2019-09-17,南投,1.85,12.77,14.61,43.96,34.48,16.56,1.99
2019-09-24,南投,3.12,13.77,16.88,29.33,39.85,21.72,2.09
2019-10-01,南投,1.89,10.55,12.43,30.88,48.21,32.1,2.4
2019-10-08,南投,1.92,13.38,15.29,34.85,48.72,28.64,2.2
2019-10-15,南投,3.09,15.15,18.24,33.14,37.69,17.37,1.92
2019-10-22,南投,2.31,17.13,19.43,32.68,44.1,24.78,2.19
2019-10-29,南投,3.06,17.35,20.41,30.4,52.23,24.61,2.04
2019-11-05,南投,3.12,15.82,18.94,31.87,39.43,19.07,1.83
2019-11-12,南投,2.68,16.55,19.22,32.45,55.83,32.13,2.11
2019-11-19,南投,4.31,15.87,20.17,21.8,32.89,15.93,1.77
2019-11-26,南投,3.6,15.85,19.44,25.15,37.02,16.85,2.21
2019-12-03,南投,4.2,16.67,20.86,20.71,25.48,13.39,2.03
2019-12-10,南投,5.32,17.85,23.17,24.17,43.73,23.88,1.74
2019-12-17,南投,6.91,18.34,25.25,16.63,34.13,18.01,1.77
2019-12-24,南投,5.68,19.45,25.14,18.56,35.42,19.11,1.97
