日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2019-01-01,士林,2.62,9.02,11.64,27.74,14.47,7.29,1.16
2019-01-08,士林,5.4,13.13,18.52,25.58,26.32,12.19,1.87
2019-01-15,士林,3.64,12.85,16.47,37.08,27.79,14.49,1.52
2019-01-22,士林,2.31,9.36,11.65,49.09,39.35,18.33,2.22
2019-01-29,士林,4.66,16.64,21.27,35.43,39.5,18.93,2.03
2019-02-05,士林,1.96,8.9,10.86,33.57,27.86,12.91,1.24
2019-02-12,士林,2.43,11.78,14.2,31.95,20.91,8.74,1.57
2019-02-19,士林,3.27,14.14,17.4,32.22,25.7,11.24,1.92
2019-02-26,士林,2.25,14.21,16.45,36.78,42.73,21.47,1.75
2019-03-05,士林,2.75,13.9,16.62,43.99,27.27,14.98,1.77
2019-03-12,士林,2.31,11.08,13.39,57.9,40.63,19.23,1.81
2019-03-19,士林,3.63,13.08,16.69,40.69,35.37,17.42,1.92
2019-03-26,士林,2.55,11.57,14.11,46.52,38.77,18.47,2.31
2019-04-02,士林,2.95,15.36,18.31,43.05,36.38,20.05,2.15
2019-04-09,士林,2.81,12.49,15.29,41.37,33.65,15.81,1.95
2019-04-16,士林,2.74,16.13,18.86,42.04,39.02,19.56,2.03
2019-04-23,士林,2.6,11.76,14.34,40.5,33.82,17.95,2.82
2019-04-30,士林,2.06,8.88,10.91,53.36,37.07,15.41,1.45
2019-05-07,士林,2.19,10.58,12.76,44.91,23.54,11.39,1.71
2019-05-14,士林,4.37,14.58,18.93,24.19,34.03,18.62,2.49
2019-05-21,士林,1.78,9.92,11.7,47.9,36.56,15.71,1.36
2019-05-28,士林,2.93,13.27,16.18,32.23,30.57,14.05,1.51
2019-06-04,士林,4.66,14.58,19.23,20.42,26.06,11.23,1.66
2019-06-11,士林,2.92,14.16,17.03,38.47,22.81,11.6,1.71
2019-06-18,士林,3.74,13.92,17.65,23.45,25.8,11.68,2.21
2019-06-25,士林,4.07,12.8,16.85,26.46,13.21,11.65,2.13
2019-07-02,士林,1.89,12.13,13.99,25.21,21.42,12.4,2.1
2019-07-09,士林,3.78,11.96,15.72,24.04,17.36,12.98,2.48
2019-07-16,士林,2.73,9.63,12.35,22.59,19.67,11.34,1.94
2019-07-23,士林,3.15,12.4,15.55,25.9,23.27,13.35,1.99
2019-07-30,士林,2.26,4.18,6.43,17.71,8.44,8.15,1.83
2019-08-06,士林,2.81,6.79,9.58,25.61,19.7,12.28,1.7
2019-08-13,士林,1.94,11.89,13.83,34.62,22.33,11.77,2.53
2019-08-20,士林,2.4,8.09,10.5,23.75,16.5,9.05,1.92
2019-08-27,士林,2.45,5.81,8.25,16.83,13.09,8.5,1.87
2019-09-03,士林,3.73,9.31,13.03,21.99,15.25,9.85,2.21
2019-09-10,士林,1.83,6.98,8.8,24.84,17.11,10.68,2.17
2019-09-17,士林,2.32,12.35,14.66,42.68,30.41,12.34,1.83
2019-09-24,士林,2.87,6.63,9.49,29.37,13.33,4.58,1.67
2019-10-01,士林,2.97,9.28,12.24,35.1,29.87,16.6,1.99
2019-10-08,士林,1.6,6.85,8.44,50.0,28.85,13.14,1.73
2019-10-15,士林,1.58,7.24,8.8,49.88,28.65,10.48,1.84
2019-10-22,士林,2.67,7.92,10.57,46.62,23.98,10.08,2.16
2019-10-29,士林,2.16,5.16,7.28,53.29,36.27,13.74,1.91
2019-11-05,士林,1.04,5.76,6.77,51.86,24.21,8.61,1.77
2019-11-12,士林,2.59,9.69,12.27,46.3,37.29,15.98,1.95
2019-11-19,士林,3.15,10.39,13.54,28.5,18.49,6.23,1.67
2019-11-26,士林,1.68,7.26,8.94,36.4,18.07,6.63,1.83
2019-12-03,士林,2.05,8.45,10.5,39.89,20.04,7.73,1.89
2019-12-10,士林,3.63,12.13,15.75,39.32,28.93,12.52,2.19
2019-12-17,士林,4.49,13.29,17.77,26.04,13.83,5.59,1.47
2019-12-24,士林,9.15,15.09,24.23,24.27,19.73,8.76,2.14
