日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2019-01-01,崙背,2.93,13.03,15.96,24.22,47.54,23.77,3.02
2019-01-08,崙背,2.98,11.92,14.9,25.83,59.26,29.08,2.76
2019-01-15,崙背,1.71,12.25,13.95,35.4,69.87,41.53,2.71
2019-01-22,崙背,2.01,13.18,15.17,39.82,73.14,38.06,3.02
2019-01-29,崙背,2.46,15.03,17.46,32.74,77.52,49.16,3.27
2019-02-05,崙背,2.5,10.24,12.73,31.79,50.08,32.61,2.53
2019-02-12,崙背,2.03,10.89,12.91,31.49,47.8,31.33,2.88
2019-02-19,崙背,2.36,11.99,14.34,30.28,50.66,33.84,2.64
2019-02-26,崙背,1.71,11.59,13.29,38.13,64.28,41.89,2.75
2019-03-05,崙背,1.84,13.48,15.32,34.13,35.21,29.52,2.46
2019-03-12,崙背,1.93,12.24,14.16,46.21,68.47,38.79,2.78
2019-03-19,崙背,3.17,10.38,13.54,28.19,50.05,28.16,2.53
2019-03-26,崙背,2.41,9.49,11.9,39.87,46.52,24.98,2.73
2019-04-02,崙背,3.26,8.4,11.65,42.12,58.73,34.89,2.42
2019-04-09,崙背,2.98,8.87,11.85,34.07,45.19,22.48,2.87
2019-04-16,崙背,2.42,8.3,10.71,37.89,36.23,22.99,2.13
2019-04-23,崙背,1.75,7.27,9.02,29.25,39.05,22.05,2.05
2019-04-30,崙背,1.29,9.36,10.64,36.99,40.12,20.96,2.04
2019-05-07,崙背,1.7,10.67,12.37,35.52,43.28,24.66,2.69
2019-05-14,崙背,1.5,5.74,7.24,18.84,28.94,8.93,1.7
2019-05-21,崙背,1.65,8.9,10.54,42.49,60.15,27.84,2.82
2019-05-28,崙背,1.29,7.08,8.37,26.87,26.83,8.45,2.43
2019-06-04,崙背,2.07,6.89,8.95,15.33,21.31,5.19,1.6
2019-06-11,崙背,1.45,8.52,9.95,33.37,28.44,11.7,2.18
2019-06-18,崙背,1.38,5.83,7.21,14.88,17.92,6.74,1.14
2019-06-25,崙背,1.52,5.85,7.37,22.37,11.37,7.94,1.5
2019-07-02,崙背,1.14,3.85,5.0,22.86,15.27,6.2,1.54
2019-07-09,崙背,1.11,4.33,5.44,20.77,18.48,9.59,1.74
2019-07-16,崙背,1.09,5.49,6.57,25.38,9.24,11.93,1.98
2019-07-23,崙背,1.47,6.55,8.01,18.51,19.34,8.62,1.63
2019-07-30,崙背,1.38,7.39,8.76,28.08,31.02,16.12,2.06
2019-08-06,崙背,1.45,5.06,6.5,27.66,36.38,13.85,1.89
2019-08-13,崙背,0.92,3.69,4.6,31.02,13.24,6.39,1.42
2019-08-20,崙背,1.79,5.8,7.59,27.72,27.1,14.24,2.1
2019-08-27,崙背,1.56,7.34,8.9,27.87,31.1,16.56,2.01
2019-09-03,崙背,1.69,6.78,8.47,28.91,27.91,14.68,1.97
2019-09-10,崙背,1.32,7.4,8.71,34.65,42.89,21.71,2.18
2019-09-17,崙背,1.31,7.7,8.99,53.74,70.0,18.24,2.23
2019-09-24,崙背,2.01,9.86,11.87,31.3,41.09,17.26,2.71
2019-10-01,崙背,2.22,7.86,10.08,36.24,57.66,34.84,2.13
2019-10-08,崙背,3.27,11.37,14.63,29.3,67.09,26.43,2.67
2019-10-15,崙背,1.73,8.35,10.07,45.0,55.28,16.26,2.29
2019-10-22,崙背,1.67,10.81,12.48,38.75,56.5,22.58,2.89
2019-10-29,崙背,1.73,10.31,12.03,40.68,77.08,23.75,2.41
2019-11-05,崙背,1.57,9.93,11.45,43.53,67.3,20.86,2.26
2019-11-12,崙背,3.46,13.73,17.18,39.32,87.87,42.46,2.61
2019-11-19,崙背,2.91,9.19,12.09,28.34,62.77,15.87,1.97
2019-11-26,崙背,1.6,10.43,12.03,32.51,72.34,17.56,2.55
2019-12-03,崙背,1.93,9.74,11.66,35.32,37.04,12.79,1.65
2019-12-10,崙背,3.51,13.37,16.87,30.1,59.68,28.72,2.2
2019-12-17,崙背,3.45,12.01,15.46,22.43,40.82,18.03,2.5
2019-12-24,崙背,2.33,11.74,14.07,25.65,45.35,15.52,2.71
