日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2019-01-01,新港,3.1,13.44,16.54,22.08,53.71,23.66,2.97
2019-01-08,新港,3.07,12.59,15.65,23.85,70.97,30.26,2.54
2019-01-15,新港,1.41,11.52,12.92,32.34,76.5,36.07,2.55
2019-01-22,新港,1.42,12.94,14.36,36.12,83.21,38.16,2.53
2019-01-29,新港,2.39,14.59,16.99,29.52,84.67,40.48,2.78
2019-02-05,新港,1.37,10.26,11.63,28.52,61.61,27.03,2.26
2019-02-12,新港,1.6,11.34,12.93,28.51,60.28,25.28,2.81
2019-02-19,新港,1.67,11.9,13.58,27.04,63.91,32.97,2.41
2019-02-26,新港,1.41,10.42,11.84,33.52,75.4,36.03,1.91
2019-03-05,新港,1.57,12.85,14.41,29.61,41.18,22.53,2.46
2019-03-12,新港,1.51,12.18,13.7,42.12,77.52,38.98,2.51
2019-03-19,新港,3.04,11.91,14.94,23.59,56.21,28.71,2.53
2019-03-26,新港,1.61,9.94,11.55,35.08,47.96,24.98,2.43
2019-04-02,新港,1.29,10.11,11.42,36.47,57.68,35.56,2.12
2019-04-09,新港,2.06,9.66,11.71,29.67,50.41,26.16,2.67
2019-04-16,新港,1.54,10.27,11.81,31.83,43.03,23.94,2.47
2019-04-23,新港,2.31,7.95,10.27,23.96,43.51,22.66,2.43
2019-04-30,新港,1.14,8.76,9.88,32.47,42.62,20.54,2.25
2019-05-07,新港,1.11,8.84,9.95,31.89,45.07,26.73,2.12
2019-05-14,新港,2.23,6.87,9.1,15.02,25.01,15.41,1.63
2019-05-21,新港,1.51,9.07,10.56,39.72,55.24,30.88,2.64
2019-05-28,新港,1.78,7.57,9.34,23.47,31.61,15.34,1.93
2019-06-04,新港,2.57,7.29,9.86,14.15,25.77,13.33,2.09
2019-06-11,新港,1.6,9.24,10.85,31.54,22.16,17.13,2.41
2019-06-18,新港,2.47,6.93,9.39,14.04,17.8,9.63,1.39
2019-06-25,新港,2.27,7.59,9.85,20.03,18.34,9.65,1.95
2019-07-02,新港,1.48,5.06,6.53,20.11,16.02,9.91,1.7
2019-07-09,新港,1.69,5.03,6.72,18.8,10.89,11.09,1.71
2019-07-16,新港,1.71,6.51,8.22,25.24,29.36,14.74,1.7
2019-07-23,新港,2.01,7.9,9.9,17.75,19.77,10.19,2.17
2019-07-30,新港,1.44,8.86,10.3,27.93,30.05,17.52,2.24
2019-08-06,新港,1.06,4.8,5.86,28.7,33.68,14.34,1.74
2019-08-13,新港,1.35,6.21,7.56,27.2,14.42,7.93,1.71
2019-08-20,新港,1.58,6.27,7.83,27.7,22.66,15.94,1.94
2019-08-27,新港,2.04,7.31,9.35,27.54,27.76,19.93,2.48
2019-09-03,新港,1.72,7.72,9.44,26.78,23.7,16.0,2.12
2019-09-10,新港,1.08,7.99,9.08,35.54,38.92,25.33,2.32
2019-09-17,新港,0.74,7.63,8.36,54.07,54.55,20.05,2.24
2019-09-24,新港,1.48,8.6,10.09,33.54,48.6,21.08,1.79
2019-10-01,新港,1.35,7.65,9.0,40.33,52.33,32.54,1.91
2019-10-08,新港,1.33,8.96,10.29,44.48,59.28,27.07,2.46
2019-10-15,新港,0.92,8.16,9.07,45.37,54.09,17.38,2.11
2019-10-22,新港,1.79,10.7,12.49,39.83,59.07,24.31,2.73
2019-10-29,新港,1.44,10.06,11.5,41.46,72.65,25.0,2.38
2019-11-05,新港,1.26,10.21,11.47,42.99,63.95,22.48,2.25
2019-11-12,新港,2.36,14.4,16.77,40.66,84.58,36.12,3.36
2019-11-19,新港,2.23,10.29,12.51,28.47,52.78,17.71,2.0
2019-11-26,新港,1.59,9.77,11.37,32.92,56.2,16.99,2.25
2019-12-03,新港,1.8,10.08,11.88,33.29,34.42,12.67,1.74
2019-12-10,新港,3.16,14.35,17.52,29.74,66.26,30.04,2.47
2019-12-17,新港,4.51,13.51,18.01,20.84,48.21,21.85,2.62
2019-12-24,新港,1.76,11.97,13.73,25.99,43.64,17.1,2.16
