日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2015-01-01,竹山,2.47,17.33,19.79,27.29,87.39,56.01,2.82
2015-01-08,竹山,2.11,18.0,20.1,29.1,79.94,47.39,3.29
2015-01-15,竹山,3.31,17.79,21.1,27.89,92.12,54.91,2.7
2015-01-22,竹山,2.67,19.85,22.5,29.42,92.91,59.32,3.04
2015-01-29,竹山,2.42,16.63,19.08,23.68,68.09,35.24,2.09
2015-02-05,竹山,2.48,17.74,20.16,26.92,87.75,53.94,2.85
2015-02-12,竹山,2.17,17.0,19.16,42.44,98.29,59.53,2.8
2015-02-19,竹山,2.76,15.05,17.82,24.69,90.54,52.63,2.06
2015-02-26,竹山,2.72,17.09,19.86,25.94,81.53,48.59,2.64
2015-03-05,竹山,3.83,21.28,25.09,21.37,79.85,46.16,3.06
2015-03-12,竹山,3.82,15.78,19.59,28.6,83.4,51.14,2.64
2015-03-19,竹山,2.4,17.39,19.67,25.71,85.07,52.41,2.74
2015-03-26,竹山,3.9,15.95,19.56,32.2,62.62,36.59,2.4
2015-04-02,竹山,3.33,11.31,14.6,27.81,47.34,22.27,2.7
2015-04-09,竹山,2.55,16.52,18.97,37.29,53.7,30.58,2.83
2015-04-16,竹山,2.26,12.38,14.58,31.06,57.1,29.35,2.52
2015-04-23,竹山,1.91,12.75,14.65,39.07,74.97,38.32,2.86
2015-04-30,竹山,3.11,12.35,15.43,30.78,62.88,35.52,2.65
2015-05-07,竹山,2.59,10.8,13.34,29.53,53.85,25.98,2.62
2015-05-14,竹山,2.26,9.51,11.75,22.13,33.45,11.92,1.91
2015-05-21,竹山,1.79,8.65,10.41,20.57,28.61,9.96,1.63
2015-05-28,竹山,1.9,5.89,7.79,20.37,31.79,8.08,2.16
2015-06-04,竹山,1.82,6.46,8.26,19.8,30.78,8.19,2.01
2015-06-11,竹山,1.71,6.25,7.94,21.44,30.36,11.32,2.26
2015-06-18,竹山,1.3,7.93,9.18,25.16,38.5,17.8,2.34
2015-06-25,竹山,1.35,6.03,7.35,21.72,34.12,11.44,1.89
2015-07-02,竹山,1.17,6.38,7.54,29.99,44.02,15.91,2.21
2015-07-09,竹山,1.29,5.53,6.81,28.75,34.16,14.42,1.73
2015-07-16,竹山,1.15,6.6,7.72,27.27,35.67,15.11,2.57
2015-07-23,竹山,1.56,6.06,7.63,22.04,24.6,5.67,1.87
2015-07-30,竹山,2.03,6.47,8.48,30.89,36.05,16.92,2.84
2015-08-06,竹山,1.18,6.19,7.33,25.57,29.93,12.38,2.12
2015-08-13,竹山,2.31,6.47,8.75,16.19,23.38,7.16,1.86
2015-08-20,竹山,1.15,6.63,7.78,34.19,47.18,18.36,2.24
2015-08-27,竹山,2.39,7.34,9.7,15.04,21.36,3.25,1.73
2015-09-03,竹山,2.04,7.0,9.04,27.34,34.42,13.32,2.54
2015-09-10,竹山,0.99,9.05,10.0,49.71,61.89,36.31,2.74
2015-09-17,竹山,1.1,10.69,11.83,50.12,66.71,39.37,2.72
2015-09-24,竹山,1.38,10.33,11.7,37.64,48.7,22.44,2.05
2015-10-01,竹山,1.56,7.91,9.43,36.25,56.4,27.0,1.54
2015-10-08,竹山,2.0,14.35,16.29,31.63,61.48,33.44,2.97
2015-10-15,竹山,2.42,14.93,17.31,33.32,76.8,42.49,2.64
2015-10-22,竹山,1.66,12.25,13.77,33.59,76.7,39.07,2.92
2015-10-29,竹山,2.03,15.62,17.55,30.62,65.04,32.98,3.0
2015-11-05,竹山,2.55,14.64,17.2,32.22,75.28,40.98,3.29
2015-11-12,竹山,2.33,16.49,18.73,32.71,79.01,49.33,3.48
2015-11-19,竹山,3.06,16.15,19.22,27.29,69.24,39.36,3.1
2015-11-26,竹山,2.06,17.3,19.36,33.24,70.86,43.49,2.87
2015-12-03,竹山,3.74,19.59,23.32,22.73,68.13,40.26,3.94
2015-12-10,竹山,2.63,17.61,20.23,21.52,56.57,36.26,3.51
2015-12-17,竹山,3.4,17.03,20.43,24.08,73.3,50.19,3.36
2015-12-24,竹山,4.16,19.78,23.94,18.77,66.94,44.07,3.14
