日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2015-01-01,頭份,5.95,17.45,23.37,29.05,63.29,31.53,2.82
2015-01-08,頭份,2.94,15.79,18.7,34.46,45.18,20.66,2.78
2015-01-15,頭份,3.87,15.54,19.42,33.2,68.63,33.32,2.94
2015-01-22,頭份,3.82,20.87,24.7,32.73,65.94,37.02,3.48
2015-01-29,頭份,3.25,13.3,16.51,26.71,37.08,15.82,2.49
2015-02-05,頭份,5.46,17.17,22.62,30.21,54.41,28.02,3.41
2015-02-12,頭份,4.53,19.72,24.24,36.21,81.57,41.17,3.28
2015-02-19,頭份,3.07,14.99,18.06,26.17,63.39,31.61,2.39
2015-02-26,頭份,3.71,14.82,18.47,28.51,51.34,24.51,2.35
2015-03-05,頭份,2.59,16.66,19.21,29.21,35.96,17.11,2.47
2015-03-12,頭份,5.48,18.45,23.88,26.67,70.48,35.63,3.36
2015-03-19,頭份,2.1,15.03,17.09,36.8,51.68,23.25,2.51
2015-03-26,頭份,4.83,18.33,23.19,26.4,42.66,19.92,2.89
2015-04-02,頭份,3.04,10.82,13.92,25.65,37.33,15.61,2.68
2015-04-09,頭份,1.96,17.1,19.01,41.24,41.22,18.97,2.45
2015-04-16,頭份,2.07,13.74,15.85,32.86,51.57,22.23,2.7
2015-04-23,頭份,2.12,13.4,15.51,40.12,52.63,22.1,3.36
2015-04-30,頭份,3.26,15.63,18.87,29.97,51.19,24.36,3.05
2015-05-07,頭份,2.6,14.64,17.15,32.22,55.29,26.09,3.82
2015-05-14,頭份,2.77,10.62,13.38,20.3,31.8,11.88,3.21
2015-05-21,頭份,3.62,17.37,21.0,26.06,26.31,9.76,2.75
2015-05-28,頭份,4.21,10.54,14.75,19.7,28.23,5.55,2.73
2015-06-04,頭份,3.08,10.13,13.2,22.74,29.35,6.93,3.28
2015-06-11,頭份,3.43,9.68,13.11,17.18,28.41,4.44,3.59
2015-06-18,頭份,2.18,8.84,10.97,26.7,29.79,7.25,2.73
2015-06-25,頭份,2.63,8.76,11.36,22.1,39.32,8.04,3.33
2015-07-02,頭份,1.92,9.82,11.78,30.31,45.12,9.11,2.72
2015-07-09,頭份,2.14,7.92,10.04,30.03,44.01,13.38,2.61
2015-07-16,頭份,1.93,9.86,11.77,29.72,41.77,13.8,3.33
2015-07-23,頭份,2.83,9.78,12.63,21.04,32.75,8.49,2.65
2015-07-30,頭份,2.41,8.7,11.04,22.91,27.2,9.7,2.77
2015-08-06,頭份,3.64,9.82,13.47,17.75,29.92,5.86,2.84
2015-08-13,頭份,2.42,9.71,12.1,23.42,25.18,8.66,3.28
2015-08-20,頭份,1.93,11.22,13.1,34.42,40.76,16.29,2.83
2015-08-27,頭份,3.86,12.09,15.99,17.03,25.56,10.23,2.54
2015-09-03,頭份,2.59,11.35,13.95,30.68,34.92,15.31,2.7
2015-09-10,頭份,2.46,14.6,17.0,38.92,38.02,16.54,2.34
2015-09-17,頭份,2.05,16.15,18.23,51.93,56.14,32.99,4.01
2015-09-24,頭份,2.12,13.89,15.98,35.24,38.06,16.38,3.02
2015-10-01,頭份,2.52,14.32,16.88,29.7,48.29,25.87,2.79
2015-10-08,頭份,1.6,15.92,17.5,49.94,46.83,24.3,2.74
2015-10-15,頭份,1.76,13.73,15.52,38.4,35.95,16.12,2.12
2015-10-22,頭份,2.33,16.31,18.64,35.53,65.57,39.76,2.91
2015-10-29,頭份,2.44,14.54,16.96,34.34,49.04,26.94,2.59
2015-11-05,頭份,2.56,16.26,18.83,34.35,64.29,38.76,2.87
2015-11-12,頭份,4.25,19.15,23.39,25.72,50.23,29.12,3.25
2015-11-19,頭份,3.09,16.52,19.6,26.05,40.65,17.72,2.69
2015-11-26,頭份,3.37,16.14,19.46,29.08,41.57,19.7,2.68
2015-12-03,頭份,3.54,15.64,19.21,27.16,42.35,17.08,2.48
2015-12-10,頭份,2.99,15.65,18.67,26.71,51.45,27.8,3.39
2015-12-17,頭份,5.75,17.33,22.98,20.23,54.72,22.22,3.36
2015-12-24,頭份,3.3,16.39,19.68,31.13,52.56,22.87,2.53
