日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2015-01-01,金門,4.68,24.21,28.87,32.42,136.36,62.76,9.19
2015-01-08,金門,1.46,14.61,16.04,38.89,94.43,40.11,7.72
2015-01-15,金門,2.53,16.63,19.14,39.85,115.52,55.35,7.66
2015-01-22,金門,4.68,21.58,26.27,34.52,123.3,67.2,7.12
2015-01-29,金門,1.85,12.93,14.74,26.6,61.94,31.97,4.74
2015-02-05,金門,1.66,13.12,14.78,39.79,86.0,44.41,4.67
2015-02-12,金門,1.88,15.46,17.36,44.54,118.87,58.86,4.17
2015-02-19,金門,1.83,9.16,10.98,34.82,60.51,30.24,2.76
2015-02-26,金門,2.57,9.73,12.26,36.68,55.43,30.51,2.38
2015-03-05,金門,1.73,9.64,11.38,34.86,48.54,26.37,2.9
2015-03-12,金門,2.71,14.98,17.66,32.75,67.24,35.98,5.13
2015-03-19,金門,1.6,10.04,11.62,46.76,69.15,30.88,4.25
2015-03-26,金門,2.93,15.11,18.02,32.06,53.18,29.27,4.55
2015-04-02,金門,2.11,7.92,10.03,28.05,33.1,17.33,2.51
2015-04-09,金門,2.66,15.47,18.13,44.86,73.61,33.36,5.9
2015-04-16,金門,1.74,10.55,12.29,41.13,59.35,28.72,4.09
2015-04-23,金門,2.24,12.8,15.1,44.7,68.66,28.65,6.02
2015-04-30,金門,2.06,11.48,13.52,47.33,68.45,37.88,3.98
2015-05-07,金門,1.96,11.86,13.81,49.97,64.49,33.16,5.06
2015-05-14,金門,2.0,8.04,10.05,24.02,29.48,14.22,2.91
2015-05-21,金門,1.38,10.3,11.68,41.77,51.34,24.78,4.71
2015-05-28,金門,1.67,6.69,8.34,26.42,28.82,9.8,2.6
2015-06-04,金門,1.6,7.53,9.13,31.12,38.35,18.02,3.26
2015-06-11,金門,2.53,8.44,10.97,20.13,21.27,10.5,3.38
2015-06-18,金門,1.61,6.31,7.9,32.63,32.41,15.13,2.58
2015-06-25,金門,1.35,5.38,6.71,28.39,38.74,12.99,2.67
2015-07-02,金門,1.82,7.53,9.36,36.0,44.42,15.64,3.7
2015-07-09,金門,1.59,6.06,7.63,40.35,47.08,23.07,3.71
2015-07-16,金門,1.06,4.79,5.84,32.4,30.26,14.41,2.26
2015-07-23,金門,1.69,4.81,6.5,26.16,29.69,12.33,2.52
2015-07-30,金門,3.45,7.61,11.07,25.11,29.11,14.43,3.67
2015-08-06,金門,1.82,6.17,7.99,28.08,40.11,12.55,2.64
2015-08-13,金門,3.02,9.22,12.23,27.32,40.33,16.83,3.69
2015-08-20,金門,1.4,6.62,8.01,34.91,42.65,16.18,3.75
2015-08-27,金門,1.52,7.32,8.82,37.05,22.4,13.95,2.93
2015-09-03,金門,2.24,7.29,9.52,42.59,39.92,19.86,3.97
2015-09-10,金門,1.26,6.71,7.94,58.69,49.65,20.61,3.82
2015-09-17,金門,1.22,7.55,8.75,54.69,47.04,25.77,3.63
2015-09-24,金門,1.39,7.15,8.49,48.47,46.39,21.8,2.96
2015-10-01,金門,1.81,8.05,9.85,36.02,40.73,17.5,4.04
2015-10-08,金門,1.42,8.12,9.52,64.58,64.74,30.91,4.56
2015-10-15,金門,1.31,7.47,8.76,56.8,64.0,26.38,3.97
2015-10-22,金門,1.55,8.55,10.08,45.58,69.56,35.76,4.63
2015-10-29,金門,1.34,8.62,9.98,43.75,61.86,33.1,4.41
2015-11-05,金門,2.02,11.41,13.43,37.93,57.84,32.15,5.21
2015-11-12,金門,1.85,10.62,12.47,39.45,47.58,26.22,4.62
2015-11-19,金門,1.3,8.53,9.84,44.97,57.82,24.79,4.66
2015-11-26,金門,1.95,10.2,12.1,38.98,59.27,25.87,4.57
2015-12-03,金門,1.6,9.49,11.08,32.21,49.14,18.45,3.82
2015-12-10,金門,2.41,11.12,13.54,32.74,58.73,31.92,4.45
2015-12-17,金門,4.39,16.28,20.63,24.98,75.43,34.3,6.34
2015-12-24,金門,1.78,12.6,14.36,32.32,63.81,31.19,4.43
