日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2016-01-01,彰化,10.12,19.81,29.9,17.7,52.11,26.77,3.25
2016-01-08,彰化,3.53,17.56,21.07,23.96,44.18,21.97,3.98
2016-01-15,彰化,4.93,19.94,24.8,18.92,42.34,23.66,2.76
2016-01-22,彰化,5.37,17.12,22.44,22.09,40.77,18.53,3.04
2016-01-29,彰化,4.98,16.43,21.41,22.09,30.54,12.86,2.22
2016-02-05,彰化,2.21,15.01,17.2,37.83,63.25,38.03,3.43
2016-02-12,彰化,3.81,15.06,18.9,20.5,37.52,20.66,2.67
2016-02-19,彰化,3.85,18.77,22.57,25.49,61.91,32.99,2.36
2016-02-26,彰化,3.63,20.47,24.1,29.28,63.68,32.63,3.01
2016-03-04,彰化,4.94,20.48,25.37,23.06,61.38,34.33,3.71
2016-03-11,彰化,6.18,24.06,30.29,18.55,39.75,23.15,2.85
2016-03-18,彰化,5.57,21.18,26.73,22.41,52.43,32.84,2.82
2016-03-25,彰化,2.79,20.62,23.41,41.88,66.11,39.8,4.16
2016-04-01,彰化,2.38,14.44,16.75,29.99,72.9,44.63,4.42
2016-04-08,彰化,2.46,16.84,19.27,25.17,53.01,30.19,3.53
2016-04-15,彰化,2.47,14.88,17.27,28.31,50.92,23.09,3.18
2016-04-22,彰化,2.37,12.57,14.91,25.41,48.58,22.87,3.63
2016-04-29,彰化,1.42,12.94,14.34,34.6,56.98,30.28,3.46
2016-05-06,彰化,2.17,11.63,13.77,26.06,39.05,17.98,3.83
2016-05-13,彰化,1.35,13.04,14.38,37.35,45.21,22.58,3.27
2016-05-20,彰化,1.91,16.52,18.39,27.06,54.89,26.75,4.29
2016-05-27,彰化,1.13,6.35,7.45,21.24,40.03,12.85,2.59
2016-06-03,彰化,1.0,8.02,8.99,26.89,32.04,13.39,3.55
2016-06-10,彰化,1.14,7.04,8.18,20.03,27.55,8.51,2.33
2016-06-17,彰化,1.55,7.36,8.92,22.14,35.8,12.9,3.93
2016-06-24,彰化,1.34,6.92,8.23,22.45,28.82,13.93,3.79
2016-07-01,彰化,1.19,6.9,8.09,28.03,31.99,14.26,3.33
2016-07-08,彰化,1.52,5.57,7.07,20.94,22.87,8.68,1.91
2016-07-15,彰化,1.52,6.74,8.26,17.59,32.98,15.22,3.57
2016-07-22,彰化,1.33,8.55,9.86,21.55,38.34,21.32,4.33
2016-07-29,彰化,1.27,8.78,9.99,31.82,36.43,18.44,3.78
2016-08-05,彰化,1.53,9.73,11.22,26.63,35.52,19.56,4.07
2016-08-12,彰化,1.38,9.82,11.2,24.94,28.76,14.48,3.03
2016-08-19,彰化,1.7,9.8,11.43,29.26,45.3,24.59,3.83
2016-08-26,彰化,0.84,11.87,12.53,43.65,57.24,32.38,4.1
2016-09-02,彰化,1.27,9.11,10.27,22.2,28.33,12.58,2.61
2016-09-09,彰化,3.94,9.84,13.71,21.02,30.76,13.47,2.83
2016-09-16,彰化,2.33,13.7,16.03,30.74,40.03,19.15,3.11
2016-09-23,彰化,2.84,12.24,15.04,23.43,39.85,18.58,2.63
2016-09-30,彰化,3.09,15.11,18.21,26.89,53.02,29.39,4.13
2016-10-07,彰化,2.15,11.56,13.69,23.73,28.88,13.51,2.14
2016-10-14,彰化,1.25,15.97,17.2,38.27,77.58,47.36,4.4
2016-10-21,彰化,2.16,14.9,17.05,24.1,52.39,30.21,4.54
2016-10-28,彰化,1.37,12.9,14.21,32.85,43.22,23.19,2.49
2016-11-04,彰化,1.82,16.4,18.25,30.33,52.83,28.16,4.06
2016-11-11,彰化,3.68,21.84,25.53,27.91,74.89,40.9,3.85
2016-11-18,彰化,4.89,18.83,23.49,20.7,46.89,25.04,3.15
2016-11-25,彰化,3.4,17.56,20.94,21.9,43.79,18.41,2.9
2016-12-02,彰化,2.42,16.73,19.14,24.41,53.58,26.23,1.86
2016-12-09,彰化,3.89,18.25,22.12,24.28,52.28,27.5,2.55
2016-12-16,彰化,3.22,20.1,23.34,23.84,55.6,35.47,3.35
2016-12-23,彰化,3.88,17.65,21.44,23.78,51.17,28.09,3.19
