日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2016-01-01,新竹,9.24,19.67,28.96,22.02,52.89,28.1,2.64
2016-01-08,新竹,2.97,15.55,18.51,31.06,40.99,19.18,2.32
2016-01-15,新竹,4.39,17.85,22.21,27.41,42.78,22.04,2.6
2016-01-22,新竹,8.0,17.04,24.9,24.59,37.18,15.0,2.52
2016-01-29,新竹,2.45,14.57,16.94,30.19,25.42,7.81,2.0
2016-02-05,新竹,3.26,16.67,19.96,38.62,58.82,32.06,2.87
2016-02-12,新竹,3.47,15.59,19.06,25.2,32.11,13.9,2.42
2016-02-19,新竹,3.87,14.13,17.99,35.29,52.6,19.9,2.17
2016-02-26,新竹,3.64,20.67,24.27,34.64,47.93,20.86,2.72
2016-03-04,新竹,5.69,21.48,27.2,22.76,47.58,24.7,2.71
2016-03-11,新竹,10.58,23.49,34.07,24.51,36.52,18.62,2.21
2016-03-18,新竹,6.11,20.38,26.49,30.74,46.17,23.65,2.55
2016-03-25,新竹,3.19,22.69,25.87,42.04,65.85,33.36,3.19
2016-04-01,新竹,3.23,20.71,23.88,26.38,64.55,37.76,3.09
2016-04-08,新竹,3.02,19.54,22.51,25.21,41.32,22.27,2.51
2016-04-15,新竹,2.88,19.61,22.49,29.49,43.55,20.12,2.64
2016-04-22,新竹,2.58,14.76,17.35,31.32,44.64,24.32,2.7
2016-04-29,新竹,2.81,17.47,20.3,38.1,57.34,31.51,3.15
2016-05-06,新竹,3.68,14.76,18.45,26.43,36.39,16.88,2.83
2016-05-13,新竹,1.81,15.04,16.86,37.12,37.95,18.14,2.55
2016-05-20,新竹,5.65,20.02,25.65,22.45,38.46,18.77,2.97
2016-05-27,新竹,2.55,10.3,12.82,21.6,31.53,9.14,2.33
2016-06-03,新竹,2.18,11.93,14.1,29.7,30.62,11.5,2.29
2016-06-10,新竹,2.39,9.93,12.36,21.14,21.26,5.11,1.64
2016-06-17,新竹,3.03,10.85,13.9,18.15,26.74,7.95,2.55
2016-06-24,新竹,3.27,11.64,14.86,19.53,24.72,8.39,2.4
2016-07-01,新竹,2.71,10.7,13.38,21.57,23.86,7.02,1.79
2016-07-08,新竹,2.55,9.73,12.3,21.08,22.72,4.82,1.87
2016-07-15,新竹,3.39,10.58,14.0,15.86,28.21,9.78,2.37
2016-07-22,新竹,2.51,12.09,14.58,24.32,32.0,14.93,3.08
2016-07-29,新竹,2.08,12.5,14.56,27.83,30.44,10.9,2.46
2016-08-05,新竹,2.36,12.69,15.08,23.91,27.66,8.25,2.68
2016-08-12,新竹,2.63,12.68,15.35,29.08,28.95,8.46,2.32
2016-08-19,新竹,2.25,12.03,14.25,25.93,38.51,14.15,2.59
2016-08-26,新竹,1.48,14.75,16.22,49.29,49.59,22.92,2.75
2016-09-02,新竹,2.9,13.75,16.66,23.06,27.7,8.92,1.9
2016-09-09,新竹,3.46,12.41,15.84,20.48,26.37,7.0,2.05
2016-09-16,新竹,1.98,11.19,13.2,34.01,34.28,10.01,1.99
2016-09-23,新竹,2.17,10.98,13.14,23.76,29.44,8.8,1.74
2016-09-30,新竹,4.34,14.94,19.24,23.83,35.75,12.92,2.55
2016-10-07,新竹,3.14,11.63,14.78,32.21,30.79,9.05,1.61
2016-10-14,新竹,2.37,13.51,15.82,32.25,39.47,16.38,2.21
2016-10-21,新竹,3.15,16.08,19.19,25.36,46.73,18.28,2.86
2016-10-28,新竹,1.69,11.58,13.24,35.94,39.67,12.32,2.47
2016-11-04,新竹,2.53,17.25,19.81,32.25,43.37,19.69,2.77
2016-11-11,新竹,3.19,19.79,22.95,31.75,56.17,24.65,3.4
2016-11-18,新竹,3.48,18.32,21.86,24.44,36.92,14.17,2.64
2016-11-25,新竹,2.84,13.98,16.85,28.49,45.49,12.14,2.26
2016-12-02,新竹,1.76,14.64,16.35,31.84,54.26,16.37,2.66
2016-12-09,新竹,2.98,14.16,17.12,33.22,50.67,15.28,2.48
2016-12-16,新竹,7.57,21.3,28.83,24.72,54.78,21.85,2.77
2016-12-23,新竹,2.92,15.68,18.55,28.68,49.35,17.83,2.39
