日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2016-01-01,安南,7.32,18.28,24.58,20.36,74.21,42.29,2.43
2016-01-08,安南,2.06,14.4,16.39,26.09,57.19,31.76,2.9
2016-01-15,安南,3.38,18.87,22.24,20.64,60.99,38.93,3.06
2016-01-22,安南,2.67,13.53,15.97,26.67,49.38,26.14,2.47
2016-01-29,安南,2.2,14.53,16.45,22.02,41.67,21.45,1.94
2016-02-05,安南,1.38,13.47,14.78,38.9,82.79,51.75,2.99
2016-02-12,安南,4.24,16.27,20.51,18.13,55.2,27.0,2.82
2016-02-19,安南,2.22,14.93,17.18,29.56,83.87,42.72,2.74
2016-02-26,安南,2.45,15.14,17.47,35.45,83.4,41.6,3.27
2016-03-04,安南,3.54,17.35,20.41,23.3,61.37,37.98,3.47
2016-03-11,安南,3.77,18.82,22.53,20.96,52.09,31.82,2.97
2016-03-18,安南,3.24,15.81,18.95,21.95,68.13,42.78,2.72
2016-03-25,安南,2.14,16.43,18.63,42.8,75.54,50.09,3.0
2016-04-01,安南,1.92,11.28,12.97,26.94,67.91,45.31,3.41
2016-04-08,安南,1.96,11.79,13.58,27.26,46.54,26.28,3.13
2016-04-15,安南,2.76,9.8,12.41,27.76,46.56,23.71,2.9
2016-04-22,安南,2.02,9.05,10.87,24.66,36.07,18.41,2.82
2016-04-29,安南,2.62,10.73,13.14,30.89,63.13,38.75,3.16
2016-05-06,安南,2.24,9.17,11.07,22.76,38.57,17.7,2.91
2016-05-13,安南,1.33,8.96,10.24,40.75,51.48,25.87,2.65
2016-05-20,安南,2.16,9.56,11.64,30.62,46.35,24.47,2.44
2016-05-27,安南,1.7,4.89,6.22,18.12,29.24,10.21,2.41
2016-06-03,安南,2.48,7.21,9.75,21.83,27.71,9.21,1.72
2016-06-10,安南,8.26,15.71,23.37,16.59,27.94,9.46,2.35
2016-06-17,安南,2.71,10.73,13.35,17.99,28.89,10.54,2.24
2016-06-24,安南,3.15,8.44,11.58,16.45,29.51,7.99,3.05
2016-07-01,安南,2.53,8.39,10.92,24.32,32.73,11.71,2.57
2016-07-08,安南,2.99,8.04,11.03,22.78,27.2,8.69,2.18
2016-07-15,安南,3.06,6.71,9.76,19.56,31.12,11.32,2.62
2016-07-22,安南,1.91,6.62,8.51,23.94,28.6,13.11,2.58
2016-07-29,安南,2.72,8.95,11.7,28.35,34.26,15.4,2.75
2016-08-05,安南,2.34,7.84,10.19,30.84,32.19,16.3,2.5
2016-08-12,安南,4.35,12.89,17.21,19.98,32.32,10.96,3.41
2016-08-19,安南,1.95,7.91,9.86,31.67,44.77,22.04,2.49
2016-08-26,安南,1.1,9.53,10.62,50.03,52.54,30.66,2.58
2016-09-02,安南,3.65,12.48,16.12,18.04,25.14,7.47,2.73
2016-09-09,安南,3.03,8.42,11.46,21.41,31.2,11.18,2.57
2016-09-16,安南,2.06,9.51,11.59,39.07,50.11,23.17,3.24
2016-09-23,安南,1.77,8.85,10.62,38.33,56.44,23.36,2.68
2016-09-30,安南,2.29,12.12,14.44,34.59,52.42,29.13,3.27
2016-10-07,安南,2.49,12.08,14.53,22.48,40.7,17.15,2.63
2016-10-14,安南,3.02,12.89,15.92,36.04,67.77,34.34,3.37
2016-10-21,安南,2.52,10.87,13.23,24.9,44.93,21.23,3.25
2016-10-28,安南,3.2,12.58,15.82,34.84,73.22,33.35,3.24
2016-11-04,安南,2.96,15.41,18.19,32.54,62.27,30.07,3.15
2016-11-11,安南,2.99,17.02,19.92,37.06,91.53,49.21,3.38
2016-11-18,安南,3.99,17.5,21.51,24.2,69.26,39.8,3.24
2016-11-25,安南,3.86,16.36,20.21,23.74,55.82,22.13,2.72
2016-12-02,安南,2.94,16.84,19.82,27.14,77.88,38.42,3.06
2016-12-09,安南,3.8,17.5,21.32,27.58,81.12,32.38,3.3
2016-12-16,安南,4.35,19.78,24.13,26.38,84.4,43.91,2.96
2016-12-23,安南,4.27,17.66,21.9,25.12,77.08,31.55,2.62
