日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2017-01-01,線西,3.25,15.27,18.5,27.78,76.64,39.64,4.28
2017-01-08,線西,2.52,16.51,19.08,28.64,54.96,28.97,5.1
2017-01-15,線西,2.37,12.19,14.54,30.89,42.57,18.88,3.69
2017-01-22,線西,1.88,13.84,15.64,35.23,54.63,24.76,4.36
2017-01-29,線西,1.97,9.37,11.34,35.21,51.88,21.27,3.68
2017-02-05,線西,1.81,12.39,14.19,37.87,68.38,31.8,3.91
2017-02-12,線西,3.54,18.02,21.57,37.17,69.19,35.82,5.12
2017-02-19,線西,3.46,15.62,19.08,32.81,58.85,31.02,3.71
2017-02-26,線西,1.79,16.72,18.47,40.99,65.23,32.62,5.21
2017-03-05,線西,2.67,17.91,20.56,40.38,63.31,37.11,4.58
2017-03-12,線西,2.24,14.75,16.84,38.75,57.69,31.82,4.06
2017-03-19,線西,1.91,14.27,16.16,41.17,54.97,27.26,4.27
2017-03-26,線西,2.17,16.25,18.39,46.52,87.51,46.63,4.13
2017-04-02,線西,2.35,12.12,14.43,47.01,68.05,39.38,3.41
2017-04-09,線西,3.02,16.68,19.65,29.92,54.46,29.55,4.32
2017-04-16,線西,1.57,7.73,9.15,34.83,48.07,26.93,2.79
2017-04-23,線西,2.2,15.08,17.25,47.5,60.71,30.32,4.13
2017-04-30,線西,2.52,13.16,15.7,37.06,58.74,33.09,4.23
2017-05-07,線西,2.03,10.36,12.38,34.17,61.59,27.14,4.21
2017-05-14,線西,2.03,13.04,15.07,42.96,41.52,21.08,4.23
2017-05-21,線西,1.61,11.77,13.35,37.75,41.44,20.51,4.18
2017-05-28,線西,1.35,8.07,9.42,31.29,32.68,16.78,2.95
2017-06-04,線西,2.24,8.09,10.27,25.03,35.93,19.18,2.22
2017-06-11,線西,1.83,7.32,9.12,19.34,27.27,11.2,1.77
2017-06-18,線西,2.15,7.02,9.14,14.16,29.01,11.87,2.03
2017-06-25,線西,1.33,5.87,7.22,22.2,26.69,13.14,2.45
2017-07-02,線西,1.67,8.65,10.25,23.81,21.68,12.27,2.18
2017-07-09,線西,1.27,7.83,9.08,23.0,25.98,14.19,2.56
2017-07-16,線西,1.5,6.39,7.71,31.05,27.57,18.02,2.93
2017-07-23,線西,0.88,5.72,6.52,32.52,33.02,21.44,2.89
2017-07-30,線西,1.36,5.19,6.3,26.76,26.31,14.57,1.79
2017-08-06,線西,1.71,3.89,5.52,19.1,28.5,14.49,1.98
2017-08-13,線西,2.06,7.11,9.08,17.33,22.72,14.78,2.73
2017-08-20,線西,2.55,9.51,12.02,30.58,40.27,20.87,3.38
2017-08-27,線西,1.77,10.54,12.25,27.18,41.06,22.11,4.17
2017-09-03,線西,1.54,5.72,7.25,29.25,28.34,15.74,2.62
2017-09-10,線西,2.79,8.52,11.29,30.37,37.65,18.91,3.4
2017-09-17,線西,1.75,12.52,14.15,43.12,58.76,34.71,5.11
2017-09-24,線西,2.02,7.67,9.67,28.24,39.15,20.82,3.59
2017-10-01,線西,2.3,11.71,13.89,35.48,51.75,24.81,4.34
2017-10-08,線西,1.85,11.61,13.36,30.31,54.89,24.82,4.01
2017-10-15,線西,1.38,9.54,10.94,34.0,34.78,15.14,2.18
2017-10-22,線西,1.02,11.06,12.04,55.95,52.44,26.3,3.59
2017-10-29,線西,2.03,11.92,13.92,41.85,49.76,22.79,3.76
2017-11-05,線西,1.51,11.9,13.37,35.37,51.22,25.44,3.76
2017-11-12,線西,2.15,14.22,16.37,29.69,47.93,26.63,4.66
2017-11-19,線西,1.57,12.16,13.7,30.63,31.14,16.58,3.71
2017-11-26,線西,3.61,14.67,18.24,25.65,37.58,20.0,3.67
2017-12-03,線西,2.38,13.39,15.78,32.11,44.02,24.46,2.59
2017-12-10,線西,3.77,14.71,18.49,28.16,43.32,22.36,3.3
2017-12-17,線西,3.44,14.33,17.68,31.26,49.08,27.48,2.63
2017-12-24,線西,3.3,16.91,20.13,29.84,73.29,39.22,4.35
