日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2017-01-01,基隆,4.19,14.11,18.28,26.54,24.4,15.63,2.49
2017-01-08,基隆,1.4,7.33,8.75,38.3,28.55,19.83,1.45
2017-01-15,基隆,2.6,10.39,12.95,31.79,20.38,10.52,2.16
2017-01-22,基隆,3.06,8.58,11.64,37.99,26.88,15.21,1.88
2017-01-29,基隆,4.4,10.79,15.19,28.7,26.54,16.47,1.88
2017-02-05,基隆,3.17,8.82,11.99,39.4,36.84,23.47,2.5
2017-02-12,基隆,3.98,13.64,17.63,36.84,27.26,17.31,2.22
2017-02-19,基隆,2.82,12.03,14.84,34.25,23.08,15.15,1.84
2017-02-26,基隆,3.93,12.36,16.29,40.49,33.21,20.1,2.36
2017-03-05,基隆,4.24,17.32,21.54,37.47,29.73,20.26,2.44
2017-03-12,基隆,1.74,13.36,15.06,39.34,21.99,12.76,3.45
2017-03-19,基隆,2.04,14.58,16.64,39.43,19.13,11.89,3.51
2017-03-26,基隆,2.85,15.18,18.0,47.41,48.72,31.63,2.57
2017-04-02,基隆,3.22,15.97,19.16,40.2,34.41,25.64,2.87
2017-04-09,基隆,2.79,14.81,17.58,35.96,29.17,19.8,2.8
2017-04-16,基隆,5.14,16.37,21.46,25.87,29.47,20.56,2.63
2017-04-23,基隆,1.96,12.01,13.94,46.65,29.11,15.7,2.11
2017-04-30,基隆,2.83,11.66,14.53,32.85,26.89,19.02,1.94
2017-05-07,基隆,2.66,13.23,15.89,30.47,33.85,18.06,2.74
2017-05-14,基隆,1.37,7.65,9.02,46.14,20.08,12.16,1.66
2017-05-21,基隆,2.56,8.92,11.47,36.51,20.7,11.23,1.84
2017-05-28,基隆,2.63,11.88,14.53,30.23,16.78,10.99,2.73
2017-06-04,基隆,2.98,11.28,14.18,28.04,28.11,19.38,2.74
2017-06-11,基隆,3.3,11.3,14.61,26.28,17.25,8.42,2.07
2017-06-18,基隆,6.19,13.73,19.9,18.0,23.37,13.39,3.45
2017-06-25,基隆,2.46,11.94,14.37,24.75,24.39,16.37,4.03
2017-07-02,基隆,3.97,11.18,15.11,13.98,18.2,8.91,2.51
2017-07-09,基隆,2.12,10.48,12.65,20.96,21.61,13.36,3.38
2017-07-16,基隆,2.63,8.64,11.23,14.86,18.03,9.0,2.36
2017-07-23,基隆,1.78,8.63,10.41,25.83,19.52,14.54,2.92
2017-07-30,基隆,2.23,11.47,13.71,27.81,25.86,16.91,2.54
2017-08-06,基隆,2.5,12.56,15.04,27.67,26.21,17.61,3.66
2017-08-13,基隆,2.82,11.26,14.09,25.75,22.79,17.84,2.92
2017-08-20,基隆,2.0,6.5,8.49,18.94,13.32,7.53,1.71
2017-08-27,基隆,1.28,4.69,5.94,28.62,16.2,8.61,1.5
2017-09-03,基隆,2.61,9.6,12.24,21.76,21.5,12.62,1.65
2017-09-10,基隆,2.23,11.47,13.67,29.34,25.88,14.77,3.05
2017-09-17,基隆,1.87,9.45,11.27,36.6,25.45,18.62,2.72
2017-09-24,基隆,1.88,13.08,14.89,34.58,26.43,19.92,3.15
2017-10-01,基隆,1.14,6.28,7.4,36.67,25.72,15.79,1.88
2017-10-08,基隆,0.87,2.99,3.83,23.81,19.24,11.2,1.26
2017-10-15,基隆,2.17,4.52,6.68,33.99,21.9,9.78,1.77
2017-10-22,基隆,0.85,6.56,7.39,54.86,37.09,18.65,2.61
2017-10-29,基隆,1.19,7.06,8.21,42.17,28.84,14.05,1.89
2017-11-05,基隆,2.04,8.03,10.01,33.04,23.3,12.48,1.79
2017-11-12,基隆,2.24,11.05,13.24,28.8,19.11,10.6,1.62
2017-11-19,基隆,2.28,8.62,10.87,32.25,18.22,8.07,1.83
2017-11-26,基隆,2.06,8.49,10.53,32.1,15.74,7.73,1.54
2017-12-03,基隆,2.67,10.16,12.86,34.35,27.17,14.56,2.26
2017-12-10,基隆,2.71,9.87,12.61,32.89,22.2,10.62,1.61
2017-12-17,基隆,2.1,6.13,8.22,37.45,23.11,11.64,1.28
2017-12-24,基隆,1.24,9.59,10.81,38.4,36.7,21.06,2.09
