日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2017-01-01,新莊,6.59,20.78,27.34,22.94,43.79,20.05,3.67
2017-01-08,新莊,3.16,16.86,19.98,29.5,38.35,16.98,3.03
2017-01-15,新莊,4.19,16.55,20.76,27.68,31.13,8.46,2.77
2017-01-22,新莊,2.74,14.71,17.44,35.17,34.43,10.9,2.47
2017-01-29,新莊,5.15,15.5,20.63,27.22,34.51,16.57,2.51
2017-02-05,新莊,2.85,12.98,15.81,37.72,49.03,19.36,2.73
2017-02-12,新莊,9.45,23.36,32.77,32.81,44.69,15.59,2.95
2017-02-19,新莊,8.94,25.2,34.15,24.17,35.46,14.53,2.31
2017-02-26,新莊,8.84,23.16,32.01,32.81,49.95,19.87,3.14
2017-03-05,新莊,6.7,23.79,30.46,38.25,43.05,19.47,2.63
2017-03-12,新莊,3.6,21.49,25.11,31.84,35.48,14.02,2.62
2017-03-19,新莊,5.55,19.47,25.03,35.56,30.05,11.02,3.01
2017-03-26,新莊,5.79,25.34,31.14,40.25,70.06,28.4,3.89
2017-04-02,新莊,7.63,25.45,33.03,38.6,54.75,25.26,3.76
2017-04-09,新莊,10.15,27.82,37.97,28.23,51.69,23.73,3.83
2017-04-16,新莊,8.0,22.68,30.65,24.51,46.3,27.78,3.58
2017-04-23,新莊,9.1,25.44,34.55,36.04,45.23,16.47,3.22
2017-04-30,新莊,5.29,23.27,28.52,29.61,47.03,23.35,4.84
2017-05-07,新莊,4.75,22.01,26.75,28.03,51.37,19.99,4.11
2017-05-14,新莊,2.98,17.45,20.39,38.56,28.11,10.52,2.82
2017-05-21,新莊,3.06,15.45,18.54,32.87,27.43,10.13,3.62
2017-05-28,新莊,2.09,13.64,15.7,29.1,20.57,9.28,2.58
2017-06-04,新莊,5.68,20.17,25.82,24.19,38.23,20.16,4.41
2017-06-11,新莊,8.32,21.23,29.53,21.08,20.69,9.38,2.67
2017-06-18,新莊,9.77,17.62,27.4,17.2,26.92,10.51,3.52
2017-06-25,新莊,3.94,16.67,20.64,24.31,35.11,13.53,4.8
2017-07-02,新莊,5.75,18.43,24.15,19.28,27.26,9.29,4.31
2017-07-09,新莊,7.37,19.43,26.78,18.37,34.31,13.04,4.57
2017-07-16,新莊,4.44,14.99,19.4,22.2,32.89,11.0,4.3
2017-07-23,新莊,2.69,14.56,17.26,17.6,28.94,11.85,3.62
2017-07-30,新莊,4.52,17.9,22.4,25.47,34.78,12.35,3.96
2017-08-06,新莊,2.29,11.16,13.42,24.53,31.94,10.65,3.71
2017-08-13,新莊,3.12,15.92,18.99,28.25,34.13,15.28,4.88
2017-08-20,新莊,3.3,12.21,15.5,22.75,22.6,8.6,3.8
2017-08-27,新莊,2.71,10.56,13.33,26.65,22.01,7.13,3.0
2017-09-03,新莊,3.87,17.47,21.35,25.44,31.15,12.7,3.81
2017-09-10,新莊,3.6,14.79,18.41,29.49,33.04,11.01,3.79
2017-09-17,新莊,2.86,17.99,20.89,44.34,45.99,20.04,4.99
2017-09-24,新莊,2.9,16.78,19.7,32.47,38.83,16.13,4.87
2017-10-01,新莊,2.11,12.82,14.93,36.18,36.96,14.12,3.74
2017-10-08,新莊,2.61,8.63,11.23,19.72,15.1,3.93,2.36
2017-10-15,新莊,5.13,15.07,20.16,26.9,23.84,9.54,2.04
2017-10-22,新莊,3.3,17.89,21.22,42.63,48.56,18.34,2.26
2017-10-29,新莊,3.21,16.02,19.14,34.82,38.69,11.05,2.37
2017-11-05,新莊,2.65,13.55,16.23,34.52,28.51,9.57,2.58
2017-11-12,新莊,5.35,19.76,25.14,24.53,27.75,10.71,3.19
2017-11-19,新莊,4.16,16.45,20.63,26.81,20.37,4.82,2.29
2017-11-26,新莊,4.85,16.11,21.0,28.1,24.52,6.78,2.53
2017-12-03,新莊,4.1,18.63,22.67,29.38,36.25,10.87,2.92
2017-12-10,新莊,5.5,15.78,21.25,29.82,27.53,6.62,2.75
2017-12-17,新莊,3.89,18.93,22.76,29.34,34.81,10.04,2.7
2017-12-24,新莊,2.1,15.19,17.24,35.59,51.62,17.48,2.8
