日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2017-01-01,馬公,1.19,3.52,4.71,38.12,48.33,24.97,1.7
2017-01-08,馬公,1.17,3.47,4.63,40.19,41.37,22.26,1.9
2017-01-15,馬公,1.35,2.08,3.41,37.78,41.4,13.63,1.52
2017-01-22,馬公,1.07,1.8,2.86,45.53,65.86,19.03,1.68
2017-01-29,馬公,1.03,2.13,3.16,37.95,59.76,16.42,1.53
2017-02-05,馬公,1.01,2.71,3.71,43.92,61.74,23.48,1.25
2017-02-12,馬公,1.13,3.44,4.57,49.48,38.6,18.76,1.57
2017-02-19,馬公,1.3,4.86,6.17,40.38,38.97,21.82,1.73
2017-02-26,馬公,0.9,3.04,3.94,53.12,47.07,24.29,1.63
2017-03-05,馬公,0.94,4.02,4.96,51.06,35.8,20.69,1.58
2017-03-12,馬公,1.0,2.72,3.71,47.92,33.81,17.04,1.35
2017-03-19,馬公,1.61,4.04,5.64,46.14,33.4,16.92,1.11
2017-03-26,馬公,1.16,3.85,5.0,57.68,60.45,26.87,1.8
2017-04-02,馬公,1.22,5.05,6.27,48.38,44.29,20.1,2.37
2017-04-09,馬公,1.1933333333333334,4.716666666666667,5.916666666666666,38.51,33.72,14.08,1.75
2017-04-16,馬公,1.1666666666666665,4.383333333333333,5.5633333333333335,32.87,27.25,15.52,2.01
2017-04-23,馬公,1.14,4.05,5.21,61.74,42.16,18.16,1.93
2017-04-30,馬公,1.62,5.55,7.16,43.8,38.99,21.16,2.29
2017-05-07,馬公,1.91,4.89,6.81,37.64,47.02,16.58,1.89
2017-05-14,馬公,1.06,3.2,4.25,52.07,28.84,12.63,1.68
2017-05-21,馬公,1.48,3.53,5.01,43.72,27.94,11.0,1.8
2017-05-28,馬公,1.75,3.68,5.42,32.78,24.07,9.29,1.69
2017-06-04,馬公,2.0,5.23,7.24,25.22,19.37,11.07,2.56
2017-06-11,馬公,2.7,5.03,7.73,22.18,17.92,6.05,2.65
2017-06-18,馬公,3.41,5.74,9.14,15.15,12.36,6.27,2.38
2017-06-25,馬公,2.73,4.59,7.31,18.78,15.46,6.04,2.77
2017-07-02,馬公,2.14,5.35,7.48,20.93,13.06,6.99,2.62
2017-07-09,馬公,1.95,3.78,5.61,22.19,11.39,7.03,1.77
2017-07-16,馬公,1.42,3.32,4.74,32.63,20.19,12.5,2.12
2017-07-23,馬公,1.92,4.82,6.69,25.41,15.29,11.66,2.55
2017-07-30,馬公,2.49,4.77,7.26,21.28,20.63,10.82,1.21
2017-08-06,馬公,2.19,4.47,6.65,18.4,20.95,10.91,0.49
2017-08-13,馬公,2.01,4.01,6.02,17.43,9.61,8.15,0.8
2017-08-20,馬公,1.49,4.1,5.58,26.64,18.32,9.54,1.85
2017-08-27,馬公,1.94,4.07,6.0,29.96,23.69,11.05,1.98
2017-09-03,馬公,1.61,4.22,5.82,28.26,16.61,11.59,1.78
2017-09-10,馬公,1.18,3.58,4.76,38.88,23.41,14.51,1.68
2017-09-17,馬公,1.04,4.32,5.34,46.62,35.18,20.0,2.31
2017-09-24,馬公,1.36,3.57,4.93,28.25,17.96,11.12,1.37
2017-10-01,馬公,1.12,2.98,4.1,41.66,36.51,17.79,2.02
2017-10-08,馬公,1.07,3.15,4.21,27.9,36.38,12.96,1.65
2017-10-15,馬公,1.15,2.46,3.61,39.49,30.38,14.43,1.51
2017-10-22,馬公,1.1,2.9,3.99,59.91,42.42,22.54,1.61
2017-10-29,馬公,1.01,3.13,4.11,49.76,42.97,20.18,1.71
2017-11-05,馬公,0.93,3.61,4.53,41.55,42.65,18.86,1.35
2017-11-12,馬公,0.91,3.54,4.41,39.15,28.34,14.02,1.31
2017-11-19,馬公,1.05,2.62,3.67,39.02,23.72,11.15,1.71
2017-11-26,馬公,0.92,3.08,3.99,40.03,32.34,14.37,1.55
2017-12-03,馬公,1.34,3.54,4.87,43.73,36.36,18.1,1.78
2017-12-10,馬公,0.98,3.29,4.26,41.08,31.11,14.57,1.24
2017-12-17,馬公,1.24,4.43,5.66,42.92,48.17,22.83,1.36
2017-12-24,馬公,1.14,4.64,5.76,46.68,51.18,25.62,1.96
