日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2017-01-01,麥寮,2.31,9.66,11.96,33.33,88.84,44.62,2.32
2017-01-08,麥寮,2.79,12.52,15.33,31.79,91.91,34.6,3.49
2017-01-15,麥寮,2.28,10.21,12.5,31.96,89.01,24.12,4.03
2017-01-22,麥寮,2.18,9.54,11.76,38.18,110.13,27.73,3.64
2017-01-29,麥寮,2.08,7.43,9.52,35.29,103.41,28.37,2.82
2017-02-05,麥寮,1.66,10.3,11.95,38.25,127.85,38.2,4.68
2017-02-12,麥寮,2.72,10.88,13.53,39.74,87.28,38.9,2.96
2017-02-19,麥寮,2.39,11.81,14.12,32.55,81.63,34.35,2.87
2017-02-26,麥寮,2.84,11.71,14.57,41.88,95.16,35.95,3.47
2017-03-05,麥寮,2.77,13.53,16.3,38.07,80.88,42.39,3.3
2017-03-12,麥寮,2.15,11.9,13.93,38.05,72.96,35.54,2.96
2017-03-19,麥寮,2.05,9.39,11.45,43.75,80.4,32.95,2.75
2017-03-26,麥寮,2.07,12.07,14.11,45.18,104.56,50.31,3.11
2017-04-02,麥寮,1.68,11.72,13.38,43.37,82.51,42.03,3.21
2017-04-09,麥寮,1.95,10.71,12.64,29.83,60.64,31.59,2.85
2017-04-16,麥寮,2.81,8.73,11.49,30.52,54.7,28.87,3.18
2017-04-23,麥寮,2.53,12.89,15.38,46.85,72.97,38.22,4.0
2017-04-30,麥寮,2.19,10.39,12.56,34.62,73.24,40.34,3.17
2017-05-07,麥寮,1.73,8.49,10.19,32.79,70.46,29.72,3.01
2017-05-14,麥寮,2.11,9.63,11.65,40.41,55.14,26.46,3.01
2017-05-21,麥寮,1.9,9.92,11.82,37.09,54.81,24.06,3.2
2017-05-28,麥寮,1.44,6.08,7.5,30.4,39.27,14.25,2.29
2017-06-04,麥寮,2.76,7.0,9.74,22.75,41.79,16.94,2.48
2017-06-11,麥寮,2.71,6.06,8.76,18.3,30.81,8.66,1.72
2017-06-18,麥寮,2.61,5.7,8.3,14.27,30.71,17.73,2.06
2017-06-25,麥寮,2.71,6.11,8.84,19.11,36.81,18.66,2.31
2017-07-02,麥寮,2.65,6.59,9.21,20.63,34.33,14.87,2.29
2017-07-09,麥寮,2.19,8.8,10.96,21.86,42.44,18.18,3.1
2017-07-16,麥寮,1.86,7.88,9.63,28.53,53.7,25.65,2.99
2017-07-23,麥寮,2.28,8.73,11.02,28.18,45.64,22.36,3.17
2017-07-30,麥寮,2.12,6.43,8.52,22.58,37.33,13.54,1.8
2017-08-06,麥寮,2.21,5.15,7.36,16.09,39.82,14.28,1.73
2017-08-13,麥寮,2.84,6.94,9.8,17.55,32.36,14.36,2.62
2017-08-20,麥寮,2.12,7.81,9.92,26.59,58.28,22.63,2.74
2017-08-27,麥寮,2.34,7.7,10.05,26.83,60.19,26.92,2.29
2017-09-03,麥寮,2.78,5.91,8.7,24.46,41.62,20.59,2.6
2017-09-10,麥寮,3.0,8.29,11.25,27.71,58.79,23.84,3.1
2017-09-17,麥寮,1.53,8.08,9.57,42.93,77.18,37.88,3.58
2017-09-24,麥寮,2.31,7.75,10.03,24.75,57.9,24.14,2.92
2017-10-01,麥寮,2.3,9.14,11.43,31.4,78.47,29.56,3.39
2017-10-08,麥寮,2.1,9.35,11.34,27.85,84.14,28.59,3.3
2017-10-15,麥寮,1.47,7.23,8.64,31.53,52.2,17.83,2.85
2017-10-22,麥寮,1.4,11.28,12.64,51.05,92.1,31.81,4.1
2017-10-29,麥寮,1.96,10.14,12.09,40.42,130.93,28.01,2.98
2017-11-05,麥寮,1.43,9.66,11.07,34.05,89.41,28.09,2.83
2017-11-12,麥寮,2.07,9.06,11.12,31.54,74.62,31.27,2.68
2017-11-19,麥寮,1.38,9.27,10.6,31.3,89.0,18.92,3.15
2017-11-26,麥寮,1.13,7.12,8.2,34.32,77.93,24.54,2.34
2017-12-03,麥寮,1.72,11.58,13.32,31.9,83.2,28.74,3.1
2017-12-10,麥寮,2.88,10.63,13.52,30.65,69.52,24.94,2.92
2017-12-17,麥寮,3.18,11.86,15.03,31.26,84.19,27.25,3.15
2017-12-24,麥寮,2.22,11.55,13.76,33.45,101.64,41.1,2.93
