日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2017-01-01,橋頭,5.29,19.37,24.66,27.69,95.26,55.59,3.04
2017-01-08,橋頭,4.54,22.33,26.87,25.75,94.33,54.95,3.93
2017-01-15,橋頭,4.15,21.18,25.33,23.7,78.93,42.95,3.58
2017-01-22,橋頭,3.03,20.46,23.48,28.85,83.56,43.1,3.95
2017-01-29,橋頭,2.64,16.35,19.01,26.91,79.59,41.0,3.14
2017-02-05,橋頭,3.63,20.18,23.85,25.08,95.77,51.84,3.51
2017-02-12,橋頭,4.08,21.04,25.13,30.58,87.22,48.66,3.84
2017-02-19,橋頭,3.9,19.0,22.87,24.03,81.18,42.52,3.58
2017-02-26,橋頭,2.48,18.89,21.35,34.09,94.61,49.68,4.21
2017-03-05,橋頭,3.72,20.65,24.28,24.94,80.32,50.35,3.22
2017-03-12,橋頭,2.85,17.35,20.2,32.88,82.71,45.4,3.75
2017-03-19,橋頭,2.34,16.2,18.54,32.55,83.55,39.6,3.59
2017-03-26,橋頭,2.51,16.05,18.52,37.3,79.83,39.54,3.4
2017-04-02,橋頭,1.7,13.13,14.78,40.15,63.74,33.21,3.13
2017-04-09,橋頭,3.57,14.52,18.05,20.24,50.49,28.88,2.61
2017-04-16,橋頭,2.2,9.77,11.93,22.75,37.63,21.93,2.97
2017-04-23,橋頭,2.31,15.15,17.46,37.95,62.15,33.27,3.12
2017-04-30,橋頭,2.03,12.5,14.55,36.71,62.27,33.16,3.83
2017-05-07,橋頭,2.79,10.81,13.61,24.08,48.21,21.97,4.19
2017-05-14,橋頭,1.89,13.15,15.02,30.69,45.29,24.25,2.92
2017-05-21,橋頭,2.04,10.31,12.38,27.33,38.79,19.2,2.69
2017-05-28,橋頭,1.47,7.51,8.98,25.81,37.3,17.55,3.38
2017-06-04,橋頭,3.19,8.84,12.03,16.86,24.91,12.22,3.07
2017-06-11,橋頭,2.84,8.1,10.97,13.7,20.4,9.03,2.44
2017-06-18,橋頭,4.02,7.62,11.6,12.89,18.69,9.66,2.67
2017-06-25,橋頭,3.03,8.24,11.27,15.6,23.11,10.76,3.4
2017-07-02,橋頭,3.08,9.46,12.55,16.43,24.47,10.7,3.35
2017-07-09,橋頭,2.6,9.37,11.98,20.11,26.79,12.28,2.66
2017-07-16,橋頭,2.11,11.13,13.18,30.11,39.55,23.12,2.81
2017-07-23,橋頭,2.16,8.41,10.6,24.09,31.27,18.43,2.68
2017-07-30,橋頭,2.41,8.51,10.91,22.21,29.3,14.46,1.09
2017-08-06,橋頭,2.55,5.65,8.19,16.29,28.14,14.63,0.58
2017-08-13,橋頭,2.95,8.17,11.12,18.54,26.5,15.15,1.24
2017-08-20,橋頭,2.46,12.13,14.64,24.5,34.63,19.43,3.08
2017-08-27,橋頭,2.54,11.41,13.95,24.22,36.02,18.3,3.34
2017-09-03,橋頭,2.34,8.51,10.86,23.27,30.06,15.02,3.14
2017-09-10,橋頭,2.04,11.55,13.55,30.11,44.94,21.4,2.89
2017-09-17,橋頭,1.29,13.51,14.81,46.07,57.45,34.8,3.59
2017-09-24,橋頭,2.46,10.29,12.72,28.44,37.62,20.82,3.44
2017-10-01,橋頭,1.53,11.93,13.46,39.42,60.66,31.24,3.05
2017-10-08,橋頭,2.59,13.5,16.06,26.62,50.86,24.37,2.94
2017-10-15,橋頭,2.37,12.7,15.04,29.69,51.56,24.5,2.61
2017-10-22,橋頭,2.12,16.79,18.93,45.45,85.27,39.25,3.61
2017-10-29,橋頭,2.09,17.0,19.06,37.8,84.13,33.55,2.92
2017-11-05,橋頭,2.72,18.05,20.84,28.76,88.03,42.53,3.03
2017-11-12,橋頭,3.19,17.38,20.59,27.86,74.73,39.72,3.03
2017-11-19,橋頭,3.11,18.49,21.62,24.79,75.47,33.83,3.21
2017-11-26,橋頭,3.09,17.96,21.02,25.63,83.64,39.24,3.1
2017-12-03,橋頭,3.36,20.42,23.76,22.37,77.44,42.28,3.34
2017-12-10,橋頭,3.97,20.8,24.76,22.69,80.6,43.58,3.25
2017-12-17,橋頭,3.18,18.72,21.88,27.29,68.88,37.51,3.19
2017-12-24,橋頭,2.81,18.64,21.46,30.42,95.07,55.88,3.41
