日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2018-01-01,忠明,10.42,23.89,34.31,17.81,49.61,24.92,2.58
2018-01-08,忠明,7.34,17.56,24.9,25.48,27.26,13.76,2.05
2018-01-15,忠明,9.28,23.55,32.83,20.92,48.91,27.72,2.34
2018-01-22,忠明,2.78,17.4,20.18,25.47,27.16,14.76,1.82
2018-01-29,忠明,2.84,16.11,18.94,24.69,20.93,14.45,1.82
2018-02-05,忠明,9.66,19.99,29.66,23.29,33.86,21.29,1.87
2018-02-12,忠明,6.08,22.29,28.37,30.81,66.74,33.55,2.41
2018-02-19,忠明,6.44,22.1,28.54,21.27,41.18,27.48,1.89
2018-02-26,忠明,14.65,26.94,41.59,21.69,69.32,39.07,2.94
2018-03-05,忠明,2.78,16.84,19.61,30.37,33.1,17.41,2.12
2018-03-12,忠明,6.31,27.8,34.11,28.43,56.09,32.98,2.72
2018-03-19,忠明,4.37,20.67,25.04,37.02,47.4,26.54,2.38
2018-03-26,忠明,2.76,19.41,22.15,39.28,66.02,37.49,2.54
2018-04-02,忠明,2.21,15.75,17.96,34.61,63.96,28.93,3.33
2018-04-09,忠明,2.32,15.95,18.28,31.46,38.02,19.17,2.37
2018-04-16,忠明,2.0,20.5,22.5,41.46,55.93,32.27,3.41
2018-04-23,忠明,2.0,19.34,21.34,39.48,48.6,31.23,3.4
2018-04-30,忠明,2.19,15.68,17.87,35.14,44.71,23.76,3.41
2018-05-07,忠明,1.68,16.92,18.61,32.99,40.58,19.02,2.62
2018-05-14,忠明,2.52,11.71,14.24,20.9,30.02,13.88,2.53
2018-05-21,忠明,2.55,14.58,17.13,28.24,36.86,20.26,3.27
2018-05-28,忠明,1.82,11.82,13.64,37.06,32.27,16.69,2.55
2018-06-04,忠明,2.1,13.73,15.83,35.38,35.67,18.94,3.03
2018-06-11,忠明,1.52,14.05,15.57,43.37,32.1,15.94,2.76
2018-06-18,忠明,3.53,11.06,14.59,16.09,19.47,7.41,1.77
2018-06-25,忠明,3.01,10.72,13.72,21.9,25.19,11.2,2.5
2018-07-02,忠明,3.42,11.89,15.3,15.57,16.55,7.84,1.76
2018-07-09,忠明,2.97,12.02,14.99,26.45,31.37,17.22,2.7
2018-07-16,忠明,1.6,12.08,13.67,35.89,40.96,24.72,2.62
2018-07-23,忠明,2.68,11.44,14.12,22.19,26.02,13.23,2.58
2018-07-30,忠明,2.69,9.95,12.63,25.34,22.67,12.51,2.19
2018-08-06,忠明,2.08,11.17,13.25,35.95,31.73,23.36,2.6
2018-08-13,忠明,2.36,11.56,13.91,25.99,17.0,9.22,1.84
2018-08-20,忠明,2.52,13.8,16.31,29.13,12.66,8.18,1.64
2018-08-27,忠明,6.23,11.8,18.01,15.78,18.9,9.8,2.08
2018-09-03,忠明,3.3,10.86,14.15,28.65,26.25,17.05,2.3
2018-09-10,忠明,3.92,16.53,20.45,29.67,40.78,23.96,2.78
2018-09-17,忠明,2.65,13.59,16.24,28.21,37.57,23.77,2.57
2018-09-24,忠明,2.02,8.46,10.48,43.84,28.8,14.16,1.54
2018-10-01,忠明,1.9,14.74,16.64,51.39,40.86,22.73,1.96
2018-10-08,忠明,3.4,15.97,19.36,32.1,26.47,15.42,2.09
2018-10-15,忠明,2.24,16.42,18.65,33.65,30.02,13.97,2.06
2018-10-22,忠明,2.89,17.05,19.94,39.71,43.2,22.07,2.59
2018-10-29,忠明,3.93,16.88,20.81,31.55,25.18,13.71,2.19
2018-11-05,忠明,4.72,22.21,26.92,29.83,68.18,39.98,2.96
2018-11-12,忠明,3.99,19.55,23.53,26.27,38.8,20.42,2.23
2018-11-19,忠明,4.83,19.67,24.5,26.04,33.64,19.16,2.22
2018-11-26,忠明,7.05,21.36,28.39,24.7,44.28,25.43,2.52
2018-12-03,忠明,7.4,17.62,25.02,21.59,26.2,14.45,1.89
2018-12-10,忠明,3.55,15.39,18.94,21.15,20.81,12.08,2.16
2018-12-17,忠明,7.34,23.99,31.33,28.25,56.95,32.04,2.12
2018-12-24,忠明,2.5,11.83,14.32,26.98,12.39,7.01,1.49
