日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2018-01-01,豐原,2.95,14.49,17.41,22.77,43.39,21.39,2.2
2018-01-08,豐原,2.15,8.17,10.29,31.25,24.94,11.33,1.88
2018-01-15,豐原,3.34,15.53,18.86,21.34,43.27,21.48,2.61
2018-01-22,豐原,3.08,12.2,15.27,24.74,34.38,15.61,2.01
2018-01-29,豐原,1.99,9.24,11.21,26.78,17.98,11.26,1.63
2018-02-05,豐原,3.32,10.77,14.1,25.89,27.72,14.88,1.87
2018-02-12,豐原,2.16,10.32,12.48,35.72,49.51,22.56,1.82
2018-02-19,豐原,2.0,11.37,13.35,26.92,32.86,18.47,1.52
2018-02-26,豐原,2.99,14.74,17.71,26.9,50.92,25.89,2.98
2018-03-05,豐原,2.41,8.25,10.66,33.01,30.9,14.21,1.64
2018-03-12,豐原,2.64,13.0,15.65,39.21,48.14,26.21,2.59
2018-03-19,豐原,1.91,9.26,11.14,44.79,45.92,20.33,2.25
2018-03-26,豐原,1.49,10.93,12.4,45.51,57.79,30.89,2.21
2018-04-02,豐原,1.97,8.92,10.89,37.58,52.81,25.27,2.01
2018-04-09,豐原,2.35,10.26,12.61,33.83,37.17,19.0,2.86
2018-04-16,豐原,1.45,12.31,13.76,42.57,52.92,28.91,2.48
2018-04-23,豐原,1.55,12.6,14.14,41.28,48.84,28.55,2.83
2018-04-30,豐原,2.23,11.8,14.04,36.15,41.47,21.63,2.94
2018-05-07,豐原,1.69,10.47,12.16,34.69,38.95,19.46,2.59
2018-05-14,豐原,2.49,10.82,13.31,23.78,32.51,16.91,3.25
2018-05-21,豐原,1.65,10.49,12.13,32.67,36.02,18.83,3.07
2018-05-28,豐原,1.77,10.93,12.7,35.12,32.92,18.57,3.36
2018-06-04,豐原,1.66,10.57,12.23,36.5,38.96,16.66,2.59
2018-06-11,豐原,1.59,9.39,10.98,43.11,29.2,14.05,1.88
2018-06-18,豐原,1.56,5.34,6.89,22.05,16.68,9.13,2.1
2018-06-25,豐原,1.95,8.68,10.62,24.35,24.11,12.6,3.13
2018-07-02,豐原,1.39,4.53,5.91,23.64,16.81,11.08,2.49
2018-07-09,豐原,2.13,7.45,9.57,27.39,34.63,16.67,2.41
2018-07-16,豐原,1.29,8.94,10.23,38.79,45.34,27.35,2.87
2018-07-23,豐原,1.64,8.03,9.64,23.97,33.25,17.12,2.6
2018-07-30,豐原,1.29,7.88,9.18,27.61,29.05,14.03,2.5
2018-08-06,豐原,1.39,9.59,10.98,34.52,35.36,22.07,2.69
2018-08-13,豐原,1.38,8.48,9.85,28.71,20.63,11.29,2.27
2018-08-20,豐原,0.99,7.7,8.67,34.17,19.41,11.06,2.64
2018-08-27,豐原,2.62,9.55,12.17,18.66,25.56,13.36,2.86
2018-09-03,豐原,1.92,8.23,10.14,30.28,30.11,16.42,2.31
2018-09-10,豐原,2.12,10.38,12.5,29.29,35.78,18.15,2.76
2018-09-17,豐原,2.46,11.39,13.83,29.24,44.88,22.5,2.37
2018-09-24,豐原,1.0,5.01,6.0,42.55,26.32,11.03,1.58
2018-10-01,豐原,0.9,8.87,9.76,50.22,41.52,18.3,1.89
2018-10-08,豐原,1.37,8.94,10.3,33.65,25.19,11.91,1.58
2018-10-15,豐原,1.49,9.8,11.3,34.13,27.79,14.67,1.9
2018-10-22,豐原,1.81,10.86,12.66,40.85,42.39,19.8,2.16
2018-10-29,豐原,1.86,10.35,12.18,30.84,28.41,12.82,1.65
2018-11-05,豐原,2.16,14.07,16.22,34.34,57.09,34.58,1.83
2018-11-12,豐原,1.97,12.78,14.72,29.72,41.94,20.31,1.68
2018-11-19,豐原,1.99,11.47,13.45,30.11,34.9,16.39,2.03
2018-11-26,豐原,2.55,12.37,14.92,29.09,37.88,19.69,2.46
2018-12-03,豐原,2.38,10.86,13.22,24.61,25.44,10.95,1.46
2018-12-10,豐原,3.19,10.51,13.7,22.52,24.92,12.1,1.84
2018-12-17,豐原,2.56,15.35,17.91,35.0,51.78,24.5,2.49
2018-12-24,豐原,1.81,7.86,9.66,27.22,14.2,7.38,1.16
