日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2018-01-01,苗栗,5.35,18.27,23.62,19.3,45.41,22.37,2.59
2018-01-08,苗栗,3.65,13.73,17.37,26.92,33.62,15.6,2.32
2018-01-15,苗栗,4.43,16.92,21.35,23.18,53.41,25.4,3.12
2018-01-22,苗栗,3.42,13.45,16.88,26.65,37.32,14.53,2.4
2018-01-29,苗栗,2.45,13.14,15.59,26.29,35.73,19.03,2.1
2018-02-05,苗栗,4.61,15.18,19.79,25.66,45.84,21.22,2.23
2018-02-12,苗栗,2.8,15.25,18.05,32.2,83.89,32.58,2.96
2018-02-19,苗栗,3.15,15.95,19.11,23.51,58.63,29.58,2.3
2018-02-26,苗栗,6.63,15.9,22.53,23.38,71.87,36.96,2.52
2018-03-05,苗栗,2.62,12.9,15.52,29.86,42.58,21.71,2.38
2018-03-12,苗栗,2.87,17.12,20.0,29.15,59.68,31.13,2.7
2018-03-19,苗栗,2.26,14.87,17.14,37.09,52.17,26.43,2.15
2018-03-26,苗栗,2.34,12.99,15.32,34.34,62.53,32.5,2.46
2018-04-02,苗栗,1.77,9.65,11.41,34.86,67.72,31.3,2.31
2018-04-09,苗栗,2.34,11.53,13.88,28.38,49.91,22.56,2.25
2018-04-16,苗栗,1.69,13.82,15.5,40.74,66.97,36.36,2.89
2018-04-23,苗栗,1.91,14.21,16.12,37.87,55.27,32.9,3.23
2018-04-30,苗栗,1.98,11.76,13.73,33.01,49.22,26.85,3.03
2018-05-07,苗栗,1.53,10.69,12.22,35.69,45.69,21.68,2.87
2018-05-14,苗栗,2.25,8.94,11.18,18.09,34.71,15.33,2.84
2018-05-21,苗栗,1.54,9.94,11.48,28.81,41.26,23.39,2.95
2018-05-28,苗栗,1.35,9.53,10.88,33.9,38.9,21.14,3.02
2018-06-04,苗栗,2.41,11.58,13.99,27.89,43.36,19.51,3.07
2018-06-11,苗栗,1.67,11.4,13.07,39.25,29.05,20.98,2.28
2018-06-18,苗栗,2.3,6.92,9.22,18.04,16.26,14.11,1.85
2018-06-25,苗栗,1.63,7.7,9.31,21.0,22.5,18.44,2.5
2018-07-02,苗栗,1.45,5.61,7.06,21.07,21.83,14.08,1.52
2018-07-09,苗栗,2.06,8.04,10.1,22.56,32.71,20.68,2.38
2018-07-16,苗栗,2.08,10.16,12.23,27.61,50.43,25.95,3.11
2018-07-23,苗栗,1.77,8.22,10.0,21.83,44.25,21.04,2.43
2018-07-30,苗栗,1.53,7.57,9.1,25.26,46.02,18.47,2.32
2018-08-06,苗栗,1.51,9.26,10.77,27.65,56.03,23.85,2.52
2018-08-13,苗栗,1.53,8.26,9.79,25.37,44.51,13.39,2.06
2018-08-20,苗栗,1.51,9.7,11.21,27.35,44.71,12.53,2.09
2018-08-27,苗栗,3.29,10.09,13.39,16.13,46.89,18.86,2.29
2018-09-03,苗栗,1.72,9.22,10.94,26.17,50.53,21.79,2.31
2018-09-10,苗栗,2.85,10.8,13.66,23.03,50.38,21.5,2.26
2018-09-17,苗栗,1.77,10.19,11.96,25.7,59.93,30.36,2.5
2018-09-24,苗栗,1.22,8.45,9.67,42.09,53.91,21.38,2.32
2018-10-01,苗栗,1.42,10.42,11.85,48.79,60.36,23.14,2.33
2018-10-08,苗栗,2.31,11.23,13.55,31.07,45.25,16.79,2.89
2018-10-15,苗栗,1.31,11.17,12.47,35.06,46.93,16.61,2.5
2018-10-22,苗栗,1.82,11.64,13.46,36.2,66.47,23.78,2.63
2018-10-29,苗栗,2.24,10.9,13.14,34.72,47.76,16.12,2.18
2018-11-05,苗栗,3.54,15.17,18.71,21.88,68.92,29.8,2.9
2018-11-12,苗栗,3.65,15.38,19.03,21.78,38.49,20.23,2.88
2018-11-19,苗栗,3.73,15.03,18.76,23.16,32.78,20.16,2.61
2018-11-26,苗栗,3.08,14.44,17.51,30.11,44.91,27.36,2.95
2018-12-03,苗栗,3.51,12.96,16.47,21.1,29.39,15.31,2.74
2018-12-10,苗栗,2.71,12.89,15.6,19.56,25.56,14.72,2.73
2018-12-17,苗栗,3.62,17.81,21.43,27.23,57.03,29.48,2.7
2018-12-24,苗栗,2.14,9.45,11.58,25.39,16.56,9.62,1.81
