日期,地區,NO,NO2,NOx,O3,PM10,PM2.5,SO2
2019-01-01,埔里,4.28,15.13,19.42,19.47,47.13,22.38,1.93
2019-01-08,埔里,3.01,16.83,19.83,26.88,46.87,20.2,2.32
2019-01-15,埔里,2.22,13.29,15.5,23.91,39.69,18.65,1.81
2019-01-22,埔里,2.16,15.96,18.12,31.09,53.72,23.12,2.07
2019-01-29,埔里,1.6,16.15,17.75,33.0,49.05,21.91,1.63
2019-02-05,埔里,1.53,12.96,14.49,29.6,47.12,22.42,1.77
2019-02-12,埔里,1.77,14.5,16.26,34.52,46.6,21.13,2.09
2019-02-19,埔里,1.63,14.14,15.75,30.11,51.99,25.2,1.96
2019-02-26,埔里,1.36,14.64,16.0,37.02,56.32,28.67,2.01
2019-03-05,埔里,1.99,14.42,16.41,25.48,32.87,17.5,2.23
2019-03-12,埔里,1.72,13.27,14.98,35.39,55.5,29.89,2.01
2019-03-19,埔里,2.1,14.27,16.36,28.69,52.64,27.17,2.08
2019-03-26,埔里,1.32,11.65,12.95,39.33,49.45,23.9,1.96
2019-04-02,埔里,1.73,11.8,13.53,38.13,55.62,29.01,2.04
2019-04-09,埔里,1.79,11.03,12.82,32.13,43.06,20.1,1.83
2019-04-16,埔里,2.04,11.17,13.21,33.8,34.74,15.17,1.72
2019-04-23,埔里,1.45,9.31,10.77,38.42,41.39,18.96,2.1
2019-04-30,埔里,1.49,10.4,11.88,30.25,32.0,13.3,1.9
2019-05-07,埔里,1.63,10.48,12.09,34.09,35.99,16.44,1.85
2019-05-14,埔里,2.86,9.72,12.58,17.4,25.05,8.65,1.91
2019-05-21,埔里,2.1,9.71,11.8,33.0,36.83,18.64,1.73
2019-05-28,埔里,2.26,8.07,10.33,21.92,25.51,10.87,1.7
2019-06-04,埔里,3.17,8.55,11.72,15.92,23.7,9.59,1.55
2019-06-11,埔里,1.97,10.46,12.42,27.65,22.25,10.64,1.82
2019-06-18,埔里,1.93,7.99,9.91,19.33,22.63,8.99,1.77
2019-06-25,埔里,2.0,6.98,8.98,23.79,16.91,9.2,1.57
2019-07-02,埔里,3.09,7.25,10.33,14.92,23.81,8.58,1.86
2019-07-09,埔里,2.57,6.78,9.35,16.92,16.55,10.59,1.65
2019-07-16,埔里,1.54,7.68,9.22,29.66,28.05,14.93,1.92
2019-07-23,埔里,1.96,7.17,9.11,23.18,18.62,10.73,1.8
2019-07-30,埔里,1.32,7.25,8.56,31.41,23.48,16.47,1.76
2019-08-06,埔里,1.59,8.17,9.75,27.91,22.79,16.45,1.81
2019-08-13,埔里,1.72,8.15,9.87,24.01,12.38,9.17,1.54
2019-08-20,埔里,1.73,7.05,8.77,26.14,18.42,13.59,1.89
2019-08-27,埔里,1.9,7.3,9.19,30.85,22.9,17.24,2.11
2019-09-03,埔里,1.56,7.8,9.35,28.59,19.82,16.44,1.84
2019-09-10,埔里,1.05,8.51,9.56,41.28,33.39,25.49,1.82
2019-09-17,埔里,0.99,8.31,9.29,42.45,25.75,18.23,2.14
2019-09-24,埔里,2.05,10.01,12.06,38.92,32.2,20.37,2.01
2019-10-01,埔里,2.08,9.08,11.15,33.7,37.06,25.33,2.15
2019-10-08,埔里,1.06,9.93,10.99,43.84,39.12,26.1,1.8
2019-10-15,埔里,1.55,10.39,11.93,40.25,34.61,19.42,2.33
2019-10-22,埔里,1.98,11.34,13.32,42.31,35.23,22.27,2.12
2019-10-29,埔里,2.11,11.2,13.3,38.89,44.31,26.48,1.8
2019-11-05,埔里,2.01,13.05,15.05,38.4,33.88,20.15,2.17
2019-11-12,埔里,1.86,14.38,16.24,41.7,47.88,31.42,2.15
2019-11-19,埔里,2.37,12.75,15.12,33.42,33.69,20.93,1.89
2019-11-26,埔里,2.27,13.15,15.41,32.87,34.24,19.49,2.26
2019-12-03,埔里,2.43,12.3,14.73,21.4,19.49,11.79,1.96
2019-12-10,埔里,3.66,16.4,20.06,26.38,31.72,20.34,2.08
2019-12-17,埔里,5.03,13.18,18.2,20.02,25.51,15.97,1.91
2019-12-24,埔里,2.54,14.3,16.83,20.9,23.13,14.28,1.86
