日期,二林,南投,埔里,大里,彰化,忠明,沙鹿,竹山,線西,西屯,豐原,三重,中壢,中山,古亭,土城,基隆,士林,大同,大園,富貴角,平鎮,新店,新莊,松山,板橋,林口,桃園,永和,汐止,淡水,菜寮,萬華,萬里,觀音,陽明,龍潭,三義,新竹,湖口,竹東,苗栗,頭份,冬山,宜蘭,臺東,花蓮,關山,仁武,前金,前鎮,大寮,小港,屏東,左營,復興,恆春,林園,楠梓,橋頭,潮州,美濃,鳳山,善化,嘉義,安南,崙背,斗六,新港,新營,朴子,臺南,臺西,麥寮
2018-01-01,2.29,5.44,4.7,8.64,3.89,10.42,5.62,4.09,3.2,7.78,2.95,60.08,23.81,9.2,4.42,3.95,2.0,1.93,29.04,3.63,0.38,5.03,2.49,3.16,5.13,3.97,2.55,3.4,9.16,3.34,1.11,4.17,5.04,1.47,1.43,0.73,3.6,1.18,3.01,3.45,2.53,5.35,3.75,3.47,1.33,1.77,1.67,1.65,7.22,4.37,7.32,5.31,10.84,2.66,3.85,9.12,0.6,4.46,7.33,4.9,2.65,1.42,7.1,2.98,4.34,3.03,2.48,3.84,2.99,2.77,2.36,3.7,1.65,2.38
2018-01-08,1.68,5.27,2.76,7.31,2.39,7.34,2.95,2.39,2.82,4.18,2.15,78.51,22.11,14.12,8.32,4.76,3.42,6.05,46.94,4.78,0.11,4.13,4.33,10.17,7.96,6.92,4.83,4.37,13.79,9.69,3.96,9.27,9.39,1.01,1.09,0.75,3.0,1.27,1.69,1.64,1.96,3.65,2.57,2.93,0.76,1.56,1.61,1.09,6.06,3.39,5.41,4.92,7.02,2.01,3.03,8.48,0.52,3.47,5.93,4.09,1.82,1.37,5.21,2.52,2.91,3.54,2.17,2.56,2.68,2.77,2.35,3.25,1.62,2.24
2018-01-15,2.58,4.71,3.53,8.24,5.04,9.28,3.42,2.74,3.38,5.6,3.34,57.6,23.48,11.59,8.32,9.73,4.45,5.41,44.69,5.36,0.32,6.96,4.67,11.53,12.34,9.85,5.83,7.54,13.36,12.03,4.27,7.45,9.02,1.52,2.61,0.39,4.44,1.63,4.23,2.82,3.12,4.43,3.57,4.52,1.41,1.8,2.04,1.56,6.25,3.6,5.74,4.32,9.89,2.62,2.84,7.78,0.52,2.27,5.48,4.16,2.24,1.77,5.62,2.99,3.68,3.1,2.48,2.76,2.26,2.82,1.75,4.06,1.26,1.7
2018-01-22,1.75,4.7,2.23,4.76,2.02,2.78,1.43,2.51,1.91,1.96,3.08,51.79,13.64,8.62,4.0,1.76,1.47,1.34,24.76,3.23,0.09,3.01,2.12,2.79,5.3,2.86,2.41,2.56,7.24,3.68,1.33,2.6,5.33,0.96,1.34,0.23,2.07,1.48,1.22,1.44,2.06,3.42,1.79,2.44,0.75,1.37,1.27,1.11,4.08,3.11,3.91,3.43,6.85,1.45,2.68,5.72,0.6,2.99,4.8,3.43,1.78,1.35,4.96,2.38,3.09,2.05,1.68,3.12,1.92,1.69,1.84,3.16,0.95,1.37
2018-01-29,1.38,4.65,1.39,5.97,2.04,2.84,1.37,3.23,1.58,1.11,1.99,66.93,12.12,8.76,4.84,1.67,1.18,2.28,43.64,4.41,0.06,3.35,2.56,4.01,4.35,3.63,2.49,2.75,8.6,3.25,1.43,2.69,6.54,1.31,0.63,0.14,1.98,1.06,1.25,1.04,1.71,2.45,1.68,1.82,0.91,2.17,1.73,0.79,5.4,3.75,5.41,5.61,6.64,2.47,3.06,7.55,0.72,4.69,5.39,3.69,2.14,1.51,4.99,2.38,3.16,2.08,1.86,2.95,1.79,2.25,1.7,2.72,0.98,2.17
2018-02-05,2.13,9.84,3.31,12.28,6.49,9.66,4.15,4.61,3.17,4.75,3.32,79.52,21.36,17.0,14.27,8.85,6.56,5.46,57.35,3.82,0.2266666666666666,2.92,10.73,6.76,14.14,7.8,3.5,3.8,22.63,13.14,1.86,7.14,13.08,1.12,1.62,0.11,2.62,1.64,1.86,1.52,2.56,4.61,2.65,2.85,1.49,3.67,2.37,1.14,7.14,4.79,7.53,4.63,8.24,2.12,3.72,10.47,0.66,4.29,6.28,4.46,2.29,1.7,6.43,2.62,5.97,2.47,2.43,4.66,2.04,2.84,1.96,2.99,1.45,2.3
2018-02-12,1.24,3.1,1.48,3.76,1.51,6.08,2.01,1.88,1.6,3.82,2.16,61.01,21.26,13.88,5.17,7.52,3.78,3.0,30.47,3.09,0.3933333333333333,5.06,3.06,3.51,8.1,7.42,2.94,3.74,10.86,7.91,2.36,11.11,9.53,1.48,1.41,0.26,3.21,1.07,2.16,1.63,1.78,2.8,2.41,2.7,0.83,1.75,1.08,0.99,2.97,2.73,3.85,3.44,3.82,1.77,2.28,6.03,0.65,1.62,4.87,2.66,1.96,1.23,3.09,1.68,1.68,1.97,1.32,1.93,1.29,1.47,1.4,3.2,1.58,1.86
2018-02-19,1.76,3.97,1.8,4.87,2.48,6.44,2.09,2.07,2.08,2.56,2.0,56.86,15.94,9.92,5.36,6.24,3.1,2.89,26.43,2.77,0.56,3.22,4.82,4.43,6.06,4.81,2.67,4.5,14.38,5.17,1.46,3.99,5.61,1.24,1.02,0.37,4.03,1.45,2.75,1.41,3.52,3.15,2.26,2.22,0.75,2.95,1.09,1.09,3.8,3.59,5.38,3.35,5.03,1.66,2.78,6.27,0.7,2.06,4.38,3.14,1.94,1.38,3.39,2.0,2.46,2.04,1.83,3.07,1.88,1.45,2.07,2.28,0.85,1.66
2018-02-26,2.3,3.95,2.15,7.61,3.6,14.65,3.82,2.19,3.11,10.45,2.99,81.7,27.91,27.71,13.9,16.02,6.52,12.2,48.49,5.49,0.484,6.11,9.07,18.39,16.28,21.34,5.0,8.44,29.27,15.81,6.4,19.12,21.56,1.78,2.48,0.3,4.62,1.96,5.39,3.63,3.21,6.63,3.7,3.09,1.12,2.25,1.31,1.38,3.4,4.71,5.09,3.17,4.93,1.91,3.83,5.84,0.77,2.75,5.33,3.39,1.9,1.47,3.53,3.36,3.4,3.77,2.36,3.57,3.22,2.81,2.33,4.47,1.63,2.64
2018-03-05,1.66,2.52,2.23,3.64,1.25,2.78,1.73,2.5,2.2,1.68,2.41,56.1,17.56,7.98,5.46,3.23,1.96,2.96,29.55,3.1,0.408,2.9,2.89,5.44,5.28,4.73,2.57,3.31,9.43,4.26,1.85,3.24,4.85,1.29,1.0,0.36,2.11,1.16,1.3,1.36,1.83,2.62,1.81,2.38,0.9,1.86,1.06,1.08,3.25,2.76,3.88,3.45,4.17,1.98,1.85,4.63,0.57,3.14,4.59,2.39,1.6,1.7,3.59,1.72,2.02,2.36,1.75,2.21,2.03,2.275,0.99,3.08,1.45,1.84
