日期,二林,南投,埔里,大里,彰化,忠明,沙鹿,竹山,線西,西屯,豐原,三重,中壢,中山,古亭,土城,基隆,士林,大同,大園,平鎮,新店,新莊,松山,板橋,林口,桃園,永和,汐止,淡水,菜寮,萬華,萬里,觀音,陽明,龍潭,三義,新竹,湖口,竹東,苗栗,頭份,冬山,宜蘭,臺東,花蓮,關山,仁武,前金,前鎮,大寮,小港,屏東,左營,復興,恆春,林園,楠梓,橋頭,潮州,美濃,鳳山,善化,嘉義,安南,崙背,斗六,新港,新營,朴子,臺南,臺西,麥寮
2016-01-01,12.89,18.97,14.87,24.61,19.81,23.14,16.73,16.38,17.29,19.28,14.4,36.39,28.68,29.55,26.39,22.82,17.68,19.12,32.57,16.91,22.29,21.96,25.65,26.86,28.68,16.32,21.54,27.88,23.37,14.55,23.46,29.06,7.91,12.73,2.15,19.16,11.75,19.67,14.21,14.74,19.93,19.49,12.98,10.54,6.44,10.85,4.82,24.89,21.19,27.19,25.56,32.58,17.4,21.93,29.2,2.15,23.48,19.12,20.12,13.77,9.68,26.11,16.66,20.42,18.28,13.49,21.86,13.95,18.99,12.53,22.07,10.13,10.94
2016-01-08,11.11,19.7,13.86,20.71,17.56,18.35,13.71,15.67,14.61,14.9,10.06,37.91,27.93,26.91,22.12,19.49,10.59,15.07,32.15,15.61,19.68,17.48,22.33,22.22,25.27,11.37,17.6,22.73,18.15,9.77,20.56,25.49,4.07,10.31,2.24,15.76,10.42,15.55,9.7,12.25,16.73,15.1,11.12,8.12,5.98,11.94,5.15,24.2,21.41,26.88,25.83,30.53,17.63,21.18,27.91,2.75,25.0,18.53,19.1,14.24,9.85,25.26,15.83,19.69,14.4,13.53,18.91,12.14,17.3,12.84,19.17,9.02,10.66
2016-01-15,13.66,23.39,14.34,26.17,19.94,22.49,16.96,18.95,17.4,18.69,12.25,38.77,27.36,29.43,23.18,20.95,12.42,16.95,34.09,16.25,18.17,18.83,22.85,24.5,25.22,13.99,17.35,24.18,20.42,11.62,22.23,27.87,4.7,12.06,2.49,16.28,11.27,17.85,11.44,13.16,19.47,20.28,10.04,9.52,6.48,12.51,6.54,27.51,25.55,31.34,29.02,34.85,18.74,25.25,33.35,2.58,27.97,22.01,23.08,15.04,10.07,28.49,20.26,24.5,18.87,16.28,22.56,15.46,21.35,15.07,24.37,10.14,12.51
2016-01-22,11.22,19.83,15.94,22.88,17.12,19.79,13.11,16.78,12.99,15.74,10.81,36.72,28.73,25.78,22.92,19.51,9.4,14.96,31.58,15.8,19.99,18.69,23.28,20.97,24.66,14.44,17.7,25.1,18.03,11.49,20.65,25.56,4.98,13.37,2.01,15.6,10.51,17.04,12.79,11.93,16.52,16.65,10.25,8.57,6.54,9.3,5.62,26.41,22.34,28.03,27.56,31.8,19.73,21.48,28.28,2.59,24.06,20.27,20.08,13.74,10.86,26.73,15.32,18.51,13.53,12.41,18.37,12.0,16.93,10.85,18.13,8.73,9.91
2016-01-29,11.84,20.39,12.92,20.84,16.43,18.6,13.28,17.58,14.05,14.9,10.08,38.17,25.26,26.74,22.27,19.26,9.4,12.83,31.51,13.7,18.23,18.31,22.93,22.14,24.11,11.28,15.75,21.81,16.54,8.65,21.96,25.18,3.82,8.53,1.72,15.09,12.29,14.57,9.06,12.27,18.51,15.06,9.48,8.62,6.58,11.3,5.19,23.41,21.49,26.12,25.72,29.75,16.46,21.73,28.35,1.79,27.72,18.95,19.66,15.52,11.35,24.32,15.06,19.55,14.53,12.59,19.31,11.46,17.35,11.48,18.29,7.89,10.28
2016-02-05,9.66,16.4,11.86,18.85,15.01,20.06,15.66,12.51,12.29,16.37,7.7,41.43,28.16,26.93,20.6,21.77,10.44,15.18,35.22,14.71,17.75,17.36,20.38,20.95,22.0,10.38,17.98,27.24,17.22,15.78,22.17,25.77,5.44,12.45,2.84,16.0,7.51,16.67,12.1,11.27,16.38,14.57,9.36,7.14,7.67,7.95,5.1,18.27,18.33,24.08,18.22,22.09,13.95,19.7,27.23,2.08,17.03,14.44,14.22,10.98,8.95,19.16,13.11,17.15,13.47,11.89,14.7,10.81,15.83,11.69,17.95,8.73,8.65
2016-02-12,11.78,18.57,11.52,21.01,15.06,19.29,13.45,14.01,14.37,15.82,11.45,34.24,25.54,26.3,18.16,17.1,14.3,14.12,30.27,17.1,16.49,14.92,21.0,22.36,21.8,15.03,16.47,18.48,20.52,14.71,20.73,24.3,6.93,16.12,2.58,14.26,8.88,15.59,12.03,10.63,14.65,15.63,8.42,6.96,6.07,10.52,4.44,21.5,21.07,23.41,22.46,27.0,15.58,21.28,27.51,2.44,20.56,17.95,18.33,13.52,9.22,23.79,15.39,24.99,16.27,12.82,17.99,12.65,16.66,13.06,20.1,9.94,12.5
2016-02-19,13.66,22.1,13.63,25.37,18.77,22.48,15.27,20.48,15.35,17.57,13.85,40.01,24.97,28.37,20.04,17.28,9.42,11.9,31.61,13.24,15.74,15.51,18.78,22.11,20.19,10.01,15.45,22.2,18.62,7.47,18.74,24.47,4.57,9.59,3.23,12.78,10.47,14.13,9.94,10.87,15.42,15.8,10.46,7.57,5.71,8.55,4.68,24.59,21.46,26.81,28.62,33.37,18.58,21.04,30.87,2.61,24.6,18.99,20.39,16.94,11.25,27.8,16.45,22.93,14.93,14.44,20.31,13.09,17.94,13.96,20.25,10.07,12.95
2016-02-26,14.21,21.27,15.32,26.77,20.47,25.01,19.32,18.44,17.82,20.05,14.06,42.22,30.39,28.52,20.34,19.78,11.14,15.88,35.03,22.01,18.31,16.05,21.83,23.15,23.64,13.47,17.16,21.21,21.25,13.32,22.51,27.41,4.02,18.87,2.28,16.25,11.14,20.67,15.49,11.85,20.66,20.17,8.49,7.96,5.46,8.66,3.76,23.88,19.57,25.76,23.91,29.59,18.24,20.58,29.33,2.48,21.34,20.64,20.73,12.54,11.42,24.94,15.49,22.1,15.14,15.9,21.19,13.0,17.84,12.45,19.9,8.74,10.29
2016-03-04,12.75,18.37,16.67,24.1,20.48,23.83,19.16,16.45,16.73,20.75,13.93,41.37,31.4,32.26,24.48,27.13,18.32,23.19,34.85,22.63,24.17,19.59,29.34,25.23,30.15,19.76,27.91,27.92,20.12,18.89,27.96,30.31,8.4,15.48,3.9,19.94,12.54,21.48,15.64,16.49,20.93,19.57,10.37,7.68,5.37,6.79,3.3,23.77,20.56,27.13,22.51,30.16,18.03,21.77,31.17,2.59,18.28,21.28,19.5,12.09,10.49,23.96,16.07,18.97,17.35,13.08,18.88,12.3,18.41,12.13,21.79,11.56,11.3
