日期,二林,南投,埔里,大里,彰化,忠明,沙鹿,竹山,線西,西屯,豐原,三重,中壢,中山,古亭,土城,基隆,士林,大同,大園,富貴角,平鎮,新店,新莊,松山,板橋,林口,桃園,永和,汐止,淡水,菜寮,萬華,萬里,觀音,陽明,龍潭,三義,新竹,湖口,竹東,苗栗,頭份,冬山,宜蘭,臺東,花蓮,關山,仁武,前金,前鎮,大寮,小港,屏東,左營,復興,恆春,林園,楠梓,橋頭,潮州,美濃,鳳山,善化,嘉義,安南,崙背,斗六,新港,新營,朴子,臺南,臺西,麥寮
2019-01-01,12.28,20.92,15.13,21.44,17.74,17.92,14.59,16.84,13.82,15.71,14.59,29.23,22.7,21.41,17.13,15.88,10.41,9.02,26.38,14.09,3.0,15.35,15.51,15.63,18.19,18.54,11.7,13.99,17.83,14.81,7.99,14.9,19.15,4.9,9.18,2.29,13.15,9.72,13.65,10.24,11.17,14.59,13.44,8.61,7.45,5.72,8.46,3.74,23.62,21.12,28.26,24.66,30.3,18.26,21.82,28.54,1.93,23.04,21.18,21.22,16.42,9.51,28.6,15.26,20.87,15.25,13.03,17.93,13.44,16.61,10.72,17.46,6.76,7.52
2019-01-08,12.13,21.4,16.83,22.03,17.45,18.47,13.65,18.61,13.48,16.65,14.97,31.59,25.54,24.04,19.37,17.56,13.27,13.13,28.09,14.66,3.77,17.35,15.37,18.68,20.52,20.72,12.08,16.25,20.71,17.23,8.82,17.13,21.52,5.6,8.02,1.94,14.69,10.82,15.74,11.24,11.49,16.01,14.66,8.79,7.2,5.22,7.96,4.17,22.12,19.24,28.85,24.56,31.6,17.97,20.07,28.87,1.9,20.98,20.82,20.11,14.43,8.96,27.64,14.54,20.82,15.55,11.92,17.83,12.59,16.11,10.64,17.8,7.45,8.26
2019-01-15,10.52,18.58,13.29,20.56,17.43,18.9,13.79,15.92,12.62,15.17,13.35,39.9,29.04,26.98,19.74,18.86,9.69,12.85,33.75,14.72,3.36,20.92,17.14,20.83,22.31,23.34,12.19,18.88,21.23,17.94,7.33,19.63,24.9,4.54,9.14,1.92,15.46,11.88,14.78,11.24,11.02,15.35,14.26,7.94,5.16,5.76,7.0,4.47,20.56,18.18,24.73,21.78,26.77,15.86,17.93,24.6,1.91,21.53,17.8,18.35,15.59,9.58,24.65,14.48,19.25,14.65,12.25,16.41,11.52,14.91,10.62,16.72,7.52,8.65
2019-01-22,13.69,19.82,15.96,22.7,20.0,19.6,13.64,14.5,16.56,14.37,12.35,41.11,29.0,25.39,16.39,15.36,9.37,9.36,33.85,16.78,2.42,19.2,14.56,19.64,20.28,20.75,13.24,15.5,17.25,19.83,10.46,18.91,22.59,3.65,11.9,2.23,13.92,8.98,15.06,11.08,9.62,16.75,14.41,8.33,5.54,5.61,8.83,4.8,23.5,19.44,27.19,24.72,32.31,17.22,19.85,27.81,2.25,23.53,20.11,20.72,16.23,9.41,28.46,15.86,22.13,16.78,13.18,18.42,12.94,16.99,11.32,18.7,7.37,10.42
2019-01-29,13.93,20.32,16.15,23.13,21.03,23.62,17.21,13.58,16.81,20.78,15.18,39.76,30.0,27.41,19.98,20.18,16.18,16.64,34.5,18.08,6.03,20.43,15.12,23.2,24.85,24.64,14.86,21.09,22.42,20.65,14.29,22.46,25.22,7.56,14.34,2.51,14.69,10.54,18.06,13.71,11.24,16.73,15.74,7.22,6.46,5.74,6.73,4.59,22.24,19.14,27.75,23.7,25.61,16.65,20.11,25.8,2.08,15.7,19.86,19.06,13.19,8.69,23.71,12.13,19.86,18.29,15.03,15.7,14.59,16.83,11.7,20.54,9.84,11.74
2019-02-05,9.26,14.2,12.96,13.53,11.4,12.66,9.17,10.3,9.39,10.52,8.04,26.82,20.42,16.9,10.54,9.92,9.41,8.9,25.17,8.81,2.8,12.25,9.03,11.01,13.37,14.39,6.9,10.84,12.05,9.6,6.38,12.74,14.8,4.05,5.68,1.42,9.04,7.07,9.51,6.23,7.35,10.92,9.36,3.47,3.65,5.05,6.58,3.02,13.49,11.91,16.78,14.77,16.86,11.93,12.28,16.9,2.55,15.06,11.53,11.4,10.86,6.54,17.11,8.08,13.08,11.46,10.24,9.97,10.26,10.7,9.58,12.41,6.57,7.84
2019-02-12,11.21,17.87,14.5,20.24,16.9,18.35,11.63,14.77,12.61,14.69,12.47,31.22,24.99,21.67,16.93,14.81,9.86,11.78,28.34,12.52,1.74,17.8,14.72,15.98,17.54,18.18,9.24,14.36,18.23,15.05,7.39,15.44,20.16,4.28,5.99,1.6,12.99,8.48,13.33,8.33,10.08,13.56,12.81,6.13,4.66,4.78,7.14,2.39,17.74,15.95,21.64,16.4,23.24,13.37,16.02,21.04,1.49,15.09,16.22,16.23,10.4,7.03,20.77,11.76,18.49,14.63,10.89,15.36,11.34,14.25,8.98,15.03,7.24,8.92
2019-02-19,11.75,19.08,14.14,21.17,18.37,20.6,13.4,15.53,13.8,15.8,13.68,34.08,28.29,23.26,19.02,18.06,7.63,14.14,31.12,15.93,2.14,20.49,15.96,18.21,17.62,21.52,12.4,17.61,21.25,15.07,8.57,17.33,22.15,3.69,7.2,2.31,14.98,10.06,15.52,11.13,11.87,14.87,14.76,7.14,5.45,4.59,9.77,2.82,16.28,13.69,19.09,15.2,19.91,12.75,14.42,18.16,1.59,13.41,16.06,14.31,9.32,7.08,19.16,11.65,17.49,14.51,11.99,15.94,11.9,14.5,10.7,15.2,9.66,10.37
2019-02-26,11.96,17.54,14.64,20.32,17.28,19.99,14.98,13.19,14.36,16.13,14.71,36.96,29.81,25.08,18.85,18.44,9.93,14.21,32.83,13.45,2.71,19.05,14.98,17.77,19.88,21.06,13.09,17.18,21.04,17.0,10.01,18.44,22.33,4.53,7.48,2.45,14.89,10.08,15.99,11.04,11.44,16.44,15.95,8.97,6.62,4.78,7.08,2.16,16.15,13.24,19.21,15.69,21.29,13.37,14.31,17.88,1.69,14.78,14.87,14.09,9.93,7.1,20.22,9.71,15.15,12.09,11.59,12.49,10.42,12.24,8.75,13.75,8.62,9.97
2019-03-05,12.49,21.16,14.42,23.87,19.42,22.04,14.95,15.44,15.54,16.9,11.15,38.39,30.48,29.09,21.71,18.91,11.7,13.9,37.87,17.57,3.19,20.37,17.56,20.33,24.06,23.1,14.95,18.37,23.99,20.09,10.6,21.01,25.77,4.54,12.32,1.67,14.59,10.08,17.39,11.69,11.8,15.8,15.55,8.7,6.83,5.45,10.12,3.89,20.07,19.03,24.03,18.19,26.04,14.41,19.32,23.41,2.1,17.38,19.49,17.45,11.55,7.9,21.73,12.73,19.77,17.13,13.48,18.26,12.85,16.85,12.57,19.63,9.7,12.39
2019-03-12,10.18,19.06,13.27,22.06,20.48,25.4,18.12,13.61,15.49,20.48,14.91,44.28,33.92,25.99,18.27,16.95,11.23,11.08,39.11,16.4,3.01,18.49,12.96,19.75,18.27,19.36,12.12,16.91,21.63,18.83,7.97,18.72,23.48,6.15,11.54,2.47,16.28,11.27,17.83,13.28,11.76,17.23,16.13,9.81,6.88,5.03,6.79,3.68,18.13,15.99,22.63,19.2,23.41,15.0,17.28,21.87,1.89,14.65,18.23,16.68,11.57,7.42,21.54,13.41,17.43,16.24,12.24,14.37,12.18,15.57,11.19,17.32,11.05,11.53
2019-03-19,10.23,16.76,14.27,19.32,15.76,19.24,15.34,13.17,13.15,16.6,14.76,37.46,29.88,25.58,20.35,18.96,11.27,13.08,37.04,15.7,3.51,18.97,15.97,20.43,20.52,22.53,12.13,17.79,22.34,17.94,9.12,18.57,22.6,5.77,9.75,2.77,13.82,11.12,15.46,11.23,10.77,14.91,14.44,8.36,6.64,4.93,7.54,3.22,19.12,15.4,21.08,18.07,22.81,13.7,17.28,20.79,2.52,14.7,17.41,14.94,11.82,7.77,20.56,11.8,16.59,15.48,10.38,14.13,11.91,15.06,10.7,16.84,8.92,9.82
2019-03-26,9.11,15.26,11.65,16.63,12.92,16.07,12.54,10.59,10.62,12.66,11.72,37.67,26.95,25.44,16.97,16.35,10.54,11.57,35.03,12.59,3.27,14.93,12.06,17.72,19.41,20.63,11.42,15.09,19.26,17.58,8.91,18.13,22.35,4.97,8.04,3.12,11.02,7.99,11.74,9.0,9.04,11.37,11.81,8.54,5.49,5.27,6.93,2.85,14.8,12.29,18.02,15.5,19.67,11.7,11.88,16.61,1.78,11.77,13.73,11.98,10.62,6.95,17.76,9.02,14.05,10.95,9.49,11.59,9.94,12.13,8.7,12.29,6.92,8.87
2019-04-02,8.88,14.08,11.8,16.23,13.6,15.63,13.45,10.98,9.8,13.63,12.18,39.96,29.89,27.13,21.17,19.29,14.35,15.36,35.47,11.62,3.4,15.8,15.31,19.98,22.74,21.27,13.07,17.6,27.0,18.95,13.38,19.84,23.71,7.35,7.21,2.04,12.86,8.08,12.86,9.15,9.6,12.8,12.06,8.32,5.45,3.98,6.38,3.07,13.75,10.52,16.61,15.6,17.87,11.75,10.71,15.44,2.19,12.26,11.74,11.31,9.69,6.95,17.12,8.08,12.53,11.1,8.4,12.3,10.11,11.61,8.21,12.33,6.89,8.13
