日期,二林,南投,埔里,大里,彰化,忠明,沙鹿,竹山,線西,西屯,豐原,三重,中壢,中山,古亭,土城,基隆,士林,大同,大園,富貴角,平鎮,新店,新莊,松山,板橋,林口,桃園,永和,汐止,淡水,菜寮,萬華,萬里,觀音,陽明,龍潭,三義,新竹,湖口,竹東,苗栗,頭份,冬山,宜蘭,臺東,花蓮,關山,仁武,前金,前鎮,大寮,小港,屏東,左營,復興,恆春,林園,楠梓,橋頭,潮州,美濃,鳳山,善化,嘉義,安南,崙背,斗六,新港,新營,朴子,臺南,臺西,麥寮
2017-01-01,15.67,24.41,15.55,35.84,23.67,33.68,22.69,16.24,18.5,29.28,16.84,104.24,51.76,39.45,29.74,27.19,18.28,18.8,65.9,22.16,NaN,23.78,22.53,27.34,32.95,30.84,20.98,26.66,40.47,31.9,15.4,26.7,33.17,10.85,14.33,3.3,21.57,12.03,24.43,17.75,15.36,21.93,20.34,15.41,10.47,7.85,8.93,5.82,23.94,21.25,32.4,27.14,38.73,21.09,22.86,35.2,2.34,22.39,28.17,24.66,16.5,12.35,30.27,18.62,21.92,19.99,14.63,22.06,16.24,20.46,12.92,24.65,11.09,11.96
2017-01-08,16.88,27.92,18.87,30.07,20.4,23.87,15.98,21.86,19.08,18.79,14.62,92.94,38.9,32.57,21.83,18.1,8.75,13.47,62.5,18.99,NaN,18.87,17.2,19.98,24.48,23.92,15.27,19.24,24.04,18.72,9.07,19.19,28.34,5.95,12.32,2.81,16.22,11.94,18.29,11.4,12.83,19.79,19.21,13.15,8.92,8.26,10.96,7.02,32.61,25.51,33.01,31.07,42.08,23.54,25.62,36.15,2.74,27.51,26.35,26.87,19.26,14.14,34.03,21.07,24.91,20.36,17.57,23.0,15.78,21.13,15.23,24.1,10.78,15.33
2017-01-15,13.55,25.88,15.26,26.84,18.41,22.05,13.27,20.41,14.54,15.18,11.56,105.91,39.9,36.85,24.98,19.78,12.95,13.81,65.75,19.5,NaN,19.44,18.52,20.76,28.44,23.63,15.83,18.06,33.46,24.33,9.43,21.92,31.03,6.87,10.35,2.52,16.28,9.82,16.45,11.47,12.6,16.74,17.55,13.38,9.54,8.03,10.81,6.57,32.41,25.14,31.54,28.41,38.09,21.29,26.83,35.91,2.55,29.32,24.92,25.33,20.4,13.3,31.38,20.91,22.14,18.11,14.55,20.6,13.02,19.47,13.65,21.17,8.64,12.5
2017-01-22,14.26,23.71,17.9,24.85,18.35,20.78,13.47,19.31,15.64,14.93,11.74,96.55,34.79,28.4,17.97,14.77,11.64,9.56,53.32,16.77,NaN,13.9,13.56,17.44,20.69,21.34,11.06,15.15,20.11,19.74,6.88,18.05,25.48,4.99,10.7,2.18,12.31,7.93,13.55,9.95,9.5,17.16,16.28,9.17,7.36,7.91,11.44,6.98,31.23,25.05,30.06,28.15,36.21,22.09,25.52,33.88,2.73,26.64,23.33,23.48,19.1,14.12,34.78,18.68,21.98,16.61,15.87,18.57,14.09,19.43,13.75,19.87,7.87,11.76
2017-01-29,11.14,18.9,14.56,19.4,13.81,16.93,9.45,15.27,11.34,11.46,9.88,88.32,32.86,34.53,21.31,19.95,15.19,15.35,49.39,15.95,NaN,13.95,15.35,20.63,26.43,21.6,14.06,17.54,27.84,25.27,12.51,20.11,27.84,8.2,8.94,2.74,12.18,8.18,22.72,9.74,9.19,12.01,12.6,7.33,7.25,7.95,7.15,5.25,23.67,19.91,26.82,24.54,32.64,19.08,19.9,30.07,2.28,24.16,17.95,19.01,18.01,11.05,27.08,13.86,16.44,12.99,11.72,14.24,10.7,14.86,10.78,16.05,7.28,9.52
2017-02-05,13.29,22.26,14.58,23.08,16.27,19.03,12.77,18.04,14.19,13.73,10.67,100.53,38.06,28.89,19.52,15.54,11.99,10.62,44.38,15.71,NaN,15.36,15.39,15.81,20.53,18.39,10.97,14.91,28.73,18.46,8.36,16.2,23.91,6.19,10.59,3.28,12.86,9.69,15.5,9.68,9.87,15.3,15.95,11.32,7.01,8.09,9.09,6.11,30.55,24.52,30.59,26.47,36.14,20.38,25.41,32.77,3.01,27.26,23.54,23.85,19.48,12.71,30.9,17.81,22.01,16.15,13.75,19.22,12.42,17.65,12.38,18.88,8.67,11.95
2017-02-12,16.87,23.57,17.06,32.1,25.0,34.27,20.57,16.46,21.57,27.46,18.24,102.57,51.12,38.15,23.33,23.84,17.63,19.8,79.29,21.68,3.93,20.72,16.75,32.77,32.91,31.55,20.72,24.93,31.8,30.78,16.01,27.93,31.93,6.81,18.51,3.03,16.62,10.57,21.47,18.21,12.22,21.72,18.67,11.67,8.45,7.45,10.98,6.16,34.3,25.11,33.36,27.23,39.73,20.4,25.77,37.52,2.55,20.98,26.82,25.13,15.15,11.09,28.66,18.13,22.45,20.9,16.0,20.36,15.42,19.29,13.56,22.01,11.08,13.53
2017-02-19,14.62,23.27,17.41,28.98,20.75,30.21,19.22,19.78,19.08,23.48,15.19,113.65,50.7,46.98,31.02,27.3,14.84,22.67,78.67,20.53,5.07,23.95,23.16,34.15,30.85,34.48,19.48,24.27,39.88,25.04,12.74,31.52,38.53,7.84,14.12,3.55,20.3,14.48,21.67,13.72,16.41,19.53,18.44,13.5,10.55,7.47,12.33,6.36,28.36,23.44,28.21,27.66,34.03,20.68,23.83,31.95,2.8,21.79,23.91,22.87,18.48,13.27,28.82,17.14,21.77,19.24,15.74,18.88,15.34,18.97,13.57,19.89,12.49,14.12
2017-02-26,14.25,24.54,15.12,28.56,20.6,24.65,16.13,20.57,18.47,18.47,14.15,109.95,57.23,43.95,30.99,28.78,16.29,18.06,73.32,27.52,4.31,25.87,22.16,32.01,32.72,34.6,21.39,26.12,39.42,26.72,14.89,31.21,37.07,7.0,21.11,3.09,20.34,10.35,24.27,18.36,16.09,20.3,20.84,11.77,8.5,7.21,11.02,6.25,25.97,20.87,26.32,23.07,30.29,17.4,21.72,30.61,2.75,22.49,21.75,21.35,17.56,12.31,26.57,17.21,21.25,17.16,14.46,19.23,13.29,18.18,12.42,19.06,10.52,14.57
2017-03-05,16.57,25.27,16.3,28.93,22.09,30.69,21.93,20.62,20.56,26.79,15.53,105.09,53.43,42.36,30.94,25.49,21.54,19.4,89.72,26.75,5.86,22.24,22.09,30.46,36.02,37.89,22.14,23.99,36.67,29.63,18.03,32.02,38.88,9.62,20.43,3.98,20.28,14.38,24.88,16.93,15.76,22.6,21.6,14.76,10.5,8.32,14.5,6.17,30.18,25.74,30.48,27.94,34.71,21.07,26.86,34.33,3.16,24.14,26.61,24.28,17.44,14.93,29.56,18.04,23.31,20.38,17.29,18.57,15.65,19.0,14.87,20.61,13.26,16.3
