日期,二林,南投,埔里,大里,彰化,忠明,沙鹿,竹山,線西,西屯,豐原,三重,中壢,中山,古亭,土城,基隆,士林,大同,大園,平鎮,新店,新莊,松山,板橋,林口,桃園,永和,汐止,淡水,菜寮,萬華,萬里,觀音,陽明,龍潭,三義,新竹,湖口,竹東,苗栗,頭份,冬山,宜蘭,臺東,花蓮,關山,仁武,前金,前鎮,大寮,小港,屏東,左營,復興,恆春,林園,楠梓,橋頭,潮州,美濃,鳳山,善化,嘉義,安南,崙背,斗六,新港,新營,朴子,臺南,臺西,麥寮
2016-01-01,24.61,14.72,13.63,15.83,17.7,14.5,23.49,15.4,25.07,22.1,18.95,NaN,15.98,12.06,13.79,15.32,17.79,20.44,NaN,25.23,17.61,14.16,16.66,12.82,15.11,25.57,19.54,13.95,15.38,23.35,14.15,13.25,30.17,29.79,39.01,18.53,22.9,22.02,27.01,19.75,17.24,21.08,18.22,21.08,27.26,22.2,23.41,15.21,20.62,15.68,16.68,11.42,21.58,20.03,15.44,39.87,19.44,18.28,17.85,21.48,20.84,16.2,18.73,15.49,20.36,21.31,15.53,22.8,19.47,25.99,19.35,33.15,29.53
2016-01-08,31.52,19.39,20.32,20.94,23.96,20.15,30.51,19.98,32.15,29.26,27.07,NaN,21.53,18.6,22.01,25.67,31.67,30.21,NaN,30.14,24.13,23.85,23.38,22.75,21.69,34.85,26.63,23.27,26.4,32.73,19.67,20.67,43.6,36.7,44.59,27.2,30.3,31.06,36.52,28.5,26.72,31.28,26.97,28.66,31.43,25.35,27.74,18.3,24.88,19.8,18.68,17.24,25.01,23.8,19.35,43.61,22.8,22.22,21.47,25.15,23.11,20.14,24.36,21.08,26.09,27.44,23.56,29.7,25.13,31.07,25.83,38.55,35.43
2016-01-15,27.28,15.1,22.37,14.83,18.92,15.13,25.35,17.93,28.11,23.4,21.93,NaN,21.85,15.8,20.52,22.95,30.45,27.16,NaN,29.03,24.94,21.85,22.19,19.66,20.71,33.31,26.14,20.67,23.39,30.64,17.4,17.14,42.68,35.14,44.04,25.55,26.26,27.41,34.66,24.92,22.35,25.65,26.27,25.77,28.19,20.62,22.25,16.28,22.85,18.35,18.79,16.14,23.71,20.55,17.57,44.56,23.52,19.24,18.29,26.62,23.02,17.72,19.19,16.9,20.64,22.41,19.21,24.74,19.53,26.28,19.64,36.02,31.87
2016-01-22,30.18,18.38,17.58,20.07,22.09,17.87,28.79,20.68,30.79,26.76,25.91,NaN,17.47,18.91,20.61,23.07,32.72,28.04,NaN,25.39,19.73,22.55,22.26,22.75,21.0,28.57,23.71,19.7,26.81,28.22,17.75,18.81,37.85,29.3,35.38,22.93,28.56,24.59,29.56,25.24,22.64,24.91,27.22,28.41,26.95,23.66,24.34,21.31,25.75,19.64,18.57,16.45,24.24,25.17,19.2,41.32,22.71,22.57,21.83,23.92,23.67,20.51,24.81,20.69,26.67,25.66,22.83,28.66,24.62,30.71,26.45,35.1,33.07
2016-01-29,30.32,16.17,16.23,18.88,22.09,18.39,28.3,17.02,30.27,26.81,24.59,NaN,21.38,16.9,20.48,24.3,33.3,29.56,NaN,28.26,22.45,21.58,21.34,21.33,19.78,32.54,24.94,21.3,28.52,31.02,20.97,18.17,41.98,36.14,41.52,26.0,26.01,30.19,35.9,25.97,22.18,28.97,28.92,27.26,29.24,24.18,27.79,17.65,20.38,15.18,15.82,13.94,19.79,19.48,15.71,42.8,18.12,17.96,16.22,22.21,17.95,15.68,21.55,17.67,22.02,25.92,20.27,27.98,22.49,28.77,21.52,35.32,32.86
2016-02-05,43.9,32.55,29.43,35.4,37.83,36.04,42.6,36.88,44.69,40.44,45.09,NaN,29.96,27.23,29.68,28.76,41.58,38.17,NaN,36.89,33.9,29.54,32.3,32.18,29.94,46.88,35.72,23.67,34.96,34.9,30.77,26.89,48.62,45.07,51.7,36.49,46.42,38.62,44.87,38.75,36.13,40.08,39.35,41.05,37.38,37.63,34.31,37.87,39.67,34.19,35.59,32.63,37.67,39.52,33.11,51.92,40.15,38.21,36.97,37.77,37.55,35.14,38.07,37.58,38.9,38.68,40.31,44.51,39.84,45.54,39.89,46.55,47.73
2016-02-12,24.58,17.21,19.33,17.63,20.5,19.09,24.43,17.77,25.05,23.17,21.99,NaN,19.76,17.67,23.35,24.57,24.8,27.8,NaN,23.25,22.1,23.28,22.67,19.96,21.38,28.95,24.8,22.67,21.8,21.99,21.87,18.24,34.31,26.3,38.45,25.02,25.14,25.2,30.75,23.89,21.13,25.15,26.84,28.07,27.2,24.46,24.49,17.63,19.27,15.34,16.28,12.63,18.82,18.18,14.75,39.73,18.0,17.79,17.93,21.34,20.37,14.7,17.95,16.8,18.13,21.1,19.79,22.39,18.86,23.2,18.96,29.54,25.65
2016-02-19,33.32,21.35,26.34,21.97,25.49,24.51,31.41,22.46,33.29,30.6,26.55,NaN,27.33,23.15,31.09,32.71,40.77,38.35,NaN,32.15,28.52,29.59,32.13,29.37,29.69,42.17,33.28,27.42,33.34,39.5,31.07,25.91,47.93,38.53,47.37,32.66,31.25,35.29,39.61,31.61,29.26,33.99,34.68,35.67,36.05,35.93,33.31,28.15,31.57,25.75,24.51,21.44,30.69,30.69,25.69,49.89,31.6,28.64,26.5,32.55,30.97,23.73,27.72,24.59,29.56,32.24,26.9,32.63,29.07,34.09,29.8,40.94,35.12
2016-02-26,36.84,24.41,30.7,24.46,29.28,27.63,32.94,29.39,36.01,32.59,33.78,NaN,29.3,25.94,34.03,33.44,38.23,35.51,NaN,28.17,33.61,30.98,33.11,29.52,30.7,43.89,36.89,30.61,30.59,34.3,30.18,28.19,48.32,36.51,51.55,36.17,38.05,34.64,41.94,34.94,28.51,34.11,34.82,34.82,38.11,35.03,35.2,33.94,38.67,32.54,33.91,27.25,36.68,37.54,31.92,52.82,38.77,35.08,30.24,42.17,37.72,30.7,32.03,30.41,35.45,36.09,30.89,35.41,33.51,39.79,35.03,48.24,44.54
2016-03-04,28.38,20.96,25.13,21.97,23.06,22.17,27.13,23.49,29.39,26.12,28.41,NaN,17.12,14.97,21.37,20.96,22.36,21.84,NaN,20.86,21.63,20.13,17.81,19.98,18.35,26.58,18.35,17.52,23.02,23.26,18.03,17.54,31.5,29.76,43.88,22.93,30.6,22.76,28.91,23.47,20.25,24.43,25.47,28.71,23.5,26.5,21.56,26.17,30.21,23.72,26.78,19.06,28.93,29.39,23.39,37.83,33.25,24.19,22.9,38.64,31.98,24.53,22.46,22.44,23.3,28.72,25.23,26.66,23.3,29.51,24.26,34.25,30.96
