region,year,week,case_c,pop_total,case_per_capita(‰),NO2,NOX,NO,O3,PM10,PM25,SO2
北北基桃竹,2016,1,749,713535,1.05,20.67,34.98,14.4,19.54,46.31,24.44,3.19
北北基桃竹,2016,2,4416,738772,5.98,17.05,24.36,7.35,28.43,38.04,20.39,2.63
北北基桃竹,2016,3,4250,740383,5.74,18.51,26.79,8.34,26.27,40.25,22.23,2.43
北北基桃竹,2016,4,4211,741051,5.68,17.46,30.85,13.41,25.22,34.89,16.37,2.82
北北基桃竹,2016,5,4647,739507,6.28,16.4,25.09,8.76,27.23,22.41,9.15,2.09
北北基桃竹,2016,6,6182,741051,8.34,17.41,23.98,6.6,36.53,55.8,30.73,2.96
北北基桃竹,2016,7,1816,725401,2.5,16.92,25.28,8.34,24.57,32.68,17.0,2.26
北北基桃竹,2016,8,5016,741051,6.77,15.88,22.57,6.73,34.17,52.45,20.56,2.03
北北基桃竹,2016,9,4617,738385,6.25,18.69,25.82,7.12,34.95,41.35,18.85,2.32
北北基桃竹,2016,10,4535,738279,6.14,22.26,34.52,12.22,22.72,44.32,24.21,3.18
北北基桃竹,2016,11,4252,737148,5.77,23.05,37.3,14.26,26.71,35.4,18.53,2.36
北北基桃竹,2016,12,4293,738126,5.82,21.33,36.47,15.17,31.44,45.52,23.54,2.44
北北基桃竹,2016,13,3897,735328,5.3,24.34,32.75,8.41,38.91,60.83,32.54,3.39
北北基桃竹,2016,14,4744,739559,6.41,22.24,30.74,8.51,26.93,63.51,38.38,3.74
北北基桃竹,2016,15,3762,739147,5.09,20.08,27.16,7.16,25.64,39.27,22.04,3.2
北北基桃竹,2016,16,4064,737039,5.51,20.38,29.5,9.21,31.9,42.9,21.14,3.01
北北基桃竹,2016,17,4057,739064,5.49,16.86,23.7,6.89,28.36,46.58,25.62,3.33
北北基桃竹,2016,18,4062,734238,5.53,19.06,24.89,5.84,40.27,61.0,33.94,3.52
北北基桃竹,2016,19,3670,736305,4.98,16.51,23.29,6.72,28.88,39.17,19.32,3.43
北北基桃竹,2016,20,3773,735651,5.13,14.08,18.68,4.64,35.51,33.84,15.37,2.51
北北基桃竹,2016,21,3796,737492,5.15,18.29,25.25,6.98,23.88,37.42,20.51,3.96
北北基桃竹,2016,22,3726,737012,5.06,13.88,20.6,6.76,22.19,32.99,13.91,3.14
北北基桃竹,2016,23,3398,734449,4.63,14.77,21.58,6.78,25.24,31.64,14.18,3.04
北北基桃竹,2016,24,3128,735384,4.25,13.01,22.57,9.58,17.87,24.42,8.5,2.38
北北基桃竹,2016,25,3605,738178,4.88,14.56,21.34,6.8,22.91,29.06,12.24,3.36
北北基桃竹,2016,26,3476,737682,4.71,14.97,21.6,6.68,24.66,29.66,13.51,3.43
北北基桃竹,2016,27,3296,735220,4.48,11.69,18.31,6.66,19.53,25.83,9.96,2.76
北北基桃竹,2016,28,2975,739416,4.02,12.65,18.75,6.18,21.59,26.03,9.77,2.58
北北基桃竹,2016,29,3585,736931,4.86,13.88,21.29,7.43,20.86,32.46,13.79,2.78
北北基桃竹,2016,30,3381,737173,4.59,14.79,20.3,5.51,30.88,36.52,20.16,3.9
北北基桃竹,2016,31,3322,733970,4.53,12.6,17.81,5.13,27.11,30.15,13.98,3.07
北北基桃竹,2016,32,3295,737081,4.47,12.74,18.83,6.07,21.99,25.47,11.04,3.13
北北基桃竹,2016,33,3288,736712,4.46,12.43,18.01,5.6,24.68,24.07,9.93,2.73
北北基桃竹,2016,34,3356,734499,4.57,13.18,18.86,5.67,26.49,34.73,16.13,3.26
北北基桃竹,2016,35,3407,738714,4.61,15.98,20.48,4.58,45.67,45.27,23.17,3.27
北北基桃竹,2016,36,3497,734602,4.76,14.75,21.29,6.59,22.72,27.73,13.24,2.99
北北基桃竹,2016,37,3386,737760,4.59,12.37,19.6,7.22,20.26,25.1,9.94,2.5
北北基桃竹,2016,38,2814,729341,3.86,11.27,16.81,5.56,29.73,32.93,12.07,2.26
北北基桃竹,2016,39,3799,737075,5.15,10.24,14.92,4.73,26.23,31.37,13.49,2.37
北北基桃竹,2016,40,2818,729601,3.86,11.6,18.93,7.28,20.38,29.26,12.58,2.57
北北基桃竹,2016,41,3883,738447,5.26,12.55,19.91,7.42,27.74,22.34,8.1,2.16
北北基桃竹,2016,42,3537,732181,4.83,9.32,15.37,6.04,20.84,27.16,11.05,2.32
北北基桃竹,2016,43,3640,736292,4.94,17.42,24.25,6.82,27.9,43.67,21.68,3.83
北北基桃竹,2016,44,3680,738447,4.98,12.02,16.53,4.62,35.19,36.06,13.67,2.65
北北基桃竹,2016,45,4282,739154,5.79,16.72,23.58,6.87,29.1,35.28,15.89,2.87
北北基桃竹,2016,46,4252,737667,5.76,18.67,25.8,7.14,31.72,46.29,21.34,3.39
北北基桃竹,2016,47,4209,738178,5.7,18.14,27.12,9.0,23.1,28.6,12.23,3.15
