region,year,week,case_c,pop_total,case_per_capita(‰),NO2,NOX,NO,O3,PM10,PM25,SO2
北北基桃竹,2016,1,104,404045,0.26,21.45,36.22,14.84,18.95,48.41,25.45,3.22
北北基桃竹,2016,2,741,649110,1.14,18.03,25.6,7.58,27.32,39.07,20.88,2.74
北北基桃竹,2016,3,821,658154,1.25,19.53,28.14,8.69,25.08,41.48,22.89,2.51
北北基桃竹,2016,4,967,661376,1.46,18.59,32.54,13.98,24.12,35.86,16.98,2.94
北北基桃竹,2016,5,1273,669257,1.9,17.46,26.43,9.04,26.0,23.42,9.76,2.16
北北基桃竹,2016,6,1842,669519,2.75,18.25,25.11,6.86,35.61,57.42,31.61,2.96
北北基桃竹,2016,7,1596,669109,2.39,17.52,26.02,8.47,23.91,33.75,17.49,2.3
北北基桃竹,2016,8,2485,675661,3.68,16.84,23.8,7.02,32.92,53.13,21.27,2.05
北北基桃竹,2016,9,2351,678340,3.47,19.77,27.15,7.36,34.1,43.39,19.79,2.38
北北基桃竹,2016,10,2308,676050,3.41,23.01,35.59,12.57,22.05,46.32,25.37,3.19
北北基桃竹,2016,11,2060,673206,3.06,24.05,38.66,14.62,25.41,36.63,19.17,2.37
北北基桃竹,2016,12,1786,677846,2.63,22.15,37.69,15.57,30.21,46.85,24.2,2.53
北北基桃竹,2016,13,1542,675682,2.28,25.37,34.1,8.71,37.96,62.81,33.19,3.42
北北基桃竹,2016,14,1498,671421,2.23,22.7,31.29,8.61,26.14,65.44,38.8,3.76
北北基桃竹,2016,15,1112,660418,1.68,20.98,28.38,7.52,24.45,41.08,22.83,3.25
北北基桃竹,2016,16,962,663420,1.45,21.08,30.47,9.5,30.69,44.43,21.63,3.07
北北基桃竹,2016,17,841,655190,1.28,17.4,24.42,7.06,27.61,48.03,25.96,3.37
北北基桃竹,2016,18,757,659616,1.15,19.63,25.68,6.07,39.43,62.4,34.15,3.59
北北基桃竹,2016,19,514,615096,0.84,17.03,24.09,7.01,28.07,40.4,19.41,3.49
北北基桃竹,2016,20,452,637732,0.71,14.88,19.68,4.81,34.84,35.13,15.89,2.61
北北基桃竹,2016,21,410,595537,0.69,19.27,26.54,7.33,23.31,39.04,21.18,4.11
北北基桃竹,2016,22,305,580615,0.53,14.09,21.02,6.97,21.65,33.85,13.86,3.1
北北基桃竹,2016,23,313,612994,0.51,15.03,22.01,6.97,24.93,32.44,14.18,3.03
北北基桃竹,2016,24,260,585622,0.44,13.14,22.91,9.82,17.79,25.16,8.39,2.43
北北基桃竹,2016,25,253,559322,0.45,14.54,21.53,7.01,22.14,29.69,11.94,3.34
北北基桃竹,2016,26,220,558968,0.39,14.98,21.86,6.91,23.83,30.35,13.14,3.38
北北基桃竹,2016,27,227,546145,0.42,12.02,18.88,6.91,19.63,27.17,10.17,2.74
北北基桃竹,2016,28,209,537674,0.39,12.94,19.24,6.4,21.27,26.71,9.59,2.59
北北基桃竹,2016,29,231,533708,0.43,13.85,21.48,7.64,20.0,33.17,13.5,2.75
北北基桃竹,2016,30,214,535386,0.4,15.01,20.75,5.71,29.82,37.53,20.01,3.96
北北基桃竹,2016,31,227,575486,0.39,13.01,18.38,5.29,27.08,31.87,14.24,3.06
北北基桃竹,2016,32,212,559270,0.38,13.23,19.54,6.27,22.03,26.9,11.33,3.17
北北基桃竹,2016,33,246,533281,0.46,13.09,18.89,5.83,24.48,25.9,10.43,2.8
北北基桃竹,2016,34,255,539549,0.47,13.64,19.48,5.85,26.22,36.41,16.24,3.3
北北基桃竹,2016,35,244,547454,0.45,16.62,21.28,4.73,44.95,46.55,23.43,3.32
北北基桃竹,2016,36,246,549351,0.45,15.23,22.02,6.82,22.08,28.5,13.31,2.96
北北基桃竹,2016,37,259,568480,0.46,12.94,20.46,7.51,19.74,26.01,10.28,2.55
北北基桃竹,2016,38,235,557621,0.42,11.95,17.69,5.76,29.29,33.49,12.5,2.31
北北基桃竹,2016,39,300,590895,0.51,10.98,15.86,4.92,25.66,32.13,13.67,2.45
北北基桃竹,2016,40,244,516114,0.47,12.41,20.07,7.58,20.34,30.83,13.18,2.64
北北基桃竹,2016,41,295,589426,0.5,13.21,20.86,7.7,26.93,23.08,8.55,2.25
北北基桃竹,2016,42,317,608135,0.52,10.07,16.36,6.31,21.47,29.05,12.17,2.38
北北基桃竹,2016,43,427,605776,0.7,17.89,24.91,6.99,27.4,45.2,22.09,3.82
北北基桃竹,2016,44,513,628580,0.82,12.96,17.72,4.84,34.38,37.55,14.35,2.83
北北基桃竹,2016,45,579,617550,0.94,17.52,24.51,7.01,28.89,37.15,16.87,3.0
北北基桃竹,2016,46,557,616036,0.9,19.64,26.97,7.37,31.35,49.06,22.62,3.52
北北基桃竹,2016,47,645,636251,1.01,19.13,28.4,9.32,22.45,30.58,13.25,3.3
北北基桃竹,2016,48,598,625874,0.96,14.57,20.41,5.87,29.0,38.22,14.02,2.24
北北基桃竹,2016,49,663,646486,1.03,15.31,20.47,5.17,30.87,43.34,17.46,2.97
北北基桃竹,2016,50,611,642175,0.95,16.09,22.52,6.42,31.49,41.46,17.3,2.49
北北基桃竹,2016,51,625,626634,1.0,19.53,29.55,10.0,25.74,41.39,19.29,2.89
北北基桃竹,2016,52,620,620142,1.0,15.39,21.33,6.02,31.09,41.79,18.27,2.34
北北基桃竹,2017,1,559,638281,0.88,19.54,28.1,8.56,23.84,45.98,23.25,3.02
北北基桃竹,2017,2,548,636260,0.86,16.04,21.7,5.69,30.59,40.45,21.1,2.99
北北基桃竹,2017,3,554,635595,0.87,16.09,23.17,7.09,28.22,33.15,13.26,2.3
北北基桃竹,2017,4,569,619002,0.92,13.72,18.9,5.16,36.22,38.46,16.72,2.29
北北基桃竹,2017,5,496,620568,0.8,14.6,20.81,6.19,28.85,36.97,18.0,2.29
北北基桃竹,2017,6,560,633712,0.88,14.0,19.29,5.31,36.42,50.79,25.57,2.52
北北基桃竹,2017,7,512,639405,0.8,19.17,26.71,7.52,35.7,43.9,21.66,2.66
北北基桃竹,2017,8,480,613141,0.78,19.51,28.21,8.68,28.42,36.02,18.38,2.22
北北基桃竹,2017,9,459,618871,0.74,20.84,29.25,8.38,34.53,50.97,24.68,2.92
北北基桃竹,2017,10,464,602822,0.77,21.94,29.46,7.52,37.39,45.52,24.09,2.72
北北基桃竹,2017,11,483,644981,0.75,18.53,24.93,6.46,34.6,38.94,18.34,2.41
北北基桃竹,2017,12,493,627899,0.79,18.31,25.13,6.89,36.03,33.32,15.66,2.8
北北基桃竹,2017,13,551,641665,0.86,21.55,28.25,6.73,42.24,67.76,32.79,3.17
北北基桃竹,2017,14,435,626666,0.69,20.62,27.57,7.0,40.82,53.53,29.0,3.22
北北基桃竹,2017,15,423,602915,0.7,20.6,28.62,7.98,29.79,44.17,21.79,3.21
北北基桃竹,2017,16,392,594584,0.66,17.49,25.48,8.09,26.0,44.83,23.01,2.8
北北基桃竹,2017,17,457,621656,0.74,20.78,28.18,7.47,39.64,43.88,19.24,2.92
北北基桃竹,2017,18,467,642884,0.73,18.86,25.26,6.45,32.59,46.3,25.14,3.71
北北基桃竹,2017,19,516,640187,0.81,17.35,23.48,6.24,29.93,48.92,19.89,3.31
北北基桃竹,2017,20,640,642148,1.0,15.42,19.76,4.39,38.22,29.28,13.74,2.85
北北基桃竹,2017,21,704,657470,1.07,15.14,20.2,5.04,31.96,30.0,13.02,2.95
北北基桃竹,2017,22,792,656483,1.21,13.75,19.41,5.73,28.28,24.42,11.03,2.34
北北基桃竹,2017,23,982,654414,1.5,15.85,22.46,6.65,24.6,36.39,19.0,3.36
北北基桃竹,2017,24,1178,673015,1.75,15.99,24.29,8.34,22.31,21.64,8.91,2.45
北北基桃竹,2017,25,1733,672715,2.58,14.56,25.42,10.9,16.74,25.4,10.8,2.97
北北基桃竹,2017,26,2025,677842,2.99,13.94,20.35,6.4,23.23,30.64,14.21,3.28
北北基桃竹,2017,27,1926,674057,2.86,14.29,21.96,7.68,18.6,24.73,9.71,2.78
北北基桃竹,2017,28,1806,677037,2.67,14.62,21.9,7.29,20.08,29.23,13.08,3.24
北北基桃竹,2017,29,1500,666566,2.25,12.81,18.81,6.13,23.33,30.62,14.35,3.28
北北基桃竹,2017,30,1131,653881,1.73,12.7,18.4,5.71,24.28,30.32,15.21,3.16
北北基桃竹,2017,31,922,663733,1.39,15.22,22.09,7.0,23.01,32.31,14.18,2.94
北北基桃竹,2017,32,685,621786,1.1,12.01,18.53,6.49,21.91,32.97,14.18,2.76
北北基桃竹,2017,33,469,621273,0.75,14.16,20.28,6.15,24.9,32.66,17.45,3.7
北北基桃竹,2017,34,432,609896,0.71,11.77,17.69,5.89,22.77,27.5,12.69,2.78
北北基桃竹,2017,35,352,605956,0.58,10.89,16.07,5.24,24.43,24.4,10.39,2.57
北北基桃竹,2017,36,348,594460,0.59,15.08,21.64,6.59,23.99,31.9,15.68,3.31
北北基桃竹,2017,37,335,601719,0.56,15.33,22.21,6.87,28.3,35.83,15.93,3.11
北北基桃竹,2017,38,343,594877,0.58,17.52,22.17,4.75,41.75,46.49,25.42,4.34
北北基桃竹,2017,39,295,561552,0.53,15.69,21.37,5.67,30.26,36.88,19.03,3.5
北北基桃竹,2017,40,342,602586,0.57,13.07,17.41,4.31,34.72,39.04,18.77,3.17
北北基桃竹,2017,41,295,580313,0.51,8.95,14.15,5.22,21.55,23.07,8.81,2.24
北北基桃竹,2017,42,331,614873,0.54,13.2,21.38,8.12,28.13,27.09,10.64,2.12
北北基桃竹,2017,43,343,591234,0.58,16.36,21.8,5.53,45.28,47.26,21.34,2.32
北北基桃竹,2017,44,375,605862,0.62,14.99,20.8,5.95,36.52,39.57,16.15,2.34
北北基桃竹,2017,45,406,633190,0.64,13.9,18.98,5.09,33.33,34.51,15.71,2.4
北北基桃竹,2017,46,366,588385,0.62,16.78,23.43,6.65,25.62,30.05,14.37,2.84
北北基桃竹,2017,47,444,620149,0.72,15.13,21.89,6.75,27.24,25.08,10.06,2.24
北北基桃竹,2017,48,505,618997,0.82,14.67,21.39,6.71,28.5,29.75,13.33,2.28
北北基桃竹,2017,49,561,624969,0.9,16.49,23.07,6.75,30.82,37.46,17.37,2.57
北北基桃竹,2017,50,686,642972,1.07,15.42,22.53,7.17,29.63,30.04,13.22,2.56
北北基桃竹,2017,51,899,657129,1.37,16.21,23.12,6.94,30.84,35.96,16.81,2.7
北北基桃竹,2017,52,1169,664176,1.76,15.37,20.4,5.05,34.04,52.06,24.89,2.76
北北基桃竹,2018,1,1190,723735,1.64,15.59,22.09,6.47,27.54,32.0,13.44,2.28
北北基桃竹,2018,2,1318,731042,1.8,16.78,25.31,8.58,26.96,29.95,12.63,2.39
