region,year,week,case_c,pop_total,case_per_capita(‰),NO2,NOX,NO,O3,PM10,PM25,SO2
北北基桃竹,2016,1,7176,679982,10.55,21.45,36.22,14.84,18.95,48.41,25.45,3.22
北北基桃竹,2016,2,30329,682069,44.47,18.03,25.6,7.58,27.32,39.07,20.88,2.74
北北基桃竹,2016,3,30120,682069,44.16,19.53,28.14,8.69,25.08,41.48,22.89,2.51
北北基桃竹,2016,4,30202,682069,44.28,18.59,32.54,13.98,24.12,35.86,16.98,2.94
北北基桃竹,2016,5,35720,682069,52.37,17.46,26.43,9.04,26.0,23.42,9.76,2.16
北北基桃竹,2016,6,45597,682069,66.85,18.25,25.11,6.86,35.61,57.42,31.61,2.96
北北基桃竹,2016,7,22591,682069,33.12,17.52,26.02,8.47,23.91,33.75,17.49,2.3
北北基桃竹,2016,8,45975,681922,67.42,16.84,23.8,7.02,32.92,53.13,21.27,2.05
北北基桃竹,2016,9,41566,682069,60.94,19.77,27.15,7.36,34.1,43.39,19.79,2.38
北北基桃竹,2016,10,40370,682069,59.19,23.01,35.59,12.57,22.05,46.32,25.37,3.19
北北基桃竹,2016,11,36664,682069,53.75,24.05,38.66,14.62,25.41,36.63,19.17,2.37
北北基桃竹,2016,12,34105,682069,50.0,22.15,37.69,15.57,30.21,46.85,24.2,2.53
北北基桃竹,2016,13,32076,682069,47.03,25.37,34.1,8.71,37.96,62.81,33.19,3.42
北北基桃竹,2016,14,35413,682069,51.92,22.7,31.29,8.61,26.14,65.44,38.8,3.76
北北基桃竹,2016,15,28345,681922,41.57,20.98,28.38,7.52,24.45,41.08,22.83,3.25
北北基桃竹,2016,16,28089,682069,41.18,21.08,30.47,9.5,30.69,44.43,21.63,3.07
北北基桃竹,2016,17,26487,681734,38.85,17.4,24.42,7.06,27.61,48.03,25.96,3.37
北北基桃竹,2016,18,26038,682069,38.18,19.63,25.68,6.07,39.43,62.4,34.15,3.59
北北基桃竹,2016,19,24910,681922,36.53,17.03,24.09,7.01,28.07,40.4,19.41,3.49
北北基桃竹,2016,20,24232,681626,35.55,14.88,19.68,4.81,34.84,35.13,15.89,2.61
北北基桃竹,2016,21,24487,682069,35.9,19.27,26.54,7.33,23.31,39.04,21.18,4.11
北北基桃竹,2016,22,21856,681922,32.05,14.09,21.02,6.97,21.65,33.85,13.86,3.1
