ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2015-01-01,裹て,程,27.0,2.2,1.51,0.82,24.0,54.0,65.0,56.0,166.0,120.0,NaN,87.0,11.0,2.8,358.0,360.0,5.0,3.3
2015-01-08,裹て,程,23.0,2.3,1.47,0.76,55.0,38.0,88.0,66.0,138.0,80.0,NaN,89.0,19.0,3.0,359.0,355.0,5.0,3.1
2015-01-15,裹て,程,22.0,2.2,1.67,0.81,42.0,34.0,76.0,79.0,125.0,80.0,NaN,88.0,9.7,3.0,360.0,355.0,4.3,2.8
2015-01-22,裹て,程,22.0,2.3,2.08,0.91,28.0,62.0,81.0,74.0,149.0,90.0,NaN,91.0,14.0,3.1,360.0,358.0,4.4,2.5
2015-01-29,裹て,程,21.0,2.1,1.12,0.66,31.0,31.0,58.0,47.0,88.0,42.0,NaN,86.0,8.5,2.7,358.0,360.0,5.0,3.1
2015-02-05,裹て,程,21.0,2.2,1.41,0.72,32.0,38.0,57.0,60.0,170.0,97.0,NaN,82.0,9.7,2.8,356.0,359.0,7.0,4.5
2015-02-12,裹て,程,25.0,2.4,1.67,0.75,42.0,55.0,84.0,92.0,145.0,104.0,NaN,90.0,17.0,3.0,360.0,359.0,4.6,2.6
2015-02-19,裹て,程,27.0,2.3,1.18,0.52,17.0,30.0,47.0,70.0,110.0,58.0,NaN,89.0,11.0,2.7,359.0,359.0,4.1,2.0
2015-02-26,裹て,程,29.0,2.3,1.83,0.79,21.0,40.0,55.0,89.0,104.0,69.0,NaN,86.0,13.0,2.9,359.0,359.0,4.8,3.0
2015-03-05,裹て,程,24.0,2.4,0.95,0.45,14.0,36.0,47.0,52.0,72.0,41.0,NaN,87.0,9.8,2.8,357.0,359.0,4.9,2.8
2015-03-12,裹て,程,31.0,2.5,1.57,0.62,46.0,42.0,74.0,81.0,125.0,65.0,NaN,89.0,16.0,3.0,360.0,357.0,4.3,3.5
2015-03-19,裹て,程,32.0,2.2,1.25,0.46,14.0,39.0,46.0,80.0,190.0,84.0,NaN,87.0,19.0,2.6,360.0,360.0,5.9,3.3
2015-03-26,裹て,程,31.0,2.4,1.62,0.67,18.0,45.0,61.0,110.0,107.0,66.0,NaN,89.0,17.0,3.0,359.0,360.0,4.1,3.0
2015-04-02,裹て,程,32.0,2.1,0.7,0.28,8.6,26.0,28.0,60.0,69.0,34.0,NaN,86.0,12.0,2.3,352.0,359.0,6.3,3.3
2015-04-09,裹て,程,26.0,2.1,0.97,0.39,15.0,35.0,41.0,108.0,86.0,49.0,NaN,90.0,13.0,2.4,360.0,359.0,4.9,2.7
2015-04-16,裹て,程,33.0,2.1,0.87,0.51,7.1,32.0,37.0,96.0,96.0,51.0,NaN,88.0,15.0,2.5,360.0,360.0,4.8,4.3
2015-04-23,裹て,程,31.0,2.1,1.03,0.38,19.0,34.0,49.0,80.0,95.0,75.0,NaN,86.0,39.0,2.3,359.0,358.0,4.7,2.7
2015-04-30,裹て,程,33.0,2.2,1.16,0.68,8.8,46.0,52.0,69.0,103.0,57.0,NaN,88.0,20.0,2.6,358.0,360.0,4.8,3.9
2015-05-07,裹て,程,33.0,2.4,1.0,0.6,12.0,43.0,49.0,94.0,86.0,55.0,NaN,91.0,19.0,3.0,358.0,358.0,4.2,2.6
2015-05-14,裹て,程,33.0,2.0,0.72,0.37,10.0,25.0,33.0,49.0,55.0,28.0,NaN,91.0,19.0,2.2,269.0,277.0,4.7,3.9
2015-05-21,裹て,程,29.0,2.2,0.92,0.58,16.0,37.0,46.0,63.0,74.0,46.0,40.0,93.0,17.0,2.7,360.0,358.0,3.3,2.4
2015-05-28,裹て,程,34.0,2.0,1.3,0.46,10.0,18.0,26.0,39.0,47.0,20.0,24.0,91.0,8.9,2.3,266.0,286.0,4.2,3.6
2015-06-04,裹て,程,34.0,2.0,0.7,0.47,7.7,18.0,24.0,55.0,50.0,26.0,NaN,88.0,10.0,2.4,352.0,328.0,3.7,3.2
2015-06-11,裹て,程,35.0,1.9,0.41,0.35,5.4,14.0,16.0,41.0,54.0,30.0,NaN,82.0,17.0,2.2,265.0,271.0,4.3,3.7
2015-06-18,裹て,程,34.0,2.0,1.0,0.55,5.2,26.0,30.0,57.0,75.0,52.0,NaN,88.0,17.0,2.4,358.0,356.0,4.6,4.2
2015-06-25,裹て,程,35.0,1.9,0.54,0.37,5.8,16.0,17.0,55.0,89.0,72.0,NaN,82.0,7.1,2.2,262.0,263.0,5.1,4.7
2015-07-02,裹て,程,34.0,2.0,0.82,0.35,13.0,26.0,35.0,59.0,212.0,43.0,NaN,90.0,22.0,2.4,360.0,354.0,5.0,4.2
2015-07-09,裹て,程,34.0,2.1,0.66,0.33,8.2,25.0,30.0,73.0,65.0,41.0,NaN,90.0,16.0,2.4,358.0,354.0,8.6,5.0
2015-07-16,裹て,程,35.0,2.1,0.72,0.31,25.0,33.0,58.0,75.0,77.0,61.0,NaN,89.0,33.0,2.3,358.0,358.0,6.4,6.0
2015-07-23,裹て,程,34.0,2.0,0.45,0.36,6.3,18.0,20.0,59.0,47.0,24.0,NaN,83.0,9.9,2.2,266.0,288.0,5.1,4.8
2015-07-30,裹て,程,33.0,2.0,0.77,0.29,23.0,22.0,44.0,67.0,50.0,38.0,NaN,81.0,23.0,2.2,352.0,356.0,3.9,2.6
2015-08-06,裹て,程,34.0,2.0,0.63,0.28,12.0,19.0,25.0,85.0,147.0,55.0,NaN,92.0,11.0,2.2,359.0,347.0,13.0,11.0
2015-08-13,裹て,程,32.0,2.2,0.89,0.51,6.2,23.0,25.0,61.0,60.0,37.0,26.0,92.0,12.0,2.5,327.0,356.0,4.7,4.3
2015-08-20,裹て,程,35.0,2.3,1.27,0.44,5.3,26.0,28.0,103.0,108.0,72.0,NaN,91.0,69.0,2.7,357.0,359.0,5.9,2.9
2015-08-27,裹て,程,32.0,2.1,1.63,0.91,26.0,28.0,44.0,51.0,59.0,41.0,9.2,92.0,9.0,3.0,351.0,359.0,4.1,3.8
2015-09-03,裹て,程,33.0,2.1,1.06,0.53,33.0,28.0,51.0,86.0,86.0,39.0,NaN,92.0,34.0,2.5,357.0,358.0,4.8,3.9
2015-09-10,裹て,程,32.0,2.1,0.92,0.46,11.0,30.0,40.0,111.0,95.0,48.0,NaN,82.0,23.0,2.5,359.0,356.0,5.1,2.4
2015-09-17,裹て,程,32.0,2.1,0.87,0.41,9.3,37.0,39.0,124.0,87.0,57.0,NaN,84.0,15.0,2.5,356.0,357.0,4.9,2.3
2015-09-24,裹て,程,32.0,2.3,0.87,0.43,22.0,36.0,38.0,83.0,78.0,64.0,NaN,92.0,21.0,2.8,360.0,352.0,13.0,11.0
2015-10-01,裹て,程,32.0,2.1,0.91,0.52,6.9,28.0,28.0,99.0,104.0,65.0,NaN,89.0,17.0,2.5,359.0,360.0,4.5,3.0
2015-10-08,裹て,程,30.0,2.0,0.86,0.3,7.2,32.0,38.0,94.0,111.0,57.0,NaN,91.0,12.0,2.2,360.0,360.0,5.0,3.2
2015-10-15,裹て,程,30.0,2.2,1.29,0.87,30.0,41.0,55.0,93.0,132.0,106.0,NaN,88.0,9.0,2.8,359.0,359.0,4.9,2.2
2015-10-22,裹て,程,30.0,2.1,1.29,0.49,25.0,35.0,48.0,105.0,119.0,84.0,NaN,88.0,26.0,2.5,358.0,360.0,5.1,2.1
2015-10-29,裹て,程,29.0,2.2,1.1,0.64,15.0,33.0,44.0,88.0,137.0,72.0,NaN,88.0,15.0,2.6,358.0,360.0,5.2,2.2
2015-11-05,裹て,程,31.0,2.2,1.08,0.51,17.0,30.0,47.0,78.0,140.0,98.0,NaN,90.0,58.0,2.6,357.0,360.0,4.7,2.3
2015-11-12,裹て,程,32.0,2.3,1.3,0.58,22.0,51.0,54.0,96.0,143.0,101.0,NaN,87.0,17.0,2.7,358.0,357.0,3.8,2.4
2015-11-19,裹て,程,28.0,2.1,1.58,0.77,43.0,47.0,80.0,65.0,113.0,85.0,NaN,88.0,8.9,2.9,359.0,358.0,6.3,4.5
2015-11-26,裹て,程,27.0,2.2,1.31,0.64,39.0,42.0,65.0,85.0,103.0,73.0,NaN,84.0,8.4,2.7,359.0,358.0,6.7,4.9
2015-12-03,裹て,程,25.0,2.1,1.16,0.68,30.0,33.0,59.0,55.0,101.0,68.0,NaN,91.0,12.0,2.7,360.0,354.0,5.6,3.2
2015-12-10,裹て,程,25.0,2.1,1.09,0.43,22.0,35.0,44.0,58.0,126.0,89.0,NaN,92.0,11.0,2.6,359.0,356.0,6.7,4.1
2015-12-17,裹て,程,28.0,2.2,1.51,0.65,50.0,42.0,76.0,56.0,121.0,66.0,NaN,93.0,16.0,2.7,360.0,360.0,6.6,4.1
2015-12-24,裹て,程,27.0,2.3,1.28,0.72,35.0,35.0,61.0,57.0,97.0,65.0,NaN,89.0,11.0,3.0,360.0,359.0,5.8,4.1
