ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2015-01-01,い胏,程,23.0,2.8,5.98,2.89,185.0,73.0,258.0,49.0,205.0,91.0,NaN,87.0,14.0,5.4,328.0,353.0,2.9,1.3
2015-01-08,い胏,程,24.0,2.2,2.82,1.15,70.0,73.0,143.0,71.0,113.0,50.0,NaN,90.0,7.6,3.2,293.0,272.0,3.6,2.0
2015-01-15,い胏,程,22.0,2.3,2.52,1.06,80.0,58.0,126.0,48.0,150.0,79.0,NaN,89.0,11.0,3.3,271.0,351.0,3.4,1.2
2015-01-22,い胏,程,22.0,2.7,4.38,1.87,156.0,71.0,207.0,55.0,170.0,120.0,NaN,90.0,14.0,4.3,356.0,357.0,2.7,1.6
2015-01-29,い胏,程,22.0,2.3,3.4,1.17,94.0,41.0,135.0,33.0,94.0,55.0,NaN,90.0,6.9,3.4,267.0,324.0,3.2,1.0
2015-02-05,い胏,程,19.0,2.8,3.89,1.52,133.0,54.0,171.0,51.0,171.0,113.0,NaN,85.0,11.0,4.1,304.0,348.0,2.7,1.0
2015-02-12,い胏,程,24.0,2.5,3.95,1.57,92.0,85.0,150.0,66.0,162.0,56.0,NaN,89.0,13.0,3.9,350.0,343.0,2.4,2.0
2015-02-19,い胏,程,25.0,2.8,3.11,1.84,108.0,53.0,154.0,63.0,138.0,55.0,NaN,93.0,8.1,4.5,358.0,333.0,2.7,1.4
2015-02-26,い胏,程,23.0,3.1,4.55,1.89,128.0,47.0,165.0,60.0,129.0,74.0,0.6,91.0,7.5,4.5,320.0,351.0,3.0,1.1
2015-03-05,い胏,程,21.0,2.4,2.1,0.92,48.0,48.0,93.0,50.0,101.0,38.0,5.2,92.0,7.4,3.1,347.0,357.0,3.2,1.8
2015-03-12,い胏,程,28.0,3.1,4.18,1.83,141.0,56.0,185.0,55.0,153.0,62.0,NaN,90.0,15.0,4.4,354.0,354.0,2.4,1.6
2015-03-19,い胏,程,28.0,2.2,3.4,1.31,73.0,54.0,118.0,68.0,146.0,49.0,7.4,91.0,7.9,3.5,331.0,329.0,3.6,1.8
2015-03-26,い胏,程,29.0,2.5,3.8,1.6,117.0,65.0,170.0,66.0,107.0,42.0,NaN,92.0,11.0,4.0,311.0,351.0,2.3,1.4
2015-04-02,い胏,程,32.0,2.3,2.95,1.22,80.0,37.0,106.0,68.0,102.0,38.0,NaN,89.0,7.5,3.4,295.0,357.0,3.0,1.5
2015-04-09,い胏,程,25.0,2.7,2.88,1.12,79.0,73.0,135.0,69.0,104.0,58.0,4.4,92.0,16.0,3.4,309.0,349.0,2.5,1.4
2015-04-16,い胏,程,32.0,2.5,3.55,1.48,83.0,61.0,132.0,57.0,202.0,70.0,8.8,90.0,12.0,3.8,359.0,320.0,2.9,2.1
2015-04-23,い胏,程,29.0,2.7,3.69,1.39,88.0,54.0,130.0,61.0,122.0,64.0,NaN,86.0,11.0,3.7,348.0,354.0,2.6,1.6
2015-04-30,い胏,程,30.0,2.5,3.34,1.39,94.0,57.0,132.0,66.0,146.0,72.0,NaN,90.0,9.5,3.8,285.0,359.0,3.4,2.4
2015-05-07,い胏,程,31.0,2.6,3.29,1.36,105.0,62.0,137.0,68.0,136.0,68.0,NaN,90.0,14.0,3.6,320.0,313.0,3.0,2.0
2015-05-14,い胏,程,32.0,2.3,3.46,1.3,75.0,39.0,105.0,32.0,103.0,45.0,NaN,92.0,6.8,3.4,292.0,330.0,3.6,2.4
2015-05-21,い胏,程,31.0,2.6,5.83,2.38,128.0,56.0,163.0,47.0,82.0,38.0,12.0,93.0,14.0,4.8,355.0,336.0,2.6,2.2
2015-05-28,い胏,程,34.0,2.4,3.04,1.13,NaN,NaN,NaN,38.0,61.0,27.0,NaN,88.0,NaN,3.3,291.0,304.0,3.6,2.9
2015-06-04,い胏,程,34.0,2.2,2.46,0.95,73.0,39.0,96.0,40.0,70.0,28.0,NaN,87.0,8.2,3.0,359.0,323.0,3.4,2.6
2015-06-11,い胏,程,34.0,2.2,2.78,1.02,66.0,41.0,89.0,42.0,95.0,32.0,NaN,80.0,8.9,3.1,246.0,283.0,3.1,2.3
2015-06-18,い胏,程,34.0,2.2,2.85,1.04,72.0,40.0,93.0,60.0,62.0,30.0,NaN,91.0,9.8,3.1,282.0,299.0,3.1,2.3
2015-06-25,い胏,程,34.0,2.1,2.66,1.18,63.0,38.0,86.0,37.0,71.0,27.0,NaN,86.0,5.9,3.2,203.0,215.0,3.7,2.7
2015-07-02,い胏,程,36.0,2.1,2.89,1.12,46.0,42.0,76.0,67.0,80.0,28.0,NaN,85.0,11.0,3.0,320.0,293.0,3.2,2.4
2015-07-09,い胏,程,34.0,2.1,2.55,0.83,56.0,37.0,84.0,58.0,79.0,41.0,NaN,92.0,9.3,2.9,270.0,263.0,4.0,3.2
2015-07-16,い胏,程,36.0,2.2,3.28,1.21,64.0,51.0,84.0,102.0,88.0,56.0,NaN,87.0,24.0,3.4,321.0,360.0,2.7,2.3
2015-07-23,い胏,程,35.0,2.1,2.82,1.22,60.0,49.0,92.0,53.0,70.0,34.0,NaN,80.0,8.4,3.3,248.0,261.0,2.8,2.1
2015-07-30,い胏,程,34.0,2.1,2.6,1.1,73.0,58.0,105.0,58.0,68.0,37.0,NaN,80.0,15.0,3.2,355.0,322.0,2.4,2.0
2015-08-06,い胏,程,34.0,2.5,3.05,1.18,77.0,49.0,100.0,63.0,68.0,38.0,NaN,90.0,15.0,3.2,358.0,340.0,6.9,3.1
2015-08-13,い胏,程,33.0,2.2,3.25,1.19,72.0,43.0,104.0,48.0,69.0,28.0,NaN,85.0,12.0,3.3,263.0,269.0,3.8,2.8
2015-08-20,い胏,程,35.0,2.3,3.6,1.35,72.0,67.0,111.0,59.0,85.0,46.0,7.4,92.0,11.0,3.5,332.0,342.0,3.9,2.9
2015-08-27,い胏,程,31.0,2.5,5.14,2.07,127.0,43.0,158.0,52.0,85.0,43.0,12.0,91.0,7.0,4.3,354.0,322.0,1.9,1.3
2015-09-03,い胏,程,34.0,2.3,3.88,1.51,93.0,79.0,145.0,48.0,69.0,35.0,NaN,90.0,8.4,3.7,337.0,351.0,3.1,2.0
2015-09-10,い胏,程,32.0,2.3,2.63,0.84,61.0,48.0,98.0,62.0,66.0,30.0,NaN,91.0,8.0,2.9,307.0,304.0,2.7,1.7
2015-09-17,い胏,程,32.0,2.4,3.13,1.26,70.0,57.0,123.0,91.0,95.0,50.0,NaN,88.0,14.0,3.4,323.0,359.0,2.1,1.6
2015-09-24,い胏,程,33.0,2.8,4.52,1.57,99.0,60.0,127.0,58.0,70.0,38.0,22.0,94.0,22.0,3.9,349.0,334.0,5.5,2.8
