ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2015-01-01,垫糳,程,24.0,NaN,6.0,NaN,261.0,68.0,329.0,50.0,174.0,98.0,NaN,82.0,10.0,NaN,357.0,357.0,5.0,4.3
2015-01-08,垫糳,程,24.0,NaN,1.26,NaN,8.0,51.0,57.0,54.0,88.0,46.0,NaN,89.0,7.8,NaN,351.0,328.0,5.8,5.1
2015-01-15,垫糳,程,21.0,NaN,1.67,NaN,42.0,57.0,99.0,44.0,121.0,81.0,NaN,87.0,8.5,NaN,293.0,354.0,4.7,4.2
2015-01-22,垫糳,程,24.0,NaN,2.51,NaN,106.0,63.0,165.0,55.0,136.0,70.0,NaN,92.0,9.0,NaN,354.0,345.0,4.0,3.6
2015-01-29,垫糳,程,22.0,NaN,1.58,NaN,31.0,41.0,71.0,32.0,46.0,27.0,NaN,91.0,7.8,NaN,351.0,351.0,5.4,4.6
2015-02-05,垫糳,程,21.0,NaN,1.78,NaN,72.0,60.0,104.0,47.0,139.0,88.0,NaN,86.0,9.9,NaN,349.0,358.0,4.2,3.6
2015-02-12,垫糳,程,25.0,NaN,2.17,NaN,58.0,62.0,105.0,57.0,143.0,65.0,NaN,91.0,12.0,NaN,352.0,359.0,5.2,4.6
2015-02-19,垫糳,程,26.0,NaN,1.73,NaN,53.0,56.0,94.0,58.0,101.0,68.0,NaN,92.0,22.0,NaN,352.0,352.0,5.9,5.3
2015-02-26,垫糳,程,24.0,NaN,2.62,NaN,103.0,50.0,147.0,54.0,106.0,72.0,1.0,89.0,9.1,NaN,359.0,353.0,5.2,4.7
2015-03-05,垫糳,程,23.0,NaN,1.38,NaN,27.0,42.0,69.0,46.0,83.0,37.0,3.4,91.0,13.0,NaN,330.0,334.0,4.7,4.4
2015-03-12,垫糳,程,28.0,NaN,1.71,NaN,69.0,55.0,105.0,56.0,93.0,59.0,NaN,92.0,18.0,NaN,360.0,360.0,3.9,3.2
2015-03-19,垫糳,程,29.0,NaN,2.0,NaN,39.0,55.0,80.0,60.0,136.0,53.0,NaN,90.0,26.0,NaN,355.0,354.0,4.7,4.4
2015-03-26,垫糳,程,30.0,NaN,2.96,NaN,107.0,59.0,155.0,67.0,73.0,50.0,NaN,94.0,12.0,NaN,357.0,357.0,3.8,3.3
2015-04-02,垫糳,程,33.0,NaN,1.17,NaN,36.0,36.0,64.0,88.0,77.0,52.0,NaN,86.0,12.0,NaN,355.0,360.0,4.5,4.1
2015-04-09,垫糳,程,26.0,NaN,1.93,NaN,48.0,85.0,133.0,75.0,84.0,41.0,2.4,93.0,12.0,NaN,359.0,360.0,5.7,5.7
2015-04-16,垫糳,程,32.0,NaN,2.08,NaN,50.0,58.0,92.0,70.0,110.0,66.0,6.6,88.0,7.7,NaN,356.0,359.0,7.0,7.1
2015-04-23,垫糳,程,29.0,NaN,1.24,NaN,19.0,52.0,63.0,54.0,75.0,44.0,NaN,84.0,13.0,NaN,356.0,356.0,5.2,4.9
2015-04-30,垫糳,程,31.0,NaN,1.65,NaN,27.0,60.0,72.0,74.0,95.0,57.0,NaN,90.0,35.0,NaN,336.0,346.0,4.8,4.5
2015-05-07,垫糳,程,31.0,NaN,2.04,NaN,61.0,62.0,94.0,67.0,88.0,47.0,NaN,90.0,25.0,NaN,356.0,359.0,5.9,4.5
2015-05-14,垫糳,程,34.0,NaN,1.61,NaN,29.0,52.0,75.0,55.0,72.0,41.0,NaN,91.0,11.0,NaN,358.0,359.0,5.4,5.1
2015-05-21,垫糳,程,31.0,NaN,2.13,NaN,52.0,56.0,86.0,41.0,59.0,22.0,11.0,93.0,20.0,NaN,354.0,359.0,4.4,4.2
2015-05-28,垫糳,程,35.0,NaN,1.29,NaN,28.0,42.0,50.0,68.0,54.0,22.0,NaN,88.0,11.0,NaN,334.0,353.0,5.0,4.9
2015-06-04,垫糳,程,35.0,NaN,1.15,NaN,18.0,43.0,58.0,65.0,48.0,26.0,NaN,88.0,9.9,NaN,357.0,359.0,5.6,4.7
2015-06-11,垫糳,程,36.0,NaN,1.27,NaN,16.0,42.0,52.0,67.0,46.0,21.0,NaN,88.0,9.6,NaN,342.0,346.0,5.0,4.6
2015-06-18,垫糳,程,35.0,NaN,1.72,NaN,17.0,50.0,65.0,76.0,49.0,25.0,NaN,89.0,21.0,NaN,355.0,342.0,5.4,4.1
2015-06-25,垫糳,程,36.0,NaN,1.25,NaN,14.0,33.0,42.0,60.0,59.0,22.0,NaN,84.0,6.8,NaN,290.0,300.0,6.8,6.4
2015-07-02,垫糳,程,36.0,NaN,0.89,NaN,11.0,36.0,38.0,57.0,57.0,23.0,NaN,82.0,20.0,NaN,320.0,353.0,6.5,5.6
2015-07-09,垫糳,程,35.0,NaN,1.07,NaN,13.0,34.0,45.0,61.0,59.0,36.0,NaN,93.0,19.0,NaN,357.0,360.0,7.8,7.3
2015-07-16,垫糳,程,35.0,NaN,1.16,NaN,33.0,36.0,61.0,117.0,81.0,48.0,NaN,88.0,39.0,NaN,333.0,337.0,3.9,3.5
2015-07-23,垫糳,程,36.0,NaN,1.56,NaN,39.0,52.0,71.0,70.0,49.0,25.0,NaN,92.0,12.0,NaN,355.0,358.0,5.1,4.2
2015-07-30,垫糳,程,34.0,NaN,1.22,NaN,41.0,46.0,76.0,65.0,55.0,32.0,NaN,84.0,17.0,NaN,338.0,353.0,3.5,2.6
2015-08-06,垫糳,程,34.0,NaN,1.59,NaN,22.0,50.0,58.0,80.0,67.0,28.0,NaN,92.0,11.0,NaN,302.0,341.0,4.0,1.8
2015-08-13,垫糳,程,35.0,NaN,1.46,NaN,35.0,39.0,58.0,58.0,42.0,17.0,63.0,95.0,6.0,NaN,321.0,349.0,2.0,1.2
2015-08-20,垫糳,程,36.0,NaN,1.51,NaN,14.0,39.0,53.0,70.0,50.0,20.0,3.0,92.0,8.7,NaN,328.0,351.0,2.1,1.3
2015-08-27,垫糳,程,31.0,NaN,1.72,NaN,46.0,45.0,65.0,54.0,51.0,38.0,25.0,95.0,11.0,NaN,336.0,360.0,1.5,0.8
2015-09-03,垫糳,程,35.0,NaN,1.75,NaN,41.0,47.0,64.0,57.0,56.0,29.0,NaN,94.0,19.0,NaN,342.0,355.0,1.9,0.8
2015-09-10,垫糳,程,32.0,NaN,1.19,NaN,18.0,31.0,44.0,55.0,56.0,19.0,NaN,92.0,7.1,NaN,320.0,347.0,1.5,0.8
2015-09-17,垫糳,程,32.0,NaN,1.48,NaN,22.0,45.0,50.0,74.0,83.0,39.0,NaN,85.0,16.0,NaN,336.0,354.0,1.2,0.9
2015-09-24,垫糳,程,33.0,NaN,2.35,NaN,55.0,42.0,79.0,50.0,56.0,31.0,26.0,95.0,14.0,NaN,352.0,358.0,3.6,2.6
2015-10-01,垫糳,程,34.0,NaN,1.49,NaN,24.0,38.0,62.0,43.0,51.0,30.0,NaN,91.0,45.0,NaN,313.0,356.0,1.4,0.7
2015-10-08,垫糳,程,28.0,NaN,1.16,NaN,10.0,41.0,46.0,70.0,90.0,40.0,5.4,94.0,11.0,NaN,331.0,351.0,1.4,0.9
2015-10-15,垫糳,程,28.0,NaN,0.86,NaN,8.0,30.0,36.0,52.0,56.0,23.0,NaN,86.0,9.7,NaN,336.0,340.0,1.5,0.6
2015-10-22,垫糳,程,30.0,NaN,1.73,NaN,38.0,47.0,66.0,55.0,83.0,42.0,NaN,95.0,9.9,NaN,320.0,348.0,1.2,0.8
2015-10-29,垫糳,程,29.0,NaN,1.57,NaN,18.0,43.0,59.0,65.0,109.0,63.0,NaN,88.0,6.5,NaN,333.0,322.0,5.0,4.8
2015-11-05,垫糳,程,32.0,NaN,1.75,NaN,54.0,55.0,83.0,80.0,108.0,60.0,NaN,87.0,26.0,NaN,360.0,357.0,4.7,4.4
2015-11-12,垫糳,程,32.0,NaN,2.55,NaN,55.0,70.0,114.0,84.0,106.0,48.0,NaN,85.0,17.0,NaN,359.0,354.0,5.2,4.6
2015-11-19,垫糳,程,28.0,NaN,0.76,NaN,8.7,32.0,38.0,41.0,55.0,19.0,NaN,89.0,19.0,NaN,311.0,355.0,5.3,4.5
2015-11-26,垫糳,程,26.0,NaN,1.42,NaN,49.0,39.0,80.0,44.0,51.0,26.0,NaN,86.0,10.0,NaN,358.0,357.0,5.1,4.6
2015-12-03,垫糳,程,26.0,NaN,1.14,NaN,26.0,38.0,65.0,37.0,112.0,31.0,NaN,91.0,13.0,NaN,346.0,351.0,5.6,4.8
2015-12-10,垫糳,程,25.0,NaN,1.61,NaN,62.0,41.0,103.0,41.0,133.0,73.0,NaN,94.0,24.0,NaN,350.0,352.0,5.4,4.8
2015-12-17,垫糳,程,30.0,NaN,1.75,NaN,59.0,52.0,88.0,54.0,88.0,51.0,NaN,86.0,36.0,NaN,358.0,318.0,5.1,4.3
2015-12-24,垫糳,程,25.0,NaN,1.65,NaN,57.0,64.0,101.0,42.0,117.0,65.0,4.0,93.0,15.0,NaN,348.0,345.0,5.5,4.1
