ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2015-01-01,窾地,程,24.0,NaN,4.56,NaN,209.0,85.0,274.0,49.0,163.0,83.0,NaN,85.0,11.0,NaN,313.0,348.0,4.3,3.9
2015-01-08,窾地,程,24.0,NaN,1.31,NaN,22.0,52.0,60.0,60.0,94.0,58.0,NaN,90.0,5.9,NaN,296.0,296.0,5.6,4.7
2015-01-15,窾地,程,21.0,NaN,1.11,NaN,26.0,47.0,63.0,52.0,128.0,91.0,NaN,86.0,8.4,NaN,297.0,335.0,4.5,3.9
2015-01-22,窾地,程,24.0,NaN,2.38,NaN,82.0,68.0,129.0,51.0,145.0,74.0,NaN,91.0,9.3,NaN,337.0,340.0,4.3,3.5
2015-01-29,窾地,程,22.0,NaN,1.28,NaN,37.0,39.0,76.0,36.0,48.0,30.0,NaN,92.0,7.9,NaN,307.0,310.0,5.0,4.4
2015-02-05,窾地,程,22.0,NaN,1.75,NaN,53.0,53.0,98.0,55.0,135.0,106.0,2.4,87.0,52.0,NaN,320.0,328.0,3.8,3.3
2015-02-12,窾地,程,26.0,NaN,2.49,NaN,65.0,63.0,106.0,59.0,138.0,59.0,NaN,91.0,12.0,NaN,348.0,359.0,6.3,4.8
2015-02-19,窾地,程,27.0,NaN,2.32,NaN,57.0,61.0,102.0,68.0,102.0,59.0,NaN,92.0,15.0,NaN,340.0,356.0,5.3,5.1
2015-02-26,窾地,程,26.0,NaN,2.74,NaN,98.0,53.0,142.0,61.0,100.0,69.0,1.4,92.0,8.4,NaN,331.0,359.0,5.3,4.4
2015-03-05,窾地,程,24.0,NaN,2.05,NaN,58.0,45.0,104.0,56.0,80.0,40.0,2.2,92.0,8.3,NaN,341.0,324.0,5.5,4.6
2015-03-12,窾地,程,35.0,NaN,2.05,NaN,56.0,63.0,106.0,75.0,97.0,70.0,NaN,91.0,38.0,NaN,357.0,358.0,3.8,4.0
2015-03-19,窾地,程,29.0,NaN,1.78,NaN,39.0,65.0,91.0,74.0,128.0,59.0,NaN,90.0,23.0,NaN,334.0,360.0,5.4,4.5
2015-03-26,窾地,程,31.0,NaN,2.41,NaN,94.0,64.0,143.0,91.0,79.0,54.0,NaN,95.0,14.0,NaN,350.0,344.0,3.7,3.2
2015-04-02,窾地,程,34.0,NaN,1.42,NaN,33.0,50.0,76.0,114.0,85.0,49.0,NaN,86.0,18.0,NaN,355.0,358.0,4.4,3.9
2015-04-09,窾地,程,27.0,NaN,1.51,NaN,28.0,76.0,91.0,82.0,77.0,43.0,2.2,94.0,12.0,NaN,334.0,350.0,4.6,4.1
2015-04-16,窾地,程,32.0,NaN,2.22,NaN,48.0,68.0,95.0,84.0,118.0,67.0,13.0,91.0,19.0,NaN,357.0,334.0,6.1,4.8
2015-04-23,窾地,程,30.0,NaN,1.15,NaN,25.0,52.0,64.0,77.0,90.0,58.0,NaN,85.0,11.0,NaN,328.0,336.0,5.5,5.0
2015-04-30,窾地,程,33.0,NaN,2.77,NaN,44.0,69.0,114.0,97.0,108.0,64.0,13.0,90.0,23.0,NaN,357.0,318.0,5.2,4.4
2015-05-07,窾地,程,33.0,NaN,2.62,NaN,65.0,67.0,111.0,94.0,120.0,67.0,23.0,92.0,28.0,NaN,354.0,358.0,4.7,4.3
2015-05-14,窾地,程,35.0,NaN,1.44,NaN,32.0,51.0,69.0,93.0,67.0,49.0,NaN,92.0,16.0,NaN,358.0,356.0,3.9,3.7
2015-05-21,窾地,程,30.0,NaN,1.9,NaN,69.0,55.0,107.0,65.0,57.0,29.0,7.8,94.0,51.0,NaN,360.0,333.0,4.6,3.9
2015-05-28,窾地,程,36.0,NaN,1.28,NaN,25.0,54.0,64.0,78.0,53.0,31.0,NaN,90.0,21.0,NaN,358.0,311.0,4.1,3.5
2015-06-04,窾地,程,36.0,NaN,1.35,NaN,31.0,42.0,69.0,88.0,60.0,36.0,NaN,91.0,16.0,NaN,358.0,351.0,3.6,3.5
2015-06-11,窾地,程,36.0,NaN,1.02,NaN,15.0,51.0,64.0,101.0,73.0,38.0,NaN,90.0,32.0,NaN,353.0,357.0,5.2,2.8
2015-06-18,窾地,程,36.0,NaN,1.19,NaN,22.0,50.0,66.0,83.0,49.0,35.0,NaN,91.0,25.0,NaN,325.0,323.0,3.7,2.7
2015-06-25,窾地,程,36.0,NaN,1.36,NaN,19.0,39.0,51.0,69.0,60.0,30.0,NaN,87.0,7.7,NaN,299.0,355.0,4.5,4.1
2015-07-02,窾地,程,37.0,NaN,1.01,NaN,13.0,34.0,38.0,71.0,65.0,31.0,NaN,85.0,8.6,NaN,307.0,309.0,5.4,4.4
2015-07-09,窾地,程,36.0,NaN,1.01,NaN,30.0,42.0,50.0,78.0,65.0,47.0,NaN,93.0,18.0,NaN,353.0,349.0,6.6,4.8
2015-07-16,窾地,程,37.0,NaN,1.03,NaN,31.0,46.0,62.0,139.0,81.0,65.0,NaN,91.0,18.0,NaN,357.0,322.0,3.7,3.4
2015-07-23,窾地,程,37.0,NaN,1.62,NaN,35.0,51.0,77.0,76.0,60.0,39.0,69.0,92.0,22.0,NaN,336.0,358.0,3.0,2.5
2015-07-30,窾地,程,36.0,NaN,1.29,NaN,21.0,48.0,66.0,105.0,62.0,40.0,NaN,83.0,19.0,NaN,356.0,353.0,4.1,3.5
2015-08-06,窾地,程,36.0,NaN,1.46,NaN,30.0,57.0,70.0,101.0,57.0,38.0,42.0,92.0,14.0,NaN,358.0,334.0,10.0,9.3
2015-08-13,窾地,程,36.0,NaN,1.43,NaN,55.0,42.0,80.0,70.0,62.0,37.0,48.0,94.0,9.2,NaN,356.0,305.0,4.2,3.5
2015-08-20,窾地,程,36.0,NaN,1.19,NaN,23.0,49.0,64.0,54.0,45.0,31.0,8.2,90.0,30.0,NaN,346.0,336.0,5.6,4.7
2015-08-27,窾地,程,34.0,NaN,1.57,NaN,41.0,50.0,80.0,70.0,79.0,64.0,25.0,93.0,21.0,NaN,359.0,340.0,3.7,2.9
2015-09-03,窾地,程,36.0,NaN,1.39,NaN,35.0,46.0,62.0,79.0,60.0,38.0,11.0,93.0,12.0,NaN,359.0,345.0,4.6,3.4
2015-09-10,窾地,程,33.0,NaN,1.14,NaN,20.0,39.0,54.0,92.0,58.0,31.0,NaN,91.0,14.0,NaN,290.0,303.0,4.9,4.2
2015-09-17,窾地,程,33.0,NaN,1.44,NaN,23.0,51.0,57.0,107.0,87.0,65.0,NaN,84.0,16.0,NaN,355.0,346.0,4.2,3.9
2015-09-24,窾地,程,35.0,NaN,1.93,NaN,31.0,61.0,71.0,76.0,61.0,41.0,31.0,95.0,38.0,NaN,315.0,351.0,8.5,7.3
2015-10-01,窾地,程,35.0,NaN,1.31,NaN,34.0,40.0,53.0,54.0,59.0,40.0,NaN,91.0,20.0,NaN,359.0,294.0,4.4,4.1
2015-10-08,窾地,程,30.0,NaN,1.14,NaN,14.0,45.0,51.0,77.0,95.0,47.0,NaN,92.0,16.0,NaN,359.0,323.0,4.7,4.1
2015-10-15,窾地,程,29.0,NaN,0.7,NaN,12.0,38.0,49.0,61.0,57.0,32.0,NaN,89.0,10.0,NaN,116.0,121.0,5.2,4.7
2015-10-22,窾地,程,32.0,NaN,1.52,NaN,25.0,45.0,62.0,83.0,83.0,49.0,NaN,94.0,16.0,NaN,357.0,338.0,4.4,4.4
2015-10-29,窾地,程,32.0,NaN,1.34,NaN,27.0,40.0,51.0,117.0,107.0,79.0,NaN,91.0,7.3,NaN,349.0,351.0,5.1,4.0
2015-11-05,窾地,程,33.0,NaN,1.37,NaN,40.0,57.0,68.0,120.0,111.0,79.0,NaN,87.0,26.0,NaN,349.0,346.0,5.1,4.2
2015-11-12,窾地,程,33.0,NaN,1.75,NaN,38.0,63.0,77.0,89.0,85.0,60.0,NaN,89.0,11.0,NaN,356.0,359.0,4.6,4.0
2015-11-19,窾地,程,28.0,NaN,0.72,NaN,17.0,35.0,51.0,51.0,46.0,29.0,1.8,90.0,13.0,NaN,302.0,335.0,5.0,4.4
2015-11-26,窾地,程,27.0,NaN,1.61,NaN,38.0,44.0,74.0,64.0,54.0,36.0,NaN,89.0,16.0,NaN,297.0,322.0,4.8,4.3
2015-12-03,窾地,程,26.0,NaN,1.47,NaN,44.0,41.0,84.0,45.0,119.0,42.0,NaN,92.0,12.0,NaN,302.0,301.0,5.1,4.8
2015-12-10,窾地,程,25.0,NaN,1.59,NaN,34.0,45.0,72.0,45.0,136.0,94.0,NaN,94.0,14.0,NaN,298.0,304.0,4.7,4.2
2015-12-17,窾地,程,30.0,NaN,2.19,NaN,86.0,59.0,126.0,85.0,91.0,59.0,NaN,88.0,26.0,NaN,324.0,311.0,4.6,4.1
2015-12-24,窾地,程,27.0,NaN,1.95,NaN,66.0,55.0,110.0,46.0,129.0,76.0,4.2,92.0,15.0,NaN,343.0,354.0,4.2,3.9
