日期,地區,統計資料,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2015-01-01,基隆,最小值,11.0,1.8,0.16,0.03,0.5,1.6,2.5,0.9,3.0,1.0,NaN,52.0,0.6,1.8,5.5,6.7,0.4,0.0
2015-01-08,基隆,最小值,13.0,1.8,0.13,0.01,0.3,1.4,2.1,22.0,3.0,1.0,NaN,54.0,0.6,1.8,61.0,62.0,0.6,0.2
2015-01-15,基隆,最小值,13.0,1.8,0.22,0.01,0.2,1.7,2.6,2.7,6.0,4.0,NaN,54.0,0.6,1.8,5.9,27.0,0.4,0.1
2015-01-22,基隆,最小值,8.6,1.8,0.18,0.01,0.3,0.9,1.4,0.8,14.0,4.0,NaN,48.0,0.5,1.8,28.0,21.0,0.4,0.0
2015-01-29,基隆,最小值,14.0,1.8,0.15,0.01,0.3,1.1,2.1,1.0,4.0,3.0,0.2,79.0,0.3,1.8,21.0,47.0,0.4,0.1
2015-02-05,基隆,最小值,11.0,1.7,0.13,0.03,0.2,1.4,2.5,1.0,7.0,0.0,0.2,53.0,0.7,1.8,15.0,3.1,0.4,0.0
2015-02-12,基隆,最小值,9.5,1.8,0.24,0.03,0.5,3.1,3.7,1.4,9.0,11.0,NaN,36.0,0.7,1.8,1.7,25.0,0.6,0.1
2015-02-19,基隆,最小值,16.0,1.7,0.2,0.02,0.3,2.4,2.8,0.8,6.0,5.0,NaN,53.0,0.7,1.8,8.9,7.1,0.4,0.0
2015-02-26,基隆,最小值,12.0,1.7,0.2,0.02,0.4,1.9,2.4,0.8,5.0,0.0,0.2,60.0,0.6,1.8,2.2,1.9,0.4,0.0
2015-03-05,基隆,最小值,12.0,1.8,0.15,0.01,0.4,1.4,2.0,5.4,1.0,0.0,0.2,70.0,0.2,1.8,24.0,6.0,0.4,0.1
2015-03-12,基隆,最小值,13.0,1.7,0.16,0.02,0.5,2.1,2.8,0.8,7.0,2.0,NaN,74.0,0.4,1.7,3.1,3.6,0.4,0.0
2015-03-19,基隆,最小值,15.0,1.4,0.16,0.0,0.2,1.8,2.9,3.2,7.0,3.0,0.2,52.0,0.4,1.4,1.2,21.0,0.4,0.1
2015-03-26,基隆,最小值,14.0,1.8,0.01,0.01,0.2,3.3,4.1,0.9,5.0,0.0,NaN,61.0,0.7,1.8,4.8,17.0,0.4,0.0
2015-04-02,基隆,最小值,15.0,1.7,0.15,0.01,0.3,0.9,2.5,0.6,7.0,1.0,NaN,63.0,0.2,1.7,29.0,5.0,0.4,0.0
2015-04-09,基隆,最小值,12.0,1.8,0.18,0.02,0.3,1.9,2.6,3.3,5.0,0.0,0.2,21.0,0.5,1.8,4.1,12.0,0.4,0.0
2015-04-16,基隆,最小值,18.0,1.7,0.2,0.01,0.3,2.5,2.9,0.9,12.0,4.0,0.2,43.0,0.6,1.8,4.3,14.0,0.4,0.0
2015-04-23,基隆,最小值,18.0,1.6,0.21,0.02,0.1,3.4,4.2,1.1,6.0,7.0,NaN,61.0,0.6,1.8,4.0,54.0,0.4,0.0
2015-04-30,基隆,最小值,19.0,1.7,0.16,0.0,0.1,1.4,1.8,1.5,11.0,9.0,0.2,63.0,0.6,1.8,18.0,1.7,0.4,0.1
2015-05-07,基隆,最小值,20.0,1.7,0.11,0.01,0.3,1.4,2.2,0.8,2.0,0.0,0.2,59.0,0.7,1.7,7.4,31.0,0.4,0.0
2015-05-14,基隆,最小值,23.0,1.6,0.15,0.0,0.6,3.2,4.1,0.9,8.0,1.0,NaN,49.0,0.7,1.7,1.3,1.3,0.4,0.0
2015-05-21,基隆,最小值,21.0,1.7,0.17,0.02,0.4,1.4,2.4,0.7,1.0,0.0,0.2,74.0,0.5,1.7,0.6,4.5,0.4,0.0
2015-05-28,基隆,最小值,25.0,1.6,0.13,0.02,0.7,3.8,4.6,0.8,8.0,6.0,NaN,46.0,0.9,1.6,29.0,4.5,0.5,0.0
2015-06-04,基隆,最小值,24.0,1.6,0.12,0.01,0.5,1.9,2.8,0.5,12.0,4.0,NaN,51.0,1.0,1.7,5.9,4.1,0.5,0.0
2015-06-11,基隆,最小值,26.0,1.6,0.13,0.02,0.4,3.5,4.5,0.6,13.0,5.0,NaN,50.0,1.2,1.6,15.0,9.0,0.5,0.1
2015-06-18,基隆,最小值,26.0,1.6,0.09,0.01,0.3,3.3,4.2,1.0,6.0,3.0,0.2,49.0,0.7,1.6,47.0,42.0,0.5,0.1
2015-06-25,基隆,最小值,27.0,1.6,0.13,0.02,0.3,3.8,4.7,1.6,7.0,5.0,NaN,53.0,1.1,1.6,33.0,15.0,0.5,0.1
2015-07-02,基隆,最小值,26.0,1.6,0.06,0.0,0.3,1.4,1.6,1.2,8.0,0.0,0.2,53.0,0.5,1.6,9.9,6.7,0.4,0.1
2015-07-09,基隆,最小值,24.0,1.6,0.06,0.0,0.3,1.0,1.6,2.5,2.0,0.0,0.2,58.0,0.5,1.6,6.4,45.0,0.5,0.1
2015-07-16,基隆,最小值,25.0,1.6,0.1,0.01,0.7,3.2,4.1,0.4,5.0,0.0,NaN,55.0,0.6,1.6,7.8,8.8,0.4,0.0
2015-07-23,基隆,最小值,25.0,1.5,0.1,0.02,0.4,2.5,3.9,0.7,11.0,0.0,NaN,47.0,1.4,1.6,43.0,11.0,0.5,0.1
2015-07-30,基隆,最小值,25.0,1.6,0.09,0.02,0.5,3.3,3.9,0.7,3.0,3.0,NaN,46.0,0.9,1.6,34.0,47.0,0.4,0.1
2015-08-06,基隆,最小值,25.0,1.6,0.02,0.0,0.4,0.2,0.7,0.5,6.0,0.0,0.2,56.0,0.5,1.6,2.2,3.1,0.4,0.1
2015-08-13,基隆,最小值,25.0,1.6,0.15,0.02,0.7,2.7,3.7,0.5,2.0,0.0,0.2,47.0,0.0,1.7,35.0,13.0,0.4,0.0
