ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2015-01-01,打,程,25.0,NaN,1.63,NaN,102.0,54.0,139.0,65.0,149.0,80.0,NaN,85.0,10.0,NaN,358.0,355.0,9.2,8.4
2015-01-08,打,程,24.0,NaN,0.75,NaN,15.0,34.0,49.0,86.0,99.0,52.0,NaN,89.0,11.0,NaN,359.0,344.0,12.0,10.0
2015-01-15,打,程,24.0,NaN,0.81,NaN,13.0,41.0,47.0,66.0,117.0,74.0,NaN,87.0,9.4,NaN,180.0,300.0,10.0,9.9
2015-01-22,打,程,24.0,NaN,1.0,NaN,51.0,46.0,90.0,75.0,139.0,73.0,NaN,88.0,9.9,NaN,331.0,359.0,8.3,7.6
2015-01-29,打,程,24.0,NaN,0.65,NaN,32.0,25.0,57.0,46.0,77.0,44.0,NaN,88.0,7.8,NaN,176.0,170.0,8.1,8.0
2015-02-05,打,程,18.0,NaN,0.83,NaN,52.0,37.0,78.0,60.0,131.0,82.0,NaN,84.0,7.4,NaN,342.0,318.0,9.2,8.3
2015-02-12,打,程,25.0,NaN,0.95,NaN,48.0,66.0,98.0,103.0,136.0,76.0,NaN,87.0,14.0,NaN,352.0,351.0,7.4,6.9
2015-02-19,打,程,27.0,NaN,0.58,NaN,17.0,30.0,44.0,70.0,101.0,51.0,NaN,90.0,5.0,NaN,345.0,355.0,8.6,8.0
2015-02-26,打,程,22.0,NaN,1.23,NaN,64.0,38.0,89.0,67.0,111.0,53.0,0.2,88.0,6.0,NaN,354.0,357.0,8.1,7.3
2015-03-05,打,程,22.0,NaN,0.61,NaN,5.6,27.0,29.0,57.0,82.0,35.0,4.0,88.0,5.3,NaN,356.0,348.0,10.0,9.8
2015-03-12,打,程,28.0,NaN,1.02,NaN,44.0,39.0,73.0,71.0,101.0,53.0,NaN,88.0,13.0,NaN,357.0,354.0,7.7,7.1
2015-03-19,打,程,28.0,NaN,0.58,NaN,7.9,31.0,32.0,74.0,116.0,51.0,NaN,88.0,6.9,NaN,360.0,348.0,12.0,12.0
2015-03-26,打,程,29.0,NaN,1.39,NaN,72.0,49.0,103.0,71.0,78.0,45.0,NaN,91.0,8.9,NaN,320.0,348.0,6.0,5.3
2015-04-02,打,程,33.0,NaN,0.56,NaN,24.0,28.0,42.0,68.0,73.0,39.0,NaN,94.0,6.9,NaN,355.0,357.0,8.2,8.3
2015-04-09,打,程,24.0,NaN,0.76,NaN,39.0,51.0,88.0,97.0,88.0,39.0,2.4,94.0,6.5,NaN,296.0,319.0,6.4,5.6
2015-04-16,打,程,31.0,NaN,0.91,NaN,42.0,37.0,75.0,76.0,131.0,60.0,7.8,95.0,8.4,NaN,354.0,348.0,11.0,11.0
2015-04-23,打,程,29.0,NaN,0.76,NaN,13.0,42.0,46.0,72.0,104.0,40.0,NaN,93.0,9.1,NaN,355.0,359.0,7.4,6.8
2015-04-30,打,程,30.0,NaN,0.9,NaN,19.0,46.0,58.0,85.0,89.0,45.0,4.8,94.0,9.2,NaN,356.0,348.0,8.8,8.5
2015-05-07,打,程,30.0,NaN,0.68,NaN,38.0,41.0,74.0,92.0,94.0,43.0,NaN,95.0,11.0,NaN,358.0,351.0,6.9,6.1
