ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2015-01-01,浆,程,24.0,NaN,1.23,NaN,12.0,37.0,44.0,62.0,144.0,67.0,NaN,85.0,7.2,NaN,338.0,359.0,5.4,4.5
2015-01-08,浆,程,20.0,NaN,0.95,NaN,13.0,35.0,46.0,56.0,79.0,29.0,NaN,91.0,4.5,NaN,358.0,358.0,4.7,3.7
2015-01-15,浆,程,21.0,NaN,1.07,NaN,16.0,33.0,40.0,54.0,110.0,55.0,NaN,83.0,6.2,NaN,356.0,354.0,5.7,5.0
2015-01-22,浆,程,22.0,NaN,0.99,NaN,5.7,30.0,34.0,64.0,132.0,60.0,NaN,90.0,4.9,NaN,334.0,349.0,5.0,4.3
2015-01-29,浆,程,21.0,NaN,0.76,NaN,8.2,25.0,30.0,45.0,31.0,12.0,NaN,89.0,3.1,NaN,350.0,352.0,5.6,5.0
2015-02-05,浆,程,19.0,NaN,0.94,NaN,17.0,29.0,40.0,56.0,119.0,58.0,NaN,82.0,5.6,NaN,347.0,354.0,6.1,5.3
2015-02-12,浆,程,23.0,NaN,1.2,NaN,48.0,46.0,79.0,72.0,219.0,62.0,NaN,91.0,6.8,NaN,359.0,350.0,4.8,3.9
2015-02-19,浆,程,24.0,NaN,0.92,NaN,19.0,27.0,34.0,61.0,98.0,30.0,0.6,91.0,5.2,NaN,352.0,355.0,4.9,3.8
2015-02-26,浆,程,25.0,NaN,0.89,NaN,28.0,35.0,53.0,57.0,81.0,35.0,NaN,90.0,4.5,NaN,350.0,359.0,7.1,6.1
2015-03-05,浆,程,23.0,NaN,0.99,NaN,50.0,29.0,79.0,54.0,57.0,23.0,2.8,91.0,3.3,NaN,357.0,356.0,6.0,4.9
2015-03-12,浆,程,25.0,NaN,0.79,NaN,54.0,30.0,83.0,54.0,59.0,20.0,NaN,91.0,4.4,NaN,357.0,360.0,6.0,5.4
2015-03-19,浆,程,26.0,NaN,0.71,NaN,17.0,34.0,38.0,71.0,84.0,38.0,6.6,91.0,4.2,NaN,357.0,355.0,5.5,4.4
2015-03-26,浆,程,29.0,NaN,0.65,NaN,7.9,26.0,29.0,58.0,46.0,15.0,NaN,91.0,3.7,NaN,360.0,344.0,4.5,4.2
2015-04-02,浆,程,29.0,NaN,0.52,NaN,5.2,16.0,17.0,49.0,84.0,13.0,NaN,91.0,3.4,NaN,343.0,345.0,6.8,6.1
2015-04-09,浆,程,25.0,NaN,1.16,NaN,7.1,37.0,40.0,69.0,87.0,30.0,3.0,91.0,4.2,NaN,353.0,351.0,5.4,4.4
2015-04-16,浆,程,30.0,NaN,0.64,NaN,6.9,21.0,24.0,58.0,53.0,20.0,6.2,91.0,6.4,NaN,358.0,359.0,6.2,6.1
2015-04-23,浆,程,29.0,NaN,0.79,NaN,6.7,36.0,37.0,75.0,66.0,33.0,1.4,91.0,15.0,NaN,355.0,354.0,4.9,3.7
2015-04-30,浆,程,30.0,NaN,0.71,NaN,5.8,28.0,32.0,73.0,62.0,24.0,3.4,91.0,7.4,NaN,354.0,357.0,5.2,4.6
2015-05-07,浆,程,30.0,NaN,0.82,NaN,9.9,21.0,31.0,59.0,71.0,25.0,16.0,91.0,8.2,NaN,354.0,354.0,5.8,5.3
2015-05-14,浆,程,32.0,NaN,0.63,NaN,13.0,28.0,41.0,52.0,43.0,22.0,NaN,90.0,9.1,NaN,339.0,348.0,6.3,5.3
