ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2015-01-01,,程,23.0,NaN,1.44,NaN,42.0,85.0,121.0,73.0,464.0,238.0,NaN,90.0,44.0,NaN,352.0,352.0,6.0,4.8
2015-01-08,,程,20.0,NaN,0.79,NaN,17.0,36.0,39.0,68.0,287.0,98.0,NaN,93.0,37.0,NaN,343.0,343.0,6.1,5.1
2015-01-15,,程,20.0,NaN,0.87,NaN,39.0,45.0,79.0,76.0,240.0,98.0,NaN,83.0,27.0,NaN,359.0,359.0,6.0,4.7
2015-01-22,,程,21.0,NaN,1.09,NaN,60.0,61.0,115.0,81.0,254.0,151.0,NaN,94.0,26.0,NaN,351.0,351.0,5.7,4.8
2015-01-29,,程,18.0,NaN,0.67,NaN,10.0,33.0,36.0,52.0,139.0,62.0,NaN,80.0,18.0,NaN,119.0,119.0,5.4,4.4
2015-02-05,,程,17.0,NaN,0.74,NaN,13.0,38.0,47.0,70.0,145.0,88.0,NaN,80.0,12.0,NaN,340.0,340.0,5.8,5.1
2015-02-12,,程,22.0,NaN,1.05,NaN,27.0,54.0,81.0,78.0,204.0,114.0,NaN,94.0,12.0,NaN,358.0,358.0,5.2,4.7
2015-02-19,,程,21.0,NaN,0.73,NaN,20.0,28.0,48.0,69.0,136.0,65.0,NaN,94.0,10.0,NaN,359.0,359.0,4.9,3.8
2015-02-26,,程,21.0,NaN,0.76,NaN,77.0,62.0,139.0,62.0,156.0,92.0,NaN,90.0,19.0,NaN,329.0,329.0,5.7,5.0
2015-03-05,,程,21.0,NaN,0.87,NaN,18.0,28.0,45.0,60.0,136.0,75.0,1.4,91.0,17.0,NaN,359.0,359.0,7.3,6.1
2015-03-12,,程,24.0,NaN,0.7,NaN,24.0,45.0,60.0,65.0,208.0,86.0,NaN,93.0,26.0,NaN,348.0,348.0,6.7,6.5
2015-03-19,,程,27.0,NaN,0.67,NaN,25.0,46.0,71.0,84.0,165.0,67.0,NaN,93.0,11.0,NaN,312.0,312.0,5.5,4.2
2015-03-26,,程,27.0,NaN,0.68,NaN,28.0,39.0,62.0,74.0,160.0,71.0,NaN,94.0,22.0,NaN,358.0,358.0,5.5,5.5
2015-04-02,,程,31.0,NaN,0.42,NaN,12.0,31.0,37.0,51.0,68.0,39.0,NaN,93.0,9.8,NaN,282.0,282.0,7.7,6.6
2015-04-09,,程,25.0,NaN,1.14,NaN,31.0,49.0,80.0,97.0,275.0,90.0,NaN,90.0,31.0,NaN,353.0,353.0,5.2,5.2
2015-04-16,,程,26.0,NaN,0.62,NaN,14.0,33.0,47.0,93.0,194.0,100.0,NaN,93.0,18.0,NaN,348.0,348.0,7.7,7.3
2015-04-23,,程,27.0,NaN,0.71,NaN,21.0,42.0,60.0,80.0,268.0,78.0,NaN,91.0,27.0,NaN,327.0,327.0,6.6,5.8
2015-04-30,,程,30.0,NaN,0.57,NaN,52.0,63.0,115.0,82.0,142.0,64.0,8.0,92.0,17.0,NaN,349.0,349.0,7.2,6.9
