ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2015-01-01,皑,程,8.6,NaN,0.23,NaN,0.0,4.8,4.9,2.4,22.0,11.0,NaN,44.0,1.2,NaN,1.2,5.5,0.5,0.0
2015-01-08,皑,程,9.2,NaN,0.16,NaN,0.0,3.2,4.8,19.0,5.0,0.0,NaN,42.0,1.6,NaN,45.0,39.0,0.7,0.2
2015-01-15,皑,程,9.2,NaN,0.2,NaN,0.1,2.2,4.0,24.0,16.0,8.0,NaN,42.0,1.6,NaN,17.0,27.0,0.5,0.1
2015-01-22,皑,程,8.6,NaN,0.18,NaN,0.0,5.0,5.9,10.0,24.0,11.0,NaN,45.0,1.2,NaN,0.1,3.5,0.7,0.1
2015-01-29,皑,程,7.9,NaN,0.18,NaN,0.1,3.8,4.4,6.2,12.0,7.0,NaN,63.0,0.6,NaN,47.0,44.0,2.4,1.3
2015-02-05,皑,程,6.1,NaN,0.14,NaN,0.0,2.6,2.9,11.0,18.0,7.0,NaN,46.0,1.3,NaN,42.0,30.0,0.9,0.3
2015-02-12,皑,程,11.0,NaN,0.3,NaN,0.0,3.6,3.8,12.0,24.0,18.0,NaN,32.0,0.7,NaN,1.6,4.6,0.8,0.1
2015-02-19,皑,程,11.0,NaN,0.16,NaN,0.0,2.4,3.1,6.8,11.0,5.0,0.2,66.0,0.6,NaN,2.9,6.6,0.5,0.2
2015-02-26,皑,程,6.9,NaN,0.18,NaN,0.0,1.5,2.0,20.0,2.0,0.0,0.2,68.0,0.0,NaN,35.0,14.0,1.0,0.3
2015-03-05,皑,程,7.0,NaN,0.18,NaN,0.1,2.0,2.5,0.5,2.0,1.0,0.2,70.0,1.1,NaN,7.2,18.0,0.9,0.3
2015-03-12,皑,程,9.0,NaN,0.13,NaN,0.0,2.6,3.2,17.0,11.0,3.0,NaN,44.0,0.7,NaN,0.1,1.5,0.7,0.1
2015-03-19,皑,程,10.0,NaN,0.14,NaN,0.0,1.9,3.2,14.0,31.0,7.0,NaN,51.0,1.5,NaN,41.0,39.0,1.3,1.3
2015-03-26,皑,程,12.0,NaN,0.13,NaN,0.0,2.1,2.2,13.0,16.0,6.0,NaN,62.0,0.9,NaN,0.6,1.9,0.6,0.1
2015-04-02,皑,程,10.0,NaN,0.13,NaN,0.1,2.0,2.4,13.0,17.0,4.0,0.2,71.0,0.8,NaN,1.7,17.0,0.8,0.3
2015-04-09,皑,程,11.0,NaN,0.12,NaN,0.0,2.2,2.7,33.0,12.0,7.0,NaN,30.0,1.2,NaN,12.0,0.9,0.7,0.1
2015-04-16,皑,程,14.0,NaN,0.12,NaN,0.0,2.5,2.6,13.0,22.0,3.0,0.2,45.0,1.2,NaN,4.4,2.5,0.7,0.2
2015-04-23,皑,程,16.0,NaN,0.18,NaN,0.1,1.7,2.5,10.0,20.0,14.0,NaN,40.0,1.3,NaN,5.1,13.0,0.7,0.1
2015-04-30,皑,程,15.0,NaN,0.14,NaN,0.3,3.6,4.4,11.0,35.0,16.0,NaN,67.0,1.3,NaN,2.4,3.5,0.6,0.1
2015-05-07,皑,程,18.0,NaN,0.14,NaN,0.1,2.9,4.3,21.0,18.0,2.0,NaN,38.0,1.4,NaN,14.0,18.0,0.5,0.0
2015-05-14,皑,程,20.0,NaN,0.08,NaN,0.0,1.6,2.6,6.1,15.0,0.0,0.2,67.0,0.7,NaN,28.0,20.0,0.6,0.1
2015-05-21,皑,程,17.0,NaN,0.14,NaN,0.1,1.6,1.9,25.0,6.0,0.0,0.2,62.0,1.0,NaN,8.3,6.9,0.5,0.2
2015-05-28,皑,程,21.0,NaN,0.06,NaN,0.1,2.0,2.6,5.8,11.0,3.0,0.2,76.0,0.9,NaN,9.0,14.0,0.5,0.3
2015-06-04,皑,程,19.0,NaN,0.07,NaN,0.1,1.9,2.5,13.0,17.0,4.0,NaN,71.0,1.4,NaN,20.0,2.1,0.5,0.1
2015-06-11,皑,程,25.0,NaN,0.05,NaN,0.0,1.0,1.3,3.5,16.0,0.0,NaN,65.0,1.2,NaN,45.0,28.0,0.5,0.3
2015-06-18,皑,程,23.0,NaN,0.06,NaN,0.0,1.1,1.4,11.0,9.0,0.0,NaN,75.0,1.2,NaN,14.0,28.0,0.5,0.3
2015-06-25,皑,程,26.0,NaN,0.07,NaN,0.0,0.8,1.5,10.0,23.0,7.0,NaN,73.0,1.7,NaN,192.0,189.0,4.7,4.7
