ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2016-01-01,瓾ń,程,26.0,NaN,1.76,NaN,38.0,44.0,66.0,80.0,75.0,48.0,13.0,93.0,8.1,NaN,354.0,356.0,4.6,4.2
2016-01-08,瓾ń,程,25.0,NaN,0.85,NaN,19.0,30.0,35.0,67.0,69.0,43.0,3.6,91.0,4.9,NaN,359.0,357.0,4.7,3.8
2016-01-15,瓾ń,程,24.0,NaN,1.1,NaN,17.0,31.0,33.0,72.0,73.0,53.0,NaN,92.0,4.0,NaN,346.0,358.0,4.1,4.0
2016-01-22,瓾ń,程,23.0,NaN,1.31,NaN,35.0,48.0,58.0,72.0,66.0,37.0,6.0,91.0,6.3,NaN,354.0,359.0,4.4,3.9
2016-01-29,瓾ń,程,25.0,NaN,1.18,NaN,39.0,30.0,62.0,59.0,75.0,35.0,9.4,93.0,4.8,NaN,349.0,330.0,4.2,4.6
2016-02-05,瓾ń,程,26.0,NaN,0.99,NaN,30.0,37.0,64.0,72.0,96.0,64.0,NaN,91.0,6.3,NaN,132.0,134.0,4.6,4.5
2016-02-12,瓾ń,程,30.0,NaN,0.71,NaN,14.0,24.0,29.0,75.0,76.0,52.0,1.2,93.0,4.7,NaN,127.0,129.0,5.0,4.2
2016-02-19,瓾ń,程,24.0,NaN,0.88,NaN,15.0,30.0,31.0,92.0,124.0,71.0,2.0,91.0,3.7,NaN,137.0,142.0,4.3,4.2
2016-02-26,瓾ń,程,25.0,NaN,0.89,NaN,21.0,35.0,37.0,98.0,116.0,70.0,NaN,91.0,5.6,NaN,331.0,360.0,5.2,4.7
2016-03-04,瓾ń,程,27.0,NaN,1.11,NaN,21.0,43.0,46.0,81.0,96.0,70.0,NaN,91.0,5.2,NaN,349.0,359.0,5.1,3.6
2016-03-11,瓾ń,程,24.0,NaN,1.86,NaN,47.0,32.0,66.0,40.0,106.0,66.0,5.4,96.0,8.7,NaN,359.0,346.0,3.8,2.5
2016-03-18,瓾ń,程,28.0,NaN,1.04,NaN,21.0,25.0,39.0,67.0,89.0,55.0,10.0,95.0,4.3,NaN,360.0,359.0,3.9,2.9
2016-03-25,瓾ń,程,27.0,NaN,0.89,NaN,9.9,29.0,37.0,98.0,105.0,68.0,NaN,93.0,4.3,NaN,360.0,360.0,4.7,3.7
2016-04-01,瓾ń,程,31.0,NaN,0.77,NaN,7.7,27.0,29.0,90.0,105.0,65.0,NaN,92.0,5.9,NaN,359.0,360.0,5.6,3.4
2016-04-08,瓾ń,程,29.0,NaN,0.97,NaN,13.0,30.0,40.0,89.0,91.0,62.0,14.0,93.0,4.2,NaN,358.0,357.0,5.0,4.8
2016-04-15,瓾ń,程,31.0,NaN,0.93,NaN,6.4,27.0,29.0,87.0,101.0,57.0,NaN,94.0,4.1,NaN,352.0,360.0,5.5,4.7
2016-04-22,瓾ń,程,30.0,NaN,0.73,NaN,12.0,22.0,29.0,74.0,56.0,36.0,19.0,93.0,4.7,NaN,357.0,358.0,4.9,4.1
2016-04-29,瓾ń,程,31.0,NaN,0.76,NaN,12.0,22.0,29.0,108.0,85.0,48.0,18.0,95.0,4.3,NaN,357.0,360.0,5.9,4.5
2016-05-06,瓾ń,程,32.0,NaN,0.5,NaN,9.4,20.0,22.0,94.0,50.0,29.0,NaN,91.0,4.7,NaN,355.0,353.0,4.9,3.9
2016-05-13,瓾ń,程,31.0,NaN,0.66,NaN,6.4,19.0,19.0,95.0,65.0,39.0,NaN,92.0,3.4,NaN,355.0,357.0,4.8,4.3
2016-05-20,瓾ń,程,30.0,NaN,0.82,NaN,5.8,25.0,27.0,98.0,92.0,55.0,1.2,94.0,4.1,NaN,349.0,356.0,4.9,3.7
2016-05-27,瓾ń,程,32.0,NaN,0.55,NaN,9.5,19.0,25.0,63.0,45.0,29.0,25.0,92.0,5.8,NaN,359.0,354.0,5.3,4.1
2016-06-03,瓾ń,程,33.0,NaN,0.42,NaN,8.5,18.0,19.0,82.0,39.0,22.0,6.2,91.0,3.8,NaN,357.0,359.0,5.3,4.6
2016-06-10,瓾ń,程,30.0,NaN,0.78,NaN,14.0,17.0,26.0,40.0,38.0,17.0,31.0,95.0,4.6,NaN,360.0,359.0,3.8,3.2
2016-06-17,瓾ń,程,33.0,NaN,0.45,NaN,6.1,15.0,17.0,97.0,60.0,35.0,15.0,94.0,5.0,NaN,351.0,359.0,5.2,4.6
2016-06-24,瓾ń,程,34.0,NaN,0.42,NaN,8.3,15.0,16.0,109.0,56.0,37.0,19.0,91.0,4.4,NaN,359.0,358.0,4.9,4.4
2016-07-01,瓾ń,程,34.0,NaN,0.54,NaN,6.4,15.0,17.0,84.0,62.0,42.0,24.0,92.0,4.0,NaN,360.0,359.0,5.0,3.9
2016-07-08,瓾ń,程,33.0,NaN,0.41,NaN,8.1,16.0,17.0,55.0,60.0,42.0,51.0,93.0,3.8,NaN,357.0,360.0,7.3,6.9
2016-07-15,瓾ń,程,33.0,NaN,0.39,NaN,7.4,16.0,18.0,62.0,37.0,25.0,NaN,93.0,4.1,NaN,357.0,359.0,5.0,3.9
2016-07-22,瓾ń,程,34.0,NaN,0.41,NaN,6.1,19.0,21.0,86.0,55.0,32.0,NaN,88.0,4.3,NaN,358.0,358.0,4.9,4.3
2016-07-29,瓾ń,程,34.0,NaN,0.49,NaN,8.7,21.0,22.0,94.0,49.0,39.0,29.0,91.0,5.8,NaN,359.0,353.0,5.0,4.0
2016-08-05,瓾ń,程,33.0,NaN,0.43,NaN,5.7,17.0,19.0,93.0,45.0,33.0,20.0,92.0,3.5,NaN,357.0,358.0,5.4,4.0
2016-08-12,瓾ń,程,33.0,NaN,0.41,NaN,9.6,16.0,18.0,73.0,43.0,30.0,8.0,92.0,6.0,NaN,358.0,358.0,5.2,4.3
2016-08-19,瓾ń,程,33.0,NaN,0.52,NaN,5.9,16.0,17.0,98.0,78.0,54.0,NaN,92.0,4.1,NaN,359.0,359.0,4.9,4.3
2016-08-26,瓾ń,程,33.0,NaN,0.59,NaN,4.0,18.0,19.0,119.0,81.0,60.0,NaN,91.0,4.2,NaN,355.0,358.0,4.7,4.0
2016-09-02,瓾ń,程,32.0,NaN,0.54,NaN,11.0,20.0,22.0,84.0,57.0,41.0,9.4,93.0,3.8,NaN,358.0,358.0,4.2,4.1
2016-09-09,瓾ń,程,33.0,NaN,0.67,NaN,8.4,19.0,21.0,62.0,48.0,31.0,4.8,93.0,3.4,NaN,360.0,355.0,11.0,9.1
2016-09-16,瓾ń,程,32.0,NaN,0.66,NaN,7.9,25.0,25.0,112.0,65.0,38.0,NaN,94.0,4.6,NaN,352.0,348.0,4.6,4.0
2016-09-23,瓾ń,程,33.0,NaN,0.59,NaN,6.8,19.0,22.0,101.0,59.0,36.0,11.0,95.0,4.3,NaN,351.0,354.0,6.6,5.8
2016-09-30,瓾ń,程,34.0,NaN,0.74,NaN,11.0,21.0,22.0,100.0,75.0,50.0,NaN,93.0,4.0,NaN,349.0,353.0,5.9,4.4
2016-10-07,瓾ń,程,30.0,NaN,0.67,NaN,12.0,21.0,24.0,65.0,60.0,42.0,19.0,79.0,4.3,NaN,360.0,357.0,4.9,3.7
2016-10-14,瓾ń,程,34.0,NaN,0.75,NaN,14.0,25.0,27.0,105.0,104.0,73.0,NaN,77.0,4.5,NaN,356.0,357.0,7.4,5.6
2016-10-21,瓾ń,程,32.0,NaN,0.69,NaN,14.0,31.0,33.0,89.0,91.0,56.0,NaN,85.0,8.4,NaN,358.0,360.0,5.0,4.1
2016-10-28,瓾ń,程,31.0,NaN,0.72,NaN,7.8,27.0,28.0,116.0,77.0,50.0,NaN,84.0,3.7,NaN,354.0,359.0,4.5,4.4
2016-11-04,瓾ń,程,29.0,NaN,0.73,NaN,12.0,27.0,30.0,98.0,83.0,47.0,NaN,85.0,5.5,NaN,339.0,355.0,4.4,3.8
2016-11-11,瓾ń,程,32.0,NaN,0.91,NaN,11.0,33.0,34.0,127.0,127.0,78.0,NaN,86.0,5.5,NaN,301.0,355.0,4.5,4.1
2016-11-18,瓾ń,程,30.0,NaN,0.85,NaN,23.0,37.0,39.0,105.0,83.0,53.0,2.6,87.0,4.7,NaN,350.0,356.0,4.0,3.2
2016-11-25,瓾ń,程,28.0,NaN,0.81,NaN,14.0,34.0,38.0,68.0,62.0,41.0,NaN,87.0,4.5,NaN,355.0,329.0,4.4,3.9
2016-12-02,瓾ń,程,29.0,NaN,0.84,NaN,13.0,34.0,36.0,98.0,110.0,62.0,NaN,86.0,4.6,NaN,306.0,328.0,4.4,4.2
2016-12-09,瓾ń,程,28.0,NaN,0.93,NaN,27.0,38.0,44.0,90.0,100.0,57.0,NaN,86.0,5.4,NaN,307.0,345.0,5.8,4.2
2016-12-16,瓾ń,程,30.0,NaN,1.4,NaN,28.0,62.0,65.0,88.0,87.0,56.0,NaN,86.0,7.5,NaN,335.0,309.0,4.0,4.0
2016-12-23,瓾ń,程,27.0,NaN,1.04,NaN,31.0,39.0,45.0,89.0,120.0,72.0,NaN,86.0,4.3,NaN,360.0,357.0,4.6,4.7
