ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2016-01-01,﹁べ,程,26.0,2.3,2.33,1.98,169.0,44.0,201.0,61.0,111.0,63.0,4.8,95.0,6.0,4.2,358.0,355.0,6.6,2.9
2016-01-08,﹁べ,程,24.0,2.1,0.96,0.63,32.0,38.0,61.0,58.0,71.0,50.0,NaN,93.0,3.6,2.4,357.0,359.0,6.7,3.7
2016-01-15,﹁べ,程,24.0,2.1,0.86,0.85,33.0,38.0,65.0,58.0,79.0,53.0,8.6,94.0,5.2,2.7,360.0,355.0,6.6,3.2
2016-01-22,﹁べ,程,21.0,2.0,1.41,0.93,110.0,50.0,150.0,56.0,74.0,46.0,3.4,93.0,5.4,2.9,359.0,354.0,9.4,5.4
2016-01-29,﹁べ,程,23.0,1.9,1.08,1.75,50.0,38.0,88.0,60.0,61.0,26.0,5.6,95.0,4.1,3.6,358.0,356.0,8.6,4.0
2016-02-05,﹁べ,程,24.0,2.6,1.15,0.76,40.0,45.0,84.0,78.0,180.0,108.0,NaN,94.0,8.5,3.2,357.0,360.0,9.5,5.6
2016-02-12,﹁べ,程,30.0,2.2,0.99,0.59,30.0,43.0,61.0,61.0,89.0,54.0,1.2,93.0,4.1,2.5,355.0,352.0,7.3,5.2
2016-02-19,﹁べ,程,21.0,2.1,1.5,0.69,67.0,49.0,117.0,57.0,155.0,102.0,NaN,90.0,8.7,2.8,356.0,360.0,7.6,4.4
2016-02-26,﹁べ,程,24.0,2.1,1.19,1.39,42.0,62.0,86.0,81.0,124.0,75.0,NaN,90.0,22.0,3.4,359.0,359.0,7.0,3.2
2016-03-04,﹁べ,程,27.0,2.2,1.28,2.13,51.0,50.0,96.0,64.0,126.0,80.0,NaN,91.0,7.8,4.3,358.0,359.0,7.9,4.0
2016-03-11,﹁べ,程,24.0,2.4,1.8,1.59,96.0,61.0,128.0,52.0,97.0,65.0,8.2,94.0,7.6,4.0,360.0,355.0,7.2,4.4
2016-03-18,﹁べ,程,28.0,2.4,1.67,1.86,80.0,49.0,116.0,81.0,115.0,84.0,16.0,96.0,8.4,4.0,360.0,359.0,7.2,4.1
2016-03-25,﹁べ,程,27.0,2.4,1.09,1.26,44.0,59.0,103.0,89.0,117.0,87.0,NaN,89.0,15.0,3.3,360.0,354.0,7.2,3.0
2016-04-01,﹁べ,程,31.0,2.7,1.26,1.84,36.0,59.0,76.0,83.0,150.0,105.0,NaN,92.0,9.1,4.1,356.0,359.0,4.7,4.2
2016-04-08,﹁べ,程,30.0,2.2,0.97,1.15,21.0,52.0,71.0,70.0,84.0,59.0,12.0,93.0,15.0,3.0,356.0,355.0,7.3,5.7
2016-04-15,﹁べ,程,32.0,2.4,8.87,1.33,54.0,50.0,102.0,95.0,93.0,59.0,NaN,96.0,8.5,3.2,355.0,356.0,6.6,5.2
2016-04-22,﹁べ,程,30.0,2.5,NaN,0.99,34.0,38.0,64.0,79.0,100.0,55.0,NaN,93.0,6.4,3.1,359.0,358.0,4.7,3.3
2016-04-29,﹁べ,程,32.0,2.7,NaN,0.92,25.0,52.0,58.0,121.0,138.0,101.0,NaN,94.0,9.1,3.6,358.0,360.0,5.6,4.5
2016-05-06,﹁べ,程,32.0,2.1,NaN,0.64,14.0,36.0,49.0,89.0,68.0,48.0,NaN,94.0,16.0,2.7,358.0,333.0,5.3,4.7
2016-05-13,﹁べ,程,32.0,2.1,NaN,0.84,15.0,27.0,41.0,91.0,78.0,57.0,NaN,82.0,22.0,2.9,358.0,360.0,7.3,3.7
2016-05-20,﹁べ,程,33.0,2.2,1.13,0.81,34.0,48.0,62.0,95.0,112.0,101.0,8.8,88.0,9.4,2.9,358.0,360.0,3.9,3.8
2016-05-27,﹁べ,程,35.0,1.8,0.49,0.41,10.0,22.0,27.0,91.0,57.0,34.0,NaN,84.0,5.3,2.0,280.0,282.0,5.5,5.3
2016-06-03,﹁べ,程,34.0,1.9,0.78,0.98,36.0,39.0,54.0,85.0,82.0,34.0,13.0,86.0,18.0,2.7,359.0,357.0,4.6,4.2
2016-06-10,﹁べ,程,33.0,1.7,0.65,0.7,25.0,30.0,50.0,48.0,65.0,22.0,30.0,89.0,5.0,2.3,354.0,324.0,6.6,5.8
2016-06-17,﹁べ,程,34.0,1.8,0.46,0.49,28.0,25.0,45.0,68.0,57.0,34.0,NaN,83.0,11.0,2.1,358.0,323.0,4.7,3.8
2016-06-24,﹁べ,程,34.0,1.9,0.6,0.54,15.0,29.0,36.0,85.0,85.0,31.0,NaN,84.0,14.0,2.2,349.0,338.0,4.7,3.9
2016-07-01,﹁べ,程,35.0,2.0,0.69,0.66,25.0,27.0,52.0,97.0,78.0,40.0,11.0,86.0,18.0,2.5,351.0,328.0,5.3,3.8
2016-07-08,﹁べ,程,35.0,1.9,0.51,0.41,28.0,19.0,42.0,51.0,42.0,22.0,NaN,87.0,5.4,2.3,327.0,348.0,7.4,6.8
2016-07-15,﹁べ,程,35.0,1.9,0.63,0.67,16.0,27.0,39.0,54.0,62.0,27.0,17.0,86.0,5.1,2.3,275.0,303.0,4.9,4.4
2016-07-22,﹁べ,程,35.0,2.0,0.45,0.5,13.0,26.0,33.0,78.0,67.0,50.0,NaN,82.0,13.0,2.3,332.0,340.0,4.7,3.3
2016-07-29,﹁べ,程,36.0,2.1,0.63,1.01,12.0,35.0,38.0,95.0,68.0,54.0,NaN,86.0,22.0,2.8,358.0,357.0,5.7,4.8
2016-08-05,﹁べ,程,34.0,2.1,0.83,1.28,11.0,30.0,34.0,84.0,75.0,45.0,NaN,89.0,6.7,3.2,357.0,356.0,6.0,3.0
2016-08-12,﹁べ,程,34.0,2.3,0.9,0.59,25.0,41.0,55.0,68.0,48.0,36.0,23.0,89.0,10.0,2.8,357.0,355.0,5.1,3.1
2016-08-19,﹁べ,程,34.0,2.1,0.66,0.5,19.0,26.0,35.0,98.0,78.0,55.0,NaN,86.0,15.0,2.3,360.0,352.0,5.0,3.2
2016-08-26,﹁べ,程,34.0,2.2,0.76,0.53,5.2,32.0,38.0,105.0,95.0,64.0,NaN,82.0,21.0,2.5,354.0,352.0,5.3,3.7
2016-09-02,﹁べ,程,34.0,2.1,0.61,0.87,18.0,25.0,37.0,73.0,62.0,37.0,5.4,88.0,5.0,2.8,354.0,356.0,5.7,5.4
2016-09-09,﹁べ,程,34.0,2.3,0.88,0.98,37.0,28.0,58.0,68.0,62.0,31.0,10.0,89.0,8.4,2.7,353.0,357.0,6.7,3.9
2016-09-16,﹁べ,程,33.0,2.3,1.03,0.75,40.0,29.0,51.0,93.0,76.0,40.0,NaN,87.0,4.8,2.7,357.0,358.0,6.6,3.0
