ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2016-01-01,芠,程,22.0,NaN,0.8,NaN,34.0,37.0,60.0,50.0,115.0,75.0,13.0,92.0,12.0,NaN,354.0,341.0,8.5,8.2
2016-01-08,芠,程,21.0,NaN,0.98,NaN,25.0,32.0,57.0,51.0,112.0,51.0,5.2,92.0,12.0,NaN,231.0,210.0,8.5,8.3
2016-01-15,芠,程,21.0,NaN,0.64,NaN,6.3,31.0,37.0,55.0,126.0,77.0,7.8,92.0,13.0,NaN,360.0,310.0,8.0,7.3
2016-01-22,芠,程,20.0,NaN,0.68,NaN,37.0,51.0,70.0,46.0,79.0,47.0,8.4,92.0,15.0,NaN,345.0,356.0,10.0,9.5
2016-01-29,芠,程,20.0,NaN,0.63,NaN,26.0,41.0,61.0,55.0,68.0,25.0,8.2,92.0,9.0,NaN,102.0,107.0,10.0,9.9
2016-02-05,芠,程,21.0,NaN,0.81,NaN,6.3,42.0,44.0,80.0,145.0,107.0,NaN,92.0,7.6,NaN,358.0,338.0,8.0,7.9
2016-02-12,芠,程,26.0,NaN,1.36,NaN,17.0,39.0,43.0,48.0,72.0,44.0,11.0,92.0,13.0,NaN,356.0,336.0,11.0,11.0
2016-02-19,芠,程,18.0,NaN,0.82,NaN,23.0,24.0,45.0,55.0,203.0,87.0,1.0,92.0,10.0,NaN,359.0,312.0,11.0,10.0
2016-02-26,芠,程,22.0,NaN,1.05,NaN,36.0,80.0,87.0,87.0,167.0,87.0,NaN,92.0,25.0,NaN,351.0,343.0,9.8,9.0
2016-03-04,芠,程,25.0,NaN,1.0,NaN,11.0,55.0,60.0,67.0,149.0,87.0,NaN,92.0,23.0,NaN,359.0,341.0,11.0,9.8
2016-03-11,芠,程,20.0,NaN,0.97,NaN,31.0,48.0,74.0,55.0,82.0,42.0,14.0,92.0,15.0,NaN,350.0,351.0,9.4,8.6
2016-03-18,芠,程,22.0,NaN,1.08,NaN,34.0,44.0,76.0,71.0,84.0,57.0,8.4,92.0,9.0,NaN,340.0,333.0,9.6,9.6
2016-03-25,芠,程,21.0,NaN,1.0,NaN,23.0,64.0,74.0,86.0,182.0,87.0,NaN,92.0,17.0,NaN,357.0,335.0,8.3,7.7
2016-04-01,芠,程,27.0,NaN,1.31,NaN,28.0,59.0,79.0,67.0,119.0,69.0,NaN,92.0,15.0,NaN,342.0,345.0,7.9,8.2
2016-04-08,芠,程,25.0,NaN,0.76,NaN,25.0,49.0,72.0,56.0,73.0,53.0,12.0,92.0,15.0,NaN,352.0,357.0,8.6,7.1
