ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2016-01-01,﹜孽,程,15.0,NaN,0.18,NaN,0.1,2.0,3.0,0.7,15.0,2.0,0.2,67.0,1.1,NaN,9.7,5.3,0.5,0.0
2016-01-08,﹜孽,程,14.0,NaN,0.22,NaN,0.1,1.3,2.6,2.5,15.0,1.0,0.2,64.0,0.9,NaN,31.0,1.6,0.2,0.0
2016-01-15,﹜孽,程,13.0,NaN,0.22,NaN,0.3,2.2,2.7,2.0,6.0,3.0,0.2,53.0,0.8,NaN,34.0,35.0,0.5,0.1
2016-01-22,﹜孽,程,5.0,NaN,0.15,NaN,0.2,1.4,2.0,3.5,10.0,1.0,0.2,52.0,0.9,NaN,6.0,2.8,0.5,0.1
2016-01-29,﹜孽,程,12.0,NaN,0.17,NaN,0.2,1.4,1.9,2.3,10.0,2.0,0.2,72.0,0.7,NaN,23.0,13.0,0.5,0.2
2016-02-05,﹜孽,程,8.2,NaN,0.17,NaN,0.2,1.9,2.6,18.0,13.0,3.0,NaN,16.0,0.9,NaN,3.1,14.0,0.5,0.1
2016-02-12,﹜孽,程,11.0,NaN,0.17,NaN,0.3,0.9,1.6,10.0,7.0,2.0,0.2,58.0,1.0,NaN,21.0,8.5,0.5,0.2
2016-02-19,﹜孽,程,12.0,NaN,0.15,NaN,0.1,0.8,1.7,12.0,3.0,3.0,0.2,58.0,0.7,NaN,14.0,16.0,0.5,0.2
2016-02-26,﹜孽,程,13.0,NaN,0.17,NaN,0.1,2.1,2.7,6.5,14.0,3.0,NaN,50.0,0.4,NaN,35.0,3.9,0.5,0.1
2016-03-04,﹜孽,程,12.0,NaN,0.17,NaN,0.1,1.7,2.1,7.0,7.0,3.0,NaN,57.0,0.7,NaN,19.0,11.0,0.5,0.1
2016-03-11,﹜孽,程,12.0,NaN,0.19,NaN,0.0,1.6,1.9,4.1,2.0,1.0,0.2,72.0,0.9,NaN,20.0,4.5,0.5,0.1
2016-03-18,﹜孽,程,12.0,NaN,0.18,NaN,0.3,1.5,2.6,2.8,4.0,3.0,0.2,70.0,1.1,NaN,7.2,1.8,0.5,0.1
