ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2016-01-01,繷,程,15.0,1.8,0.26,0.03,0.2,6.0,7.5,1.5,12.0,1.0,0.2,56.0,0.1,1.8,1.9,0.2,0.5,0.1
2016-01-08,繷,程,13.0,1.8,0.27,0.02,0.6,6.2,7.0,11.0,5.0,8.0,0.2,59.0,0.4,1.9,52.0,38.0,0.8,0.1
2016-01-15,繷,程,12.0,1.8,0.22,0.05,0.0,7.3,7.8,1.5,7.0,1.0,0.2,57.0,0.0,1.9,16.0,15.0,0.5,0.1
2016-01-22,繷,程,3.5,1.9,0.18,0.03,0.1,3.6,5.0,1.8,9.0,1.0,0.2,49.0,0.1,1.9,13.0,4.8,0.5,0.2
2016-01-29,繷,程,11.0,1.9,0.22,0.03,0.0,4.4,5.1,1.4,5.0,1.0,0.2,60.0,0.1,1.9,10.0,3.3,0.7,0.2
2016-02-05,繷,程,7.6,1.9,0.22,0.03,0.1,5.0,6.1,1.8,11.0,5.0,NaN,25.0,0.6,1.9,5.4,9.9,0.5,0.2
2016-02-12,繷,程,8.8,1.8,0.16,0.02,0.1,3.2,4.2,2.1,9.0,1.0,0.2,31.0,0.7,1.9,4.6,3.0,0.5,0.1
2016-02-19,繷,程,13.0,1.9,0.16,0.03,0.2,5.3,5.8,1.7,9.0,1.0,NaN,52.0,0.3,1.9,6.6,14.0,0.4,0.2
2016-02-26,繷,程,11.0,1.9,0.21,0.02,0.0,5.1,7.3,1.7,11.0,3.0,NaN,40.0,0.4,1.9,36.0,4.0,0.6,0.1
2016-03-04,繷,程,11.0,1.8,0.16,0.02,0.3,6.1,7.5,1.7,7.0,1.0,NaN,51.0,0.1,1.9,6.1,5.9,0.5,0.1
2016-03-11,繷,程,11.0,1.9,0.21,0.03,0.1,7.2,8.2,1.6,8.0,2.0,0.2,67.0,0.0,1.9,4.8,1.1,0.4,0.1
2016-03-18,繷,程,11.0,1.8,0.2,0.02,0.0,7.3,8.0,1.6,11.0,3.0,0.2,73.0,0.2,1.9,2.2,5.5,0.6,0.1
2016-03-25,繷,程,11.0,1.9,0.23,0.03,0.0,6.9,8.1,3.9,19.0,8.0,NaN,27.0,0.1,1.9,7.5,12.0,0.5,0.1
2016-04-01,繷,程,19.0,1.9,0.23,0.0,0.6,4.2,4.9,1.6,38.0,15.0,NaN,59.0,0.1,1.9,0.0,0.5,0.5,0.1
2016-04-08,繷,程,20.0,1.9,0.23,0.0,0.3,5.1,6.1,1.5,14.0,4.0,0.2,72.0,0.9,1.9,0.1,19.0,0.4,0.0
2016-04-15,繷,程,18.0,1.7,0.17,0.01,0.2,4.2,4.6,2.0,11.0,4.0,NaN,55.0,0.0,1.8,7.9,12.0,0.5,0.2
2016-04-22,繷,程,22.0,1.7,0.14,0.0,0.1,4.4,4.5,2.3,24.0,7.0,0.2,50.0,0.9,1.7,7.3,13.0,0.5,0.1
2016-04-29,繷,程,20.0,1.7,0.16,0.01,0.4,3.2,4.4,1.7,28.0,7.0,NaN,40.0,0.8,1.8,0.9,28.0,0.6,0.1
2016-05-06,繷,程,21.0,1.7,0.14,0.0,0.7,2.8,4.6,1.7,20.0,3.0,NaN,59.0,0.9,1.7,29.0,7.3,0.5,0.1
2016-05-13,繷,程,19.0,1.8,0.18,0.0,0.1,3.1,4.1,8.5,13.0,3.0,NaN,65.0,0.6,1.8,46.0,2.4,0.6,0.2
2016-05-20,繷,程,23.0,1.7,0.17,0.01,0.5,5.6,7.4,1.6,15.0,2.0,0.2,66.0,0.1,1.7,9.9,13.0,0.5,0.1
2016-05-27,繷,程,27.0,1.7,0.06,0.0,0.2,2.8,3.8,5.1,16.0,2.0,NaN,47.0,0.6,1.7,97.0,69.0,0.6,0.2
2016-06-03,繷,程,26.0,1.3,0.06,0.0,0.4,3.5,4.9,3.2,16.0,4.0,NaN,54.0,0.0,1.5,1.9,0.8,0.6,0.1
2016-06-10,繷,程,25.0,1.7,0.1,0.0,0.1,2.3,3.3,6.3,5.0,1.0,0.2,56.0,0.7,1.7,70.0,51.0,0.7,0.3
2016-06-17,繷,程,27.0,1.6,0.1,0.0,0.0,1.2,1.5,2.5,15.0,1.0,NaN,57.0,0.7,1.6,47.0,29.0,0.7,0.2
2016-06-24,繷,程,27.0,1.7,0.1,0.0,0.4,1.6,3.2,3.4,13.0,1.0,NaN,57.0,0.9,1.7,15.0,7.5,0.6,0.2
2016-07-01,繷,程,26.0,1.7,0.09,0.0,0.2,1.6,2.2,4.7,10.0,1.0,NaN,54.0,0.6,1.7,7.9,54.0,0.7,0.1
2016-07-08,繷,程,27.0,1.6,0.08,0.0,0.2,2.5,3.6,2.4,9.0,1.0,NaN,49.0,0.8,1.6,59.0,60.0,0.7,0.3
2016-07-15,繷,程,27.0,1.5,0.07,0.0,0.1,2.0,3.6,3.7,12.0,1.0,NaN,53.0,0.5,1.6,36.0,60.0,0.6,0.4
2016-07-22,繷,程,27.0,1.6,0.08,0.0,0.3,2.5,3.4,2.4,17.0,4.0,NaN,51.0,0.2,1.6,47.0,20.0,0.7,0.2
2016-07-29,繷,程,27.0,1.6,0.11,0.0,0.0,2.1,3.8,2.3,15.0,3.0,NaN,43.0,0.1,1.6,36.0,36.0,0.5,0.3
2016-08-05,繷,程,27.0,1.6,0.09,0.0,0.1,1.7,2.3,2.0,11.0,2.0,NaN,61.0,0.8,1.6,1.4,4.0,0.7,0.1
