ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2016-01-01,盵璉,程,14.0,NaN,0.24,NaN,0.4,6.0,7.3,0.8,9.0,9.0,0.2,60.0,0.8,NaN,4.3,1.6,0.6,0.3
2016-01-08,盵璉,程,13.0,NaN,0.22,NaN,0.3,6.1,6.8,2.2,10.0,5.0,NaN,51.0,1.1,NaN,2.6,32.0,1.0,0.1
2016-01-15,盵璉,程,14.0,NaN,0.17,NaN,0.3,5.3,5.8,4.1,4.0,5.0,0.2,60.0,0.7,NaN,1.9,8.7,0.9,0.4
2016-01-22,盵璉,程,5.6,NaN,0.16,NaN,0.5,4.0,4.7,2.7,2.0,5.0,0.2,45.0,1.1,NaN,4.0,12.0,0.6,0.3
2016-01-29,盵璉,程,12.0,NaN,0.13,NaN,0.3,2.4,3.5,1.2,5.0,5.0,0.2,69.0,0.0,NaN,21.0,13.0,1.5,0.5
2016-02-05,盵璉,程,8.9,NaN,0.24,NaN,0.1,5.9,6.7,2.3,26.0,17.0,NaN,14.0,0.9,NaN,1.4,0.9,0.5,0.3
2016-02-12,盵璉,程,9.9,NaN,0.11,NaN,0.2,2.4,3.4,1.3,18.0,6.0,NaN,36.0,0.5,NaN,9.7,23.0,0.5,0.2
2016-02-19,盵璉,程,13.0,NaN,0.21,NaN,0.1,5.4,6.4,4.2,13.0,7.0,NaN,56.0,0.1,NaN,0.3,0.2,0.5,0.2
2016-02-26,盵璉,程,11.0,NaN,0.2,NaN,0.2,6.1,6.7,3.0,20.0,10.0,NaN,45.0,1.2,NaN,3.1,4.3,0.5,0.0
2016-03-04,盵璉,程,12.0,NaN,0.13,NaN,0.0,3.7,4.3,1.8,9.0,6.0,NaN,48.0,0.9,NaN,2.9,0.6,0.5,0.1
2016-03-11,盵璉,程,11.0,NaN,0.19,NaN,0.1,4.6,5.5,1.6,3.0,8.0,0.2,70.0,0.0,NaN,1.2,6.7,0.5,0.3
2016-03-18,盵璉,程,12.0,NaN,0.22,NaN,0.3,2.3,3.1,1.7,14.0,8.0,0.2,64.0,0.7,NaN,3.8,5.1,0.6,0.1
2016-03-25,盵璉,程,10.0,NaN,0.19,NaN,0.0,5.5,6.4,4.3,15.0,13.0,NaN,25.0,0.8,NaN,4.1,0.0,0.5,0.2
2016-04-01,盵璉,程,19.0,NaN,0.13,NaN,0.1,2.4,2.7,1.9,26.0,7.0,NaN,53.0,0.2,NaN,4.4,0.7,0.5,0.1
2016-04-08,盵璉,程,22.0,NaN,0.15,NaN,0.0,1.3,2.1,6.0,8.0,9.0,0.2,50.0,0.7,NaN,2.0,5.4,0.6,0.2
2016-04-15,盵璉,程,18.0,NaN,0.12,NaN,0.0,1.6,2.8,1.8,14.0,8.0,NaN,54.0,0.0,NaN,1.6,6.2,0.5,0.3
2016-04-22,盵璉,程,23.0,NaN,0.11,NaN,0.0,1.7,2.0,1.6,11.0,7.0,NaN,60.0,0.9,NaN,5.1,1.4,0.6,0.1
2016-04-29,盵璉,程,21.0,NaN,0.09,NaN,0.7,1.5,2.8,1.6,10.0,7.0,NaN,40.0,0.4,NaN,6.5,21.0,0.5,0.1
2016-05-06,盵璉,程,23.0,NaN,0.09,NaN,0.2,1.4,2.4,1.8,14.0,6.0,NaN,57.0,0.9,NaN,6.1,1.1,0.5,0.1
2016-05-13,盵璉,程,20.0,NaN,0.14,NaN,0.1,2.1,3.7,5.7,14.0,8.0,NaN,60.0,1.4,NaN,1.8,1.3,0.6,0.0
2016-05-20,盵璉,程,23.0,NaN,0.11,NaN,0.1,2.8,3.2,2.9,12.0,7.0,0.2,71.0,0.1,NaN,0.5,2.4,0.5,0.1
2016-05-27,盵璉,程,27.0,NaN,0.05,NaN,0.0,1.1,1.7,2.8,7.0,6.0,NaN,53.0,0.7,NaN,89.0,82.0,0.6,0.6
2016-06-03,盵璉,程,25.0,NaN,0.08,NaN,0.0,1.0,1.3,1.8,8.0,5.0,0.2,61.0,0.4,NaN,26.0,7.6,0.5,0.1
2016-06-10,盵璉,程,25.0,NaN,0.06,NaN,0.4,0.3,2.0,2.7,5.0,5.0,0.2,68.0,0.4,NaN,120.0,118.0,0.7,0.6
2016-06-17,盵璉,程,26.0,NaN,0.05,NaN,0.3,0.9,1.5,2.3,11.0,7.0,NaN,57.0,0.5,NaN,23.0,3.3,0.6,0.2
2016-06-24,盵璉,程,26.0,NaN,0.04,NaN,0.0,0.8,1.2,2.2,7.0,5.0,NaN,49.0,0.0,NaN,42.0,23.0,0.5,0.3
2016-07-01,盵璉,程,26.0,NaN,0.06,NaN,0.4,1.3,2.6,2.2,8.0,7.0,0.2,58.0,0.4,NaN,10.0,16.0,0.5,0.2
2016-07-08,盵璉,程,26.0,NaN,0.05,NaN,0.0,1.0,1.2,3.8,2.0,5.0,0.2,61.0,0.6,NaN,26.0,27.0,0.9,0.2
2016-07-15,盵璉,程,27.0,NaN,0.07,NaN,0.4,1.1,1.6,1.3,17.0,9.0,NaN,52.0,0.6,NaN,76.0,73.0,0.6,0.6
2016-07-22,盵璉,程,26.0,NaN,0.06,NaN,0.0,1.2,2.5,2.7,15.0,7.0,NaN,41.0,0.8,NaN,13.0,12.0,0.5,0.0
2016-07-29,盵璉,程,27.0,NaN,0.07,NaN,0.1,1.5,1.7,1.8,12.0,7.0,0.2,48.0,0.5,NaN,21.0,13.0,0.6,0.1
2016-08-05,盵璉,程,26.0,NaN,0.06,NaN,0.2,1.9,2.5,5.1,10.0,6.0,NaN,48.0,0.7,NaN,1.6,13.0,0.5,0.2
2016-08-12,盵璉,程,26.0,NaN,0.07,NaN,0.4,1.9,2.9,2.2,6.0,5.0,0.2,60.0,0.7,NaN,23.0,13.0,0.6,0.2
2016-08-19,盵璉,程,24.0,NaN,0.07,NaN,0.0,1.3,1.0,0.8,16.0,5.0,NaN,58.0,0.8,NaN,13.0,12.0,0.5,0.2
2016-08-26,盵璉,程,25.0,NaN,0.13,NaN,0.0,2.6,2.8,10.0,24.0,11.0,NaN,44.0,1.1,NaN,1.7,6.0,0.6,0.1
2016-09-02,盵璉,程,25.0,NaN,0.07,NaN,0.1,1.8,2.5,6.0,4.0,5.0,0.2,68.0,0.8,NaN,3.9,5.4,0.6,0.4
2016-09-09,盵璉,程,25.0,NaN,0.07,NaN,0.1,1.3,1.9,1.8,9.0,5.0,NaN,58.0,0.3,NaN,11.0,10.0,0.5,0.2
2016-09-16,盵璉,程,23.0,NaN,0.06,NaN,0.0,1.7,2.8,2.2,6.0,5.0,NaN,53.0,0.6,NaN,3.9,1.3,0.5,0.1
2016-09-23,盵璉,程,19.0,NaN,0.06,NaN,0.1,1.5,2.3,1.2,28.0,5.0,NaN,0.3,1.0,NaN,0.7,1.0,0.5,0.1
2016-09-30,盵璉,程,24.0,NaN,0.07,NaN,0.1,1.9,2.6,1.7,9.0,5.0,NaN,51.0,NaN,NaN,0.5,0.0,0.6,0.2
2016-10-07,盵璉,程,23.0,NaN,0.11,NaN,0.0,2.3,4.5,1.3,10.0,5.0,0.2,61.0,0.0,NaN,7.2,6.9,0.5,0.1
2016-10-14,盵璉,程,23.0,NaN,0.17,NaN,0.0,3.5,4.0,3.2,34.0,21.0,NaN,51.0,0.9,NaN,1.3,1.9,0.5,0.1
2016-10-21,盵璉,程,25.0,NaN,0.09,NaN,0.4,1.5,2.6,2.9,13.0,8.0,NaN,52.0,1.3,NaN,1.2,1.5,0.5,0.2
