ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2016-01-01,オ犁,程,28.0,2.5,1.93,0.97,56.0,52.0,80.0,102.0,144.0,104.0,NaN,100.0,18.0,3.5,356.0,360.0,5.1,3.6
2016-01-08,オ犁,程,25.0,2.2,0.99,0.45,20.0,37.0,47.0,87.0,142.0,90.0,NaN,90.0,7.5,2.5,359.0,359.0,5.8,3.6
2016-01-15,オ犁,程,26.0,2.6,1.51,0.63,26.0,41.0,60.0,81.0,148.0,89.0,NaN,92.0,7.2,2.9,359.0,359.0,5.5,3.4
2016-01-22,オ犁,程,24.0,2.1,1.49,1.05,21.0,87.0,107.0,83.0,127.0,69.0,1.4,89.0,13.0,3.2,355.0,359.0,7.8,3.6
2016-01-29,オ犁,程,24.0,2.5,2.06,1.41,89.0,37.0,110.0,75.0,97.0,59.0,NaN,91.0,9.0,3.8,349.0,334.0,5.8,4.6
2016-02-05,オ犁,程,28.0,2.4,1.43,0.7,30.0,58.0,76.0,78.0,145.0,128.0,NaN,90.0,9.4,3.1,359.0,358.0,6.6,5.3
2016-02-12,オ犁,程,30.0,2.2,1.79,0.69,58.0,41.0,85.0,79.0,107.0,73.0,NaN,92.0,8.1,2.8,360.0,360.0,4.9,3.9
2016-02-19,オ犁,程,24.0,2.2,1.94,0.67,44.0,42.0,86.0,109.0,143.0,106.0,NaN,87.0,8.3,2.8,360.0,360.0,4.7,4.4
2016-02-26,オ犁,程,25.0,2.3,1.41,0.64,25.0,50.0,72.0,88.0,170.0,97.0,NaN,87.0,10.0,2.8,358.0,358.0,5.1,4.6
2016-03-04,オ犁,程,28.0,2.3,1.98,0.79,56.0,57.0,89.0,114.0,121.0,102.0,NaN,88.0,17.0,2.9,360.0,359.0,5.1,4.7
2016-03-11,オ犁,程,26.0,2.5,2.29,1.05,38.0,60.0,98.0,110.0,131.0,96.0,3.6,92.0,12.0,3.5,358.0,359.0,4.8,4.3
2016-03-18,オ犁,程,29.0,2.6,1.98,0.93,42.0,46.0,80.0,81.0,125.0,87.0,11.0,90.0,12.0,3.5,358.0,358.0,6.3,5.8
2016-03-25,オ犁,程,28.0,2.4,1.61,0.82,20.0,61.0,75.0,122.0,124.0,97.0,NaN,90.0,8.7,3.1,360.0,359.0,6.1,3.6
2016-04-01,オ犁,程,32.0,2.6,1.1,0.5,27.0,42.0,51.0,95.0,137.0,103.0,NaN,88.0,24.0,3.0,342.0,359.0,7.6,5.2
2016-04-08,オ犁,程,31.0,2.2,1.56,2.69,32.0,48.0,63.0,94.0,70.0,50.0,24.0,92.0,24.0,4.6,359.0,359.0,5.5,4.4
2016-04-15,オ犁,程,32.0,2.3,1.23,0.74,30.0,33.0,51.0,106.0,127.0,72.0,NaN,93.0,12.0,3.0,360.0,358.0,4.6,4.2
2016-04-22,オ犁,程,31.0,2.4,1.19,0.51,19.0,38.0,57.0,78.0,72.0,42.0,NaN,88.0,21.0,2.7,360.0,357.0,5.9,4.6
2016-04-29,オ犁,程,32.0,2.5,0.98,1.09,14.0,38.0,41.0,112.0,156.0,118.0,NaN,84.0,10.0,3.3,357.0,360.0,4.8,5.1
2016-05-06,オ犁,程,33.0,3.0,1.08,2.15,19.0,36.0,54.0,104.0,69.0,41.0,NaN,88.0,18.0,4.1,359.0,346.0,5.9,5.1
2016-05-13,オ犁,程,31.0,2.3,0.8,0.39,10.0,31.0,34.0,113.0,102.0,60.0,NaN,85.0,9.9,2.6,360.0,357.0,5.6,4.9
2016-05-20,オ犁,程,33.0,2.2,0.98,0.66,12.0,39.0,46.0,98.0,109.0,66.0,15.0,92.0,12.0,2.8,359.0,348.0,4.6,3.7
2016-05-27,オ犁,程,34.0,2.3,0.56,0.32,7.2,21.0,22.0,32.0,78.0,25.0,NaN,83.0,9.9,2.5,360.0,359.0,5.3,4.6
2016-06-03,オ犁,程,32.0,2.3,1.05,0.47,23.0,28.0,51.0,51.0,58.0,30.0,40.0,87.0,15.0,2.4,358.0,358.0,5.6,4.5
2016-06-10,オ犁,程,32.0,2.2,2.22,1.05,64.0,34.0,96.0,38.0,65.0,25.0,53.0,93.0,9.6,3.1,302.0,340.0,4.9,4.4
2016-06-17,オ犁,程,34.0,2.1,0.78,0.76,11.0,34.0,42.0,67.0,60.0,31.0,NaN,82.0,15.0,2.7,356.0,356.0,5.1,4.4
2016-06-24,オ犁,程,35.0,2.0,0.76,0.35,16.0,21.0,31.0,62.0,66.0,22.0,NaN,80.0,14.0,2.2,318.0,358.0,6.4,5.9
2016-07-01,オ犁,程,35.0,2.1,0.7,0.93,18.0,31.0,37.0,92.0,73.0,36.0,NaN,80.0,14.0,2.9,358.0,359.0,5.9,5.1
2016-07-08,オ犁,程,33.0,2.2,0.89,0.26,11.0,34.0,40.0,43.0,81.0,25.0,62.0,93.0,11.0,2.5,324.0,314.0,11.0,7.9
2016-07-15,オ犁,程,33.0,2.2,0.8,0.46,16.0,29.0,37.0,47.0,49.0,26.0,NaN,84.0,15.0,2.4,333.0,354.0,5.0,4.2
2016-07-22,オ犁,程,33.0,2.1,0.72,0.87,11.0,28.0,39.0,89.0,52.0,30.0,NaN,80.0,15.0,2.9,360.0,360.0,5.7,4.9
2016-07-29,オ犁,程,34.0,2.1,0.82,0.84,19.0,32.0,42.0,73.0,59.0,31.0,8.6,89.0,11.0,2.8,355.0,360.0,6.3,5.6
2016-08-05,オ犁,程,32.0,2.2,1.06,0.6,10.0,38.0,40.0,82.0,58.0,32.0,40.0,90.0,11.0,2.6,357.0,359.0,5.7,5.4
2016-08-12,オ犁,程,32.0,2.4,1.37,0.61,32.0,35.0,67.0,46.0,64.0,23.0,26.0,93.0,16.0,2.9,338.0,312.0,6.1,5.0
2016-08-19,オ犁,程,32.0,2.3,1.01,0.62,15.0,28.0,42.0,102.0,61.0,40.0,NaN,91.0,15.0,2.7,353.0,350.0,5.3,4.7
2016-08-26,オ犁,程,32.0,2.2,1.56,0.57,4.8,45.0,48.0,107.0,87.0,62.0,10.0,89.0,16.0,2.7,350.0,358.0,5.0,4.5
2016-09-02,オ犁,程,32.0,2.2,1.58,0.63,35.0,43.0,69.0,56.0,52.0,37.0,34.0,95.0,17.0,2.6,326.0,358.0,5.2,3.6
2016-09-09,オ犁,程,33.0,2.1,1.34,0.49,30.0,32.0,61.0,72.0,101.0,59.0,NaN,93.0,12.0,2.5,347.0,360.0,11.0,10.0
2016-09-16,オ犁,程,31.0,2.2,1.01,0.42,17.0,44.0,46.0,116.0,110.0,70.0,NaN,87.0,10.0,2.6,356.0,358.0,4.8,4.7
2016-09-23,オ犁,程,31.0,2.3,1.18,0.41,7.5,36.0,41.0,151.0,88.0,61.0,76.0,93.0,18.0,2.5,344.0,357.0,10.0,9.9
2016-09-30,オ犁,程,31.0,2.1,1.15,0.59,15.0,45.0,60.0,87.0,100.0,62.0,21.0,92.0,15.0,2.6,352.0,353.0,5.8,5.5
2016-10-07,オ犁,程,30.0,2.4,1.26,0.61,40.0,43.0,60.0,119.0,121.0,60.0,24.0,95.0,16.0,3.1,353.0,355.0,5.2,4.8
2016-10-14,オ犁,程,31.0,2.4,1.14,0.74,8.8,34.0,43.0,119.0,131.0,94.0,NaN,89.0,12.0,2.9,358.0,346.0,5.0,4.6
2016-10-21,オ犁,程,32.0,2.4,0.88,0.39,38.0,32.0,58.0,86.0,88.0,60.0,NaN,89.0,16.0,2.8,354.0,351.0,6.9,5.8
2016-10-28,オ犁,程,30.0,2.5,1.05,0.47,14.0,44.0,58.0,126.0,159.0,104.0,NaN,87.0,13.0,2.8,360.0,359.0,4.4,4.1
2016-11-04,オ犁,程,29.0,2.4,0.98,0.86,19.0,42.0,56.0,106.0,159.0,82.0,NaN,82.0,11.0,3.2,359.0,360.0,5.6,4.7
2016-11-11,オ犁,程,28.0,2.5,1.07,0.51,16.0,39.0,52.0,125.0,177.0,149.0,NaN,87.0,9.6,2.9,360.0,359.0,4.3,4.3
2016-11-18,オ犁,程,31.0,2.5,1.43,0.79,23.0,53.0,63.0,130.0,158.0,127.0,0.6,90.0,14.0,3.1,359.0,360.0,5.2,3.1
2016-11-25,オ犁,程,27.0,2.6,1.47,0.64,30.0,46.0,67.0,120.0,118.0,70.0,NaN,91.0,9.6,3.0,358.0,360.0,6.2,4.1
2016-12-02,オ犁,程,26.0,2.4,1.0,0.45,17.0,42.0,56.0,93.0,166.0,99.0,NaN,92.0,9.5,2.8,359.0,360.0,4.8,4.3
2016-12-09,オ犁,程,28.0,2.4,1.68,0.87,35.0,44.0,77.0,96.0,187.0,93.0,NaN,90.0,12.0,3.2,359.0,360.0,4.7,4.1
2016-12-16,オ犁,程,29.0,2.4,1.19,0.59,15.0,52.0,56.0,115.0,164.0,110.0,NaN,93.0,9.3,3.0,359.0,360.0,5.7,3.8
2016-12-23,オ犁,程,26.0,2.4,1.15,0.68,24.0,39.0,58.0,91.0,219.0,93.0,NaN,90.0,13.0,3.0,360.0,359.0,6.0,4.2
