ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2016-01-01,获,程,29.0,2.5,1.64,1.07,41.0,49.0,72.0,100.0,182.0,96.0,NaN,98.0,24.0,3.6,359.0,359.0,4.0,2.7
2016-01-08,获,程,26.0,2.2,1.19,0.48,32.0,50.0,59.0,90.0,181.0,81.0,NaN,95.0,15.0,2.6,356.0,356.0,5.9,3.5
2016-01-15,获,程,27.0,2.3,1.43,0.73,54.0,49.0,82.0,65.0,158.0,92.0,NaN,97.0,11.0,2.9,359.0,359.0,4.3,3.3
2016-01-22,获,程,26.0,2.2,2.7,3.07,61.0,76.0,137.0,70.0,150.0,69.0,1.4,94.0,16.0,5.2,355.0,352.0,5.8,3.3
2016-01-29,获,程,25.0,2.4,1.97,0.95,77.0,43.0,107.0,72.0,112.0,59.0,NaN,95.0,8.7,3.2,356.0,359.0,4.4,3.1
2016-02-05,获,程,29.0,2.3,1.69,0.69,28.0,55.0,77.0,75.0,173.0,116.0,NaN,95.0,9.4,3.0,359.0,358.0,5.0,3.5
2016-02-12,获,程,31.0,2.4,1.84,0.86,74.0,49.0,116.0,78.0,141.0,80.0,NaN,97.0,9.9,3.0,358.0,359.0,4.5,2.8
2016-02-19,获,程,26.0,2.3,1.49,0.58,24.0,48.0,70.0,96.0,145.0,98.0,NaN,91.0,13.0,2.8,359.0,358.0,4.0,2.6
2016-02-26,获,程,26.0,2.2,1.47,0.59,26.0,51.0,72.0,87.0,174.0,83.0,NaN,94.0,19.0,2.7,351.0,355.0,4.2,3.1
2016-03-04,获,程,29.0,2.4,1.49,0.99,31.0,60.0,70.0,109.0,147.0,80.0,NaN,92.0,22.0,3.3,351.0,355.0,4.4,3.6
2016-03-11,获,程,28.0,2.5,2.01,0.87,65.0,61.0,104.0,79.0,161.0,77.0,3.2,97.0,25.0,3.2,360.0,357.0,4.1,2.5
2016-03-18,获,程,30.0,2.7,2.41,0.9,27.0,45.0,63.0,73.0,155.0,89.0,8.6,96.0,8.5,3.4,356.0,356.0,4.3,3.0
2016-03-25,获,程,30.0,2.7,1.77,0.74,28.0,56.0,58.0,89.0,147.0,88.0,NaN,96.0,15.0,3.4,359.0,356.0,4.2,2.8
2016-04-01,获,程,33.0,2.6,1.31,0.6,11.0,51.0,54.0,77.0,158.0,92.0,NaN,93.0,22.0,3.0,351.0,357.0,3.9,3.6
2016-04-08,获,程,33.0,2.5,1.3,0.87,21.0,50.0,59.0,70.0,94.0,52.0,16.0,97.0,19.0,3.0,356.0,353.0,3.7,3.6
2016-04-15,获,程,34.0,2.5,1.6,0.74,34.0,41.0,59.0,85.0,145.0,69.0,NaN,98.0,23.0,2.8,354.0,359.0,3.7,2.9
2016-04-22,获,程,34.0,2.5,1.01,0.5,26.0,37.0,52.0,54.0,308.0,42.0,NaN,90.0,24.0,2.7,354.0,359.0,3.9,3.0
2016-04-29,获,程,35.0,2.4,1.24,0.45,25.0,37.0,48.0,96.0,187.0,107.0,NaN,86.0,15.0,2.8,350.0,357.0,3.7,3.6
2016-05-06,获,程,35.0,2.3,1.05,0.44,13.0,40.0,47.0,51.0,79.0,39.0,NaN,91.0,26.0,2.6,340.0,344.0,3.4,2.8
2016-05-13,获,程,34.0,2.3,1.04,0.62,13.0,44.0,51.0,93.0,116.0,55.0,NaN,89.0,15.0,2.8,359.0,358.0,3.9,2.9
