ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2016-01-01,琄,程,21.0,NaN,0.1,NaN,0.0,0.0,2.1,21.0,9.0,1.0,NaN,64.0,0.8,NaN,11.0,4.4,1.4,0.4
2016-01-08,琄,程,18.0,NaN,0.18,NaN,0.3,0.8,2.5,12.0,8.0,1.0,0.2,64.0,0.6,NaN,2.8,17.0,0.6,0.5
2016-01-15,琄,程,18.0,NaN,0.14,NaN,0.0,0.6,2.6,17.0,13.0,1.0,0.2,58.0,0.7,NaN,0.7,12.0,1.3,0.8
2016-01-22,琄,程,11.0,NaN,0.12,NaN,0.2,0.8,2.3,22.0,7.0,1.0,0.2,69.0,0.4,NaN,2.2,1.4,1.5,1.5
2016-01-29,琄,程,18.0,NaN,0.12,NaN,0.1,0.3,1.2,22.0,9.0,1.0,NaN,64.0,0.3,NaN,0.9,6.1,2.6,1.5
2016-02-05,琄,程,14.0,NaN,0.12,NaN,0.0,0.7,2.4,24.0,10.0,1.0,NaN,44.0,0.6,NaN,0.6,16.0,2.3,1.2
2016-02-12,琄,程,15.0,NaN,0.1,NaN,0.1,0.8,2.0,19.0,10.0,1.0,NaN,59.0,0.4,NaN,19.0,20.0,1.7,1.6
2016-02-19,琄,程,17.0,NaN,0.15,NaN,0.5,0.8,2.5,32.0,11.0,1.0,NaN,59.0,0.3,NaN,20.0,4.0,1.7,1.6
2016-02-26,琄,程,17.0,NaN,0.11,NaN,0.3,0.7,1.8,41.0,11.0,2.0,NaN,50.0,0.4,NaN,20.0,18.0,2.2,1.3
2016-03-04,琄,程,18.0,NaN,0.08,NaN,0.2,1.5,2.1,16.0,9.0,1.0,NaN,67.0,0.5,NaN,19.0,21.0,1.1,0.6
2016-03-11,琄,程,16.0,NaN,0.11,NaN,0.0,1.0,2.4,24.0,9.0,1.0,NaN,62.0,0.6,NaN,24.0,21.0,2.0,1.7
2016-03-18,琄,程,17.0,NaN,0.16,NaN,0.0,0.7,1.7,20.0,9.0,3.0,NaN,61.0,0.5,NaN,26.0,24.0,1.4,0.9
2016-03-25,琄,程,15.0,NaN,0.15,NaN,0.8,0.9,2.1,33.0,10.0,1.0,NaN,51.0,0.8,NaN,22.0,2.9,1.1,0.6
2016-04-01,琄,程,21.0,NaN,0.09,NaN,0.2,1.2,2.1,19.0,13.0,1.0,NaN,59.0,0.4,NaN,4.8,9.4,1.2,0.2
2016-04-08,琄,程,21.0,NaN,0.11,NaN,0.0,0.9,1.6,12.0,10.0,1.0,0.2,56.0,0.6,NaN,1.0,3.4,0.6,0.3
2016-04-15,琄,程,22.0,NaN,0.08,NaN,0.2,0.5,1.6,5.5,6.0,1.0,NaN,56.0,0.2,NaN,5.1,3.6,0.5,0.3
2016-04-22,琄,程,22.0,NaN,0.08,NaN,0.0,0.8,1.5,18.0,14.0,1.0,NaN,52.0,0.5,NaN,4.4,0.3,0.5,0.1
2016-04-29,琄,程,21.0,NaN,0.06,NaN,0.0,0.1,1.6,11.0,11.0,1.0,NaN,58.0,0.3,NaN,25.0,22.0,1.3,0.9
