ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2016-01-01,狶堕,程,17.0,1.9,0.15,0.02,0.0,5.4,5.7,0.0,2.0,1.0,NaN,59.0,1.3,1.9,0.5,6.5,0.5,0.3
2016-01-08,狶堕,程,15.0,1.9,0.19,0.02,0.5,5.1,6.0,0.4,11.0,2.0,NaN,53.0,1.1,2.0,0.3,0.0,1.1,0.3
2016-01-15,狶堕,程,16.0,1.9,0.26,0.02,0.0,8.5,10.0,0.3,4.0,1.0,NaN,63.0,1.0,2.0,0.0,13.0,0.6,0.2
2016-01-22,狶堕,程,6.7,1.8,0.14,0.01,0.0,6.3,8.2,0.3,4.0,1.0,0.2,52.0,1.4,1.9,6.0,0.2,0.6,0.5
2016-01-29,狶堕,程,15.0,1.8,0.11,0.01,0.4,2.9,3.5,0.0,9.0,1.0,NaN,56.0,0.6,1.8,1.6,0.6,0.6,0.3
2016-02-05,狶堕,程,10.0,1.8,0.16,0.01,0.0,4.5,6.2,0.5,9.0,1.0,NaN,33.0,1.3,1.8,2.4,2.5,0.8,0.3
2016-02-12,狶堕,程,15.0,1.8,0.1,0.0,0.0,2.1,3.5,0.2,6.0,1.0,NaN,52.0,0.6,1.8,3.0,9.5,0.5,0.2
2016-02-19,狶堕,程,17.0,1.9,0.28,0.02,0.0,3.9,5.2,0.2,18.0,1.0,NaN,51.0,1.7,1.9,0.8,1.5,0.6,0.1
2016-02-26,狶堕,程,15.0,1.9,0.19,0.0,0.3,5.5,6.6,0.2,16.0,4.0,NaN,46.0,1.3,1.9,8.2,8.7,0.5,0.3
2016-03-04,狶堕,程,15.0,1.7,0.03,0.0,0.4,3.1,4.2,0.1,3.0,1.0,NaN,51.0,1.1,1.7,2.6,2.8,0.4,0.1
2016-03-11,狶堕,程,14.0,1.8,0.08,0.0,0.4,3.9,4.9,0.0,7.0,1.0,NaN,61.0,1.6,1.8,6.3,1.8,0.5,0.2
2016-03-18,狶堕,程,16.0,1.9,0.18,0.0,0.4,3.0,4.5,0.1,4.0,1.0,NaN,61.0,1.0,1.8,0.7,3.9,0.4,0.2
2016-03-25,狶堕,程,13.0,1.8,0.13,0.02,0.4,2.6,3.0,0.5,3.0,1.0,NaN,33.0,1.2,1.8,0.8,8.5,0.5,0.2
2016-04-01,狶堕,程,22.0,1.7,0.07,0.01,0.4,2.9,3.6,0.0,8.0,1.0,NaN,63.0,1.1,1.8,5.2,13.0,0.4,0.4
2016-04-08,狶堕,程,22.0,1.8,0.09,0.0,0.5,2.8,3.8,0.0,6.0,1.0,0.2,59.0,0.8,1.8,2.1,5.0,0.6,0.2
2016-04-15,狶堕,程,22.0,1.8,0.06,0.0,0.0,1.9,2.8,0.1,7.0,1.0,NaN,50.0,0.4,1.8,0.9,9.6,0.5,0.5
2016-04-22,狶堕,程,25.0,1.8,0.06,0.0,0.4,1.7,2.8,1.8,10.0,2.0,NaN,61.0,1.3,1.8,2.6,1.3,0.4,0.2
2016-04-29,狶堕,程,23.0,1.8,0.06,0.0,0.1,2.1,3.2,0.0,8.0,1.0,NaN,24.0,0.6,1.8,23.0,27.0,0.4,0.1
2016-05-06,狶堕,程,23.0,1.8,0.03,0.0,0.4,1.4,2.7,0.3,9.0,1.0,NaN,62.0,1.0,1.8,24.0,29.0,0.7,0.1
