ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2016-01-01,罚标,程,15.0,1.7,0.18,0.03,0.9,3.4,5.3,0.2,6.0,1.0,NaN,54.0,0.8,1.8,0.7,0.9,0.5,0.2
2016-01-08,罚标,程,14.0,1.8,0.24,0.04,0.5,5.9,8.2,1.5,12.0,4.0,NaN,57.0,1.0,1.8,2.5,2.8,0.5,0.3
2016-01-15,罚标,程,14.0,1.8,0.33,0.04,0.8,6.7,7.7,0.4,22.0,2.0,NaN,54.0,0.9,1.8,0.2,0.1,0.5,0.3
2016-01-22,罚标,程,5.6,1.8,0.18,0.05,0.2,4.4,6.0,1.1,20.0,3.0,0.2,37.0,1.1,1.9,2.7,0.1,0.5,0.2
2016-01-29,罚标,程,13.0,1.8,0.24,0.05,0.9,7.5,8.7,0.2,11.0,1.0,NaN,53.0,0.5,1.8,0.1,3.5,0.5,0.2
2016-02-05,罚标,程,8.4,1.7,0.24,0.04,0.2,4.2,6.2,2.0,22.0,4.0,NaN,17.0,0.9,1.8,8.8,0.2,0.5,0.2
2016-02-12,罚标,程,12.0,1.7,0.16,0.02,0.1,3.8,4.4,1.1,15.0,1.0,NaN,39.0,0.8,1.7,2.6,4.6,0.5,0.4
2016-02-19,罚标,程,15.0,1.8,0.3,0.08,0.8,7.6,9.6,2.7,39.0,15.0,NaN,44.0,1.3,1.9,9.3,4.1,0.5,0.2
2016-02-26,罚标,程,15.0,1.8,0.3,0.07,0.4,7.3,8.5,4.8,68.0,26.0,NaN,26.0,0.9,1.9,0.7,1.3,0.5,0.3
2016-03-04,罚标,程,13.0,1.7,0.21,0.05,0.3,5.3,7.6,0.7,23.0,7.0,NaN,30.0,1.0,1.8,8.8,3.9,0.5,0.2
2016-03-11,罚标,程,12.0,1.7,0.21,0.02,0.2,7.1,8.3,0.4,29.0,1.0,0.2,41.0,1.0,1.8,1.9,2.9,0.5,0.1
2016-03-18,罚标,程,14.0,1.7,0.24,0.05,1.1,3.8,6.8,0.7,37.0,6.0,0.2,50.0,0.9,1.8,5.6,15.0,0.5,0.2
2016-03-25,罚标,程,11.0,1.7,0.27,0.04,0.5,5.2,6.3,1.8,31.0,13.0,NaN,33.0,1.2,1.8,0.1,0.4,0.5,0.0
2016-04-01,罚标,程,21.0,1.7,0.21,0.02,1.0,3.3,5.0,1.7,25.0,7.0,NaN,40.0,1.4,1.8,1.9,9.8,0.5,0.2
2016-04-08,罚标,程,22.0,1.7,0.19,0.01,0.6,1.8,3.4,1.3,20.0,1.0,0.2,40.0,0.7,1.7,6.0,5.1,0.5,0.1
2016-04-15,罚标,程,20.0,1.7,0.19,0.01,0.0,2.2,4.0,1.0,18.0,1.0,NaN,47.0,0.9,1.7,11.0,0.6,0.6,0.2
2016-04-22,罚标,程,25.0,1.7,0.17,0.02,0.8,2.4,4.0,1.1,22.0,3.0,NaN,46.0,1.2,1.7,2.9,5.6,0.5,0.2
2016-04-29,罚标,程,23.0,1.7,0.18,0.02,0.5,1.5,3.6,0.5,23.0,5.0,NaN,40.0,1.3,1.7,7.7,2.9,0.5,0.1
2016-05-06,罚标,程,25.0,1.7,0.14,0.02,0.8,2.4,4.1,0.7,20.0,1.0,NaN,46.0,1.0,1.7,12.0,11.0,0.5,0.2
2016-05-13,罚标,程,22.0,1.7,0.2,0.02,0.5,2.4,4.1,2.1,35.0,2.0,NaN,46.0,1.0,1.7,7.5,9.3,0.5,0.3
2016-05-20,罚标,程,25.0,1.7,0.15,0.02,0.3,4.0,5.7,2.0,13.0,1.0,0.2,47.0,1.0,1.7,16.0,7.2,0.6,0.1
2016-05-27,罚标,程,28.0,1.6,0.1,0.0,0.1,1.6,2.6,0.1,22.0,1.0,NaN,42.0,1.0,1.6,0.1,23.0,0.5,0.0
2016-06-03,罚标,程,26.0,1.6,0.1,0.01,0.0,1.7,3.4,0.7,20.0,1.0,0.2,54.0,0.9,1.7,6.0,23.0,0.6,0.1
