ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2017-01-01,ń,程,18.0,1.6,0.27,0.06,0.5,10.0,11.0,1.8,42.0,18.0,NaN,57.0,0.5,1.7,15.0,1.7,0.5,0.1
2017-01-08,ń,程,14.0,1.7,0.27,0.06,1.1,9.2,11.0,2.1,4.0,1.0,NaN,45.0,0.6,1.8,0.6,7.5,0.5,0.1
2017-01-15,ń,程,14.0,1.6,0.19,0.04,0.2,7.3,7.8,2.0,1.0,1.0,NaN,52.0,1.0,1.7,1.9,1.8,0.6,0.1
2017-01-22,ń,程,13.0,1.6,0.19,0.03,0.0,5.5,5.8,1.8,12.0,1.0,NaN,34.0,0.3,1.7,5.6,0.4,0.5,0.1
2017-01-29,ń,程,15.0,1.6,0.18,0.04,0.2,4.7,5.6,2.7,1.0,1.0,NaN,39.0,0.3,1.7,2.9,3.2,0.5,0.0
2017-02-05,ń,程,12.0,1.4,0.13,0.02,0.0,3.4,3.9,2.2,2.0,1.0,NaN,41.0,0.5,1.5,0.2,1.9,0.5,0.2
2017-02-12,ń,程,12.0,1.6,0.19,0.04,0.1,9.4,9.8,2.4,30.0,6.0,NaN,39.0,1.3,1.7,1.6,3.5,0.5,0.1
2017-02-19,ń,程,13.0,1.6,0.22,0.06,0.0,6.8,7.7,1.8,1.0,1.0,0.2,52.0,0.4,1.7,0.3,3.0,0.5,0.0
2017-02-26,ń,程,13.0,1.6,0.12,0.03,0.0,8.6,8.9,2.4,6.0,1.0,NaN,44.0,0.0,1.7,0.3,2.1,0.5,0.1
2017-03-05,ń,程,14.0,1.6,0.16,0.01,0.0,6.2,7.7,2.2,5.0,1.0,NaN,54.0,0.4,1.6,1.4,0.2,0.5,0.1
2017-03-12,ń,程,15.0,1.6,0.19,0.04,0.0,6.4,6.1,0.0,4.0,3.0,NaN,53.0,0.5,1.7,0.4,1.0,0.5,0.1
2017-03-19,ń,程,16.0,1.5,0.18,0.04,0.0,6.7,8.3,0.0,6.0,6.0,NaN,45.0,0.1,1.6,4.4,0.5,0.5,0.3
2017-03-26,ń,程,14.0,1.5,0.17,0.03,0.1,7.0,8.5,0.1,4.0,1.0,NaN,32.0,0.6,1.6,0.6,15.0,0.5,0.0
2017-04-02,ń,程,13.0,1.5,0.2,0.03,0.0,5.8,7.3,0.0,29.0,11.0,NaN,24.0,1.2,1.6,15.0,10.0,0.5,0.2
2017-04-09,ń,程,17.0,1.5,0.1,0.01,0.8,4.1,7.0,0.1,8.0,2.0,NaN,46.0,0.1,1.5,1.3,3.1,0.5,0.1
2017-04-16,ń,程,19.0,1.4,0.1,0.02,0.3,4.9,6.0,0.0,1.0,1.0,NaN,54.0,1.0,1.5,16.0,2.8,0.5,0.2
2017-04-23,ń,程,17.0,1.6,0.19,0.03,0.2,7.1,8.1,0.1,3.0,1.0,0.2,39.0,1.2,1.7,2.2,1.3,0.5,0.1
2017-04-30,ń,程,19.0,NaN,0.25,NaN,0.0,7.0,8.3,0.2,16.0,1.0,NaN,43.0,1.0,NaN,8.1,13.0,0.5,0.1
2017-05-07,ń,程,24.0,NaN,0.15,NaN,0.1,7.4,8.3,0.8,17.0,1.0,NaN,50.0,1.2,NaN,3.9,12.0,0.5,0.1
2017-05-14,ń,程,22.0,NaN,0.19,NaN,0.3,6.2,7.6,0.4,6.0,1.0,0.2,46.0,0.9,NaN,6.2,2.3,0.6,0.1
2017-05-21,ń,程,23.0,NaN,0.18,NaN,0.0,6.5,7.7,0.3,15.0,1.0,NaN,52.0,1.4,NaN,1.2,6.5,0.5,0.2
2017-05-28,ń,程,24.0,NaN,0.05,NaN,0.1,1.8,2.9,0.9,5.0,1.0,NaN,56.0,0.6,NaN,1.7,51.0,0.5,0.1
2017-06-04,ń,程,25.0,NaN,0.08,NaN,0.0,2.6,4.5,1.1,4.0,1.0,NaN,56.0,1.1,NaN,3.5,0.4,0.5,0.2
2017-06-11,ń,程,24.0,NaN,0.07,NaN,0.2,2.8,3.4,1.3,4.0,1.0,0.2,45.0,1.0,NaN,24.0,12.0,0.5,0.1
2017-06-18,ń,程,24.0,NaN,0.11,NaN,0.1,3.6,4.7,0.4,8.0,1.0,NaN,55.0,1.0,NaN,1.9,26.0,0.5,0.1
2017-06-25,ń,程,26.0,NaN,0.1,NaN,0.0,2.8,4.4,2.8,8.0,1.0,NaN,44.0,1.1,NaN,11.0,4.7,0.6,0.2
2017-07-02,ń,程,26.0,NaN,0.07,NaN,0.0,3.7,3.8,0.8,5.0,1.0,0.2,51.0,0.9,NaN,2.6,6.4,0.6,0.1
2017-07-09,ń,程,25.0,NaN,0.1,NaN,0.0,4.2,5.3,2.9,12.0,1.0,NaN,50.0,1.0,NaN,1.9,12.0,0.5,0.2
2017-07-16,ń,程,25.0,NaN,0.13,NaN,0.0,2.7,5.1,3.3,15.0,1.0,NaN,50.0,1.1,NaN,3.2,2.7,0.4,0.3
2017-07-23,ń,程,25.0,NaN,0.05,NaN,0.4,0.3,2.1,7.7,7.0,1.0,NaN,50.0,1.0,NaN,6.1,5.4,0.5,0.1
2017-07-30,ń,程,23.0,NaN,0.05,NaN,0.0,0.3,0.9,1.9,1.0,1.0,0.2,55.0,1.0,NaN,2.8,0.5,0.4,0.1
