ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2017-01-01,睭,程,NaN,NaN,0.91,NaN,37.0,35.0,59.0,62.0,123.0,68.0,NaN,NaN,13.0,NaN,NaN,NaN,NaN,NaN
2017-01-08,睭,程,NaN,NaN,0.95,NaN,15.0,29.0,41.0,51.0,78.0,43.0,NaN,NaN,4.3,NaN,NaN,NaN,NaN,NaN
2017-01-15,睭,程,NaN,NaN,1.12,NaN,35.0,30.0,65.0,45.0,81.0,43.0,NaN,NaN,6.5,NaN,NaN,NaN,NaN,NaN
2017-01-22,睭,程,NaN,NaN,0.83,NaN,9.6,26.0,33.0,59.0,85.0,37.0,NaN,NaN,4.8,NaN,NaN,NaN,NaN,NaN
2017-01-29,睭,程,NaN,NaN,1.06,NaN,42.0,34.0,64.0,42.0,95.0,57.0,NaN,NaN,8.4,NaN,NaN,NaN,NaN,NaN
2017-02-05,睭,程,NaN,NaN,0.76,NaN,9.9,27.0,37.0,53.0,92.0,53.0,NaN,NaN,6.6,NaN,NaN,NaN,NaN,NaN
2017-02-12,睭,程,NaN,NaN,1.39,NaN,34.0,49.0,75.0,55.0,94.0,58.0,NaN,NaN,9.7,NaN,NaN,NaN,NaN,NaN
2017-02-19,睭,程,NaN,NaN,1.16,NaN,30.0,45.0,61.0,75.0,83.0,46.0,NaN,NaN,7.7,NaN,NaN,NaN,NaN,NaN
2017-02-26,睭,程,NaN,NaN,1.15,NaN,25.0,40.0,62.0,59.0,108.0,55.0,NaN,NaN,3.4,NaN,NaN,NaN,NaN,NaN
2017-03-05,睭,程,NaN,NaN,1.23,NaN,31.0,44.0,69.0,61.0,125.0,67.0,NaN,NaN,13.0,NaN,NaN,NaN,NaN,NaN
2017-03-12,睭,程,NaN,NaN,0.67,NaN,9.0,29.0,38.0,53.0,98.0,42.0,NaN,NaN,6.1,NaN,NaN,NaN,NaN,NaN
2017-03-19,睭,程,NaN,NaN,1.13,NaN,13.0,39.0,46.0,69.0,53.0,35.0,NaN,NaN,6.9,NaN,NaN,NaN,NaN,NaN
2017-03-26,睭,程,NaN,NaN,1.14,NaN,26.0,44.0,61.0,94.0,119.0,57.0,NaN,NaN,15.0,NaN,NaN,NaN,NaN,NaN
2017-04-02,睭,程,NaN,NaN,1.27,NaN,29.0,52.0,72.0,77.0,124.0,57.0,NaN,NaN,9.6,NaN,NaN,NaN,NaN,NaN
2017-04-09,睭,程,NaN,NaN,1.27,NaN,24.0,50.0,57.0,74.0,85.0,51.0,NaN,NaN,14.0,NaN,NaN,NaN,NaN,NaN
2017-04-16,睭,程,NaN,NaN,1.48,NaN,14.0,40.0,50.0,88.0,89.0,53.0,NaN,NaN,6.3,NaN,NaN,NaN,NaN,NaN
2017-04-23,睭,程,NaN,NaN,1.63,NaN,30.0,47.0,67.0,70.0,81.0,57.0,NaN,NaN,6.6,NaN,NaN,NaN,NaN,NaN
2017-04-30,睭,程,NaN,NaN,0.85,NaN,20.0,36.0,43.0,82.0,67.0,48.0,NaN,NaN,9.9,NaN,NaN,NaN,NaN,NaN
2017-05-07,睭,程,NaN,NaN,1.03,NaN,16.0,58.0,63.0,68.0,114.0,57.0,NaN,NaN,30.0,NaN,NaN,NaN,NaN,NaN
2017-05-14,睭,程,NaN,NaN,0.72,NaN,6.9,27.0,28.0,58.0,55.0,26.0,NaN,NaN,6.4,NaN,NaN,NaN,NaN,NaN
2017-05-21,睭,程,NaN,NaN,0.8,NaN,18.0,28.0,41.0,65.0,48.0,26.0,NaN,NaN,11.0,NaN,NaN,NaN,NaN,NaN
2017-05-28,睭,程,NaN,NaN,0.86,NaN,12.0,33.0,40.0,64.0,47.0,23.0,NaN,NaN,6.9,NaN,NaN,NaN,NaN,NaN
2017-06-04,睭,程,NaN,NaN,0.91,NaN,14.0,33.0,38.0,74.0,113.0,45.0,NaN,NaN,13.0,NaN,NaN,NaN,NaN,NaN
2017-06-11,睭,程,NaN,NaN,1.17,NaN,32.0,32.0,54.0,62.0,49.0,23.0,NaN,NaN,5.1,NaN,NaN,NaN,NaN,NaN
2017-06-18,睭,程,NaN,NaN,1.36,NaN,44.0,32.0,61.0,53.0,51.0,21.0,NaN,NaN,6.3,NaN,NaN,NaN,NaN,NaN
2017-06-25,睭,程,NaN,NaN,0.9,NaN,9.4,34.0,36.0,75.0,78.0,31.0,NaN,NaN,12.0,NaN,NaN,NaN,NaN,NaN
2017-07-02,睭,程,34.0,NaN,1.04,NaN,16.0,30.0,40.0,68.0,42.0,21.0,NaN,95.0,8.3,NaN,NaN,360.0,4.3,NaN
2017-07-09,睭,程,34.0,NaN,1.41,NaN,16.0,48.0,58.0,63.0,55.0,24.0,NaN,90.0,11.0,NaN,NaN,360.0,3.7,NaN
