ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2017-01-01,窾ń,程,24.0,NaN,0.65,NaN,17.0,34.0,39.0,65.0,126.0,75.0,9.2,92.0,9.1,NaN,360.0,357.0,6.5,6.7
2017-01-08,窾ń,程,20.0,NaN,0.58,NaN,6.3,16.0,22.0,61.0,105.0,44.0,6.4,92.0,6.1,NaN,351.0,357.0,9.4,9.0
2017-01-15,窾ń,程,21.0,NaN,0.49,NaN,23.0,26.0,49.0,56.0,161.0,51.0,4.2,91.0,3.8,NaN,352.0,344.0,13.0,11.0
2017-01-22,窾ń,程,21.0,NaN,0.37,NaN,6.4,19.0,23.0,68.0,108.0,36.0,9.6,92.0,5.9,NaN,357.0,329.0,11.0,10.0
2017-01-29,窾ń,程,20.0,NaN,0.67,NaN,23.0,25.0,48.0,50.0,120.0,67.0,NaN,92.0,7.3,NaN,322.0,329.0,12.0,9.8
2017-02-05,窾ń,程,20.0,NaN,0.63,NaN,17.0,16.0,32.0,64.0,122.0,65.0,NaN,93.0,3.9,NaN,342.0,358.0,12.0,11.0
2017-02-12,窾ń,程,22.0,NaN,0.42,NaN,7.1,23.0,27.0,75.0,227.0,48.0,NaN,88.0,10.0,NaN,358.0,306.0,9.9,9.0
2017-02-19,窾ń,程,25.0,NaN,0.56,NaN,6.9,26.0,33.0,67.0,124.0,47.0,9.4,94.0,18.0,NaN,347.0,356.0,9.7,9.5
2017-02-26,窾ń,程,18.0,NaN,0.52,NaN,7.3,22.0,27.0,80.0,170.0,71.0,6.6,93.0,4.7,NaN,354.0,360.0,10.0,9.9
2017-03-05,窾ń,程,20.0,NaN,0.69,NaN,19.0,28.0,47.0,80.0,193.0,76.0,18.0,94.0,12.0,NaN,359.0,355.0,10.0,9.3
2017-03-12,窾ń,程,24.0,NaN,0.48,NaN,5.4,20.0,23.0,69.0,118.0,37.0,6.4,94.0,6.5,NaN,348.0,354.0,10.0,9.8
2017-03-19,窾ń,程,24.0,NaN,0.54,NaN,4.6,26.0,28.0,75.0,87.0,37.0,4.2,94.0,3.9,NaN,352.0,355.0,7.9,7.1
