ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2017-01-01,纒兼,程,26.0,NaN,1.59,NaN,58.0,40.0,90.0,56.0,121.0,66.0,NaN,91.0,8.7,NaN,359.0,346.0,7.9,7.1
2017-01-08,纒兼,程,21.0,NaN,0.75,NaN,12.0,29.0,35.0,48.0,100.0,47.0,NaN,92.0,10.0,NaN,342.0,357.0,8.1,7.6
2017-01-15,纒兼,程,23.0,NaN,1.24,NaN,39.0,36.0,74.0,44.0,83.0,46.0,0.6,93.0,6.5,NaN,359.0,359.0,7.9,7.7
2017-01-22,纒兼,程,22.0,NaN,1.54,NaN,31.0,31.0,58.0,55.0,104.0,64.0,NaN,93.0,6.4,NaN,345.0,351.0,8.7,8.0
2017-01-29,纒兼,程,24.0,NaN,0.76,NaN,19.0,33.0,42.0,54.0,107.0,74.0,NaN,93.0,6.0,NaN,359.0,357.0,9.5,9.0
2017-02-05,纒兼,程,21.0,NaN,0.7,NaN,11.0,29.0,37.0,52.0,96.0,61.0,NaN,91.0,6.9,NaN,334.0,343.0,8.8,8.4
2017-02-12,纒兼,程,25.0,NaN,1.37,NaN,35.0,58.0,88.0,86.0,120.0,60.0,NaN,92.0,7.5,NaN,357.0,358.0,7.9,7.0
2017-02-19,纒兼,程,26.0,NaN,0.97,NaN,23.0,41.0,57.0,82.0,112.0,61.0,7.0,94.0,6.6,NaN,314.0,354.0,8.0,7.4
2017-02-26,纒兼,程,21.0,NaN,1.57,NaN,39.0,56.0,90.0,69.0,114.0,57.0,NaN,94.0,6.6,NaN,357.0,345.0,7.7,7.3
2017-03-05,纒兼,程,24.0,NaN,1.21,NaN,25.0,47.0,60.0,76.0,159.0,60.0,12.0,93.0,6.0,NaN,360.0,349.0,5.4,4.7
2017-03-12,纒兼,程,24.0,NaN,0.98,NaN,32.0,37.0,65.0,64.0,100.0,54.0,4.2,94.0,7.5,NaN,359.0,353.0,6.5,6.3
2017-03-19,纒兼,程,25.0,NaN,1.42,NaN,26.0,44.0,67.0,85.0,108.0,39.0,4.0,94.0,6.4,NaN,345.0,356.0,7.7,7.5
2017-03-26,纒兼,程,26.0,NaN,0.95,NaN,23.0,41.0,55.0,114.0,134.0,62.0,NaN,92.0,9.1,NaN,346.0,356.0,5.3,5.2
2017-04-02,纒兼,程,29.0,NaN,1.16,NaN,22.0,56.0,63.0,104.0,111.0,61.0,NaN,86.0,7.6,NaN,358.0,356.0,5.9,5.6
2017-04-09,纒兼,程,32.0,NaN,1.29,NaN,30.0,42.0,64.0,78.0,89.0,53.0,NaN,92.0,9.2,NaN,321.0,356.0,9.2,7.8
2017-04-16,纒兼,程,31.0,NaN,0.8,NaN,13.0,27.0,37.0,79.0,121.0,68.0,NaN,90.0,7.7,NaN,339.0,345.0,6.9,6.4
2017-04-23,纒兼,程,28.0,NaN,1.66,NaN,43.0,52.0,87.0,85.0,144.0,58.0,NaN,90.0,8.1,NaN,351.0,350.0,7.1,6.4
2017-04-30,纒兼,程,29.0,NaN,0.93,NaN,20.0,53.0,58.0,115.0,96.0,50.0,NaN,88.0,8.0,NaN,357.0,360.0,3.9,3.5
2017-05-07,纒兼,程,32.0,NaN,0.66,NaN,10.0,31.0,35.0,101.0,141.0,43.0,NaN,87.0,5.8,NaN,344.0,339.0,4.6,4.3
2017-05-14,纒兼,程,30.0,NaN,0.62,NaN,7.3,30.0,35.0,83.0,87.0,32.0,4.8,91.0,11.0,NaN,357.0,336.0,6.7,6.1
2017-05-21,纒兼,程,29.0,NaN,0.66,NaN,7.3,26.0,33.0,91.0,76.0,35.0,8.0,89.0,8.1,NaN,352.0,348.0,5.8,5.4
2017-05-28,纒兼,程,31.0,NaN,0.92,NaN,9.3,33.0,39.0,66.0,72.0,37.0,29.0,91.0,6.1,NaN,334.0,347.0,9.6,8.5
2017-06-04,纒兼,程,33.0,NaN,0.93,NaN,12.0,39.0,47.0,85.0,76.0,48.0,NaN,91.0,5.3,NaN,343.0,326.0,4.6,4.5
2017-06-11,纒兼,程,33.0,NaN,0.6,NaN,20.0,29.0,40.0,81.0,75.0,25.0,25.0,92.0,4.9,NaN,355.0,359.0,8.2,7.5
2017-06-18,纒兼,程,33.0,NaN,0.46,NaN,19.0,16.0,29.0,65.0,52.0,21.0,NaN,92.0,5.1,NaN,268.0,286.0,9.2,7.4
2017-06-25,纒兼,程,35.0,NaN,0.6,NaN,11.0,23.0,27.0,72.0,69.0,31.0,64.0,90.0,4.4,NaN,345.0,357.0,7.7,6.5
2017-07-02,纒兼,程,34.0,NaN,0.64,NaN,21.0,26.0,34.0,96.0,63.0,34.0,74.0,89.0,5.5,NaN,358.0,354.0,5.8,3.6
2017-07-09,纒兼,程,34.0,NaN,0.59,NaN,10.0,28.0,32.0,77.0,111.0,36.0,NaN,86.0,5.8,NaN,359.0,355.0,4.5,4.0
2017-07-16,纒兼,程,36.0,NaN,0.46,NaN,7.4,22.0,26.0,115.0,91.0,38.0,NaN,85.0,8.1,NaN,359.0,360.0,4.4,3.9
2017-07-23,纒兼,程,36.0,NaN,0.57,NaN,10.0,32.0,36.0,81.0,68.0,38.0,NaN,86.0,5.0,NaN,357.0,358.0,12.0,9.2
2017-07-30,纒兼,程,35.0,NaN,0.83,NaN,14.0,32.0,43.0,71.0,63.0,32.0,NaN,86.0,4.9,NaN,350.0,357.0,5.9,5.2
2017-08-06,纒兼,程,36.0,NaN,0.45,NaN,7.6,20.0,22.0,70.0,52.0,29.0,NaN,83.0,6.9,NaN,351.0,336.0,8.8,8.4
2017-08-13,纒兼,程,35.0,NaN,0.73,NaN,16.0,35.0,50.0,101.0,83.0,44.0,NaN,83.0,9.3,NaN,354.0,349.0,5.6,5.2
2017-08-20,纒兼,程,35.0,NaN,0.57,NaN,21.0,27.0,36.0,96.0,66.0,46.0,NaN,85.0,8.3,NaN,356.0,360.0,8.0,6.8
2017-08-27,纒兼,程,36.0,NaN,0.38,NaN,10.0,18.0,24.0,62.0,56.0,32.0,NaN,88.0,7.6,NaN,299.0,360.0,8.6,7.6
2017-09-03,纒兼,程,35.0,NaN,1.06,NaN,15.0,46.0,55.0,94.0,68.0,36.0,6.4,89.0,8.2,NaN,356.0,357.0,5.1,4.4
2017-09-10,纒兼,程,35.0,NaN,0.67,NaN,13.0,29.0,36.0,78.0,62.0,31.0,NaN,90.0,5.9,NaN,352.0,358.0,8.0,7.2
2017-09-17,纒兼,程,35.0,NaN,0.85,NaN,13.0,38.0,39.0,134.0,103.0,61.0,NaN,81.0,8.5,NaN,359.0,358.0,4.7,4.3
2017-09-24,纒兼,程,37.0,NaN,0.61,NaN,8.7,31.0,33.0,88.0,76.0,47.0,NaN,86.0,11.0,NaN,348.0,355.0,6.7,5.9
2017-10-01,纒兼,程,35.0,NaN,0.7,NaN,7.1,37.0,43.0,95.0,93.0,55.0,NaN,86.0,6.2,NaN,360.0,346.0,9.2,8.2
2017-10-08,纒兼,程,35.0,NaN,0.34,NaN,6.6,20.0,25.0,38.0,46.0,20.0,15.0,91.0,4.9,NaN,120.0,291.0,8.8,8.5
2017-10-15,纒兼,程,31.0,NaN,0.76,NaN,23.0,24.0,40.0,62.0,69.0,28.0,3.4,91.0,5.3,NaN,356.0,357.0,7.1,6.6
2017-10-22,纒兼,程,27.0,NaN,0.71,NaN,6.5,26.0,32.0,71.0,93.0,48.0,NaN,91.0,5.9,NaN,131.0,220.0,7.8,6.9
2017-10-29,纒兼,程,29.0,NaN,0.73,NaN,22.0,28.0,45.0,76.0,100.0,67.0,NaN,92.0,6.0,NaN,211.0,306.0,10.0,9.0
2017-11-05,纒兼,程,31.0,NaN,1.13,NaN,27.0,43.0,62.0,102.0,112.0,56.0,NaN,90.0,6.3,NaN,348.0,360.0,8.6,8.3
2017-11-12,纒兼,程,31.0,NaN,0.96,NaN,16.0,43.0,58.0,62.0,124.0,71.0,NaN,92.0,5.5,NaN,340.0,354.0,8.3,7.7
2017-11-19,纒兼,程,23.0,NaN,0.75,NaN,11.0,36.0,47.0,47.0,83.0,38.0,3.4,93.0,3.8,NaN,349.0,351.0,9.4,7.6
2017-11-26,纒兼,程,29.0,NaN,0.94,NaN,50.0,33.0,70.0,64.0,169.0,87.0,0.8,93.0,5.6,NaN,357.0,358.0,8.2,7.8
2017-12-03,纒兼,程,21.0,NaN,1.01,NaN,32.0,33.0,60.0,55.0,104.0,65.0,3.4,92.0,5.1,NaN,351.0,358.0,8.6,8.0
2017-12-10,纒兼,程,25.0,NaN,1.35,NaN,44.0,45.0,83.0,77.0,74.0,45.0,NaN,91.0,5.6,NaN,325.0,341.0,9.5,8.5
2017-12-17,纒兼,程,23.0,NaN,1.42,NaN,57.0,47.0,90.0,96.0,81.0,77.0,NaN,93.0,6.3,NaN,306.0,358.0,8.7,8.3
2017-12-24,纒兼,程,24.0,NaN,0.93,NaN,15.0,40.0,55.0,64.0,125.0,76.0,NaN,93.0,6.4,NaN,357.0,343.0,8.5,7.9
